ticker,alert_date,gap_pct,ep_score,catalyst_quality,shape_class,outcome,ret,high_break_min,high_break_held,low_break_min,recovered,late_breakout_after_1000,orb_high,orb_low,n_bars
GEMI,2026-05-15,22.24,96.0,strong,CLASS_C,pending,,,False,571,False,False,6.9599,6.56,91
GLOB,2026-05-15,10.59,89.3,strong,CLASS_A,pending,,571,True,,False,False,39.34,37.12,91
ARX,2026-05-14,17.64,100.8,strong,CLASS_A,pending,,572,True,,False,False,14.04,13.72,90
CPA,2026-05-14,13.12,67.7,strong,CLASS_A,pending,,576,True,572,True,False,127,125.21,83
CRMD,2026-05-14,12.35,64.8,strong,CLASS_C,pending,,571,False,573,False,False,8.65,8.45,91
CSCO,2026-05-14,16.32,100.8,strong,CLASS_A,loss,-0.021346312207571248,572,True,598,False,False,117.55,115.03,91
FPS,2026-05-14,17.75,84.0,strong,CLASS_C,pending,,,False,571,False,False,50.9997,47.39,91
GO,2026-05-14,17.38,84.0,strong,CLASS_C,pending,,,False,571,False,False,9.44,8.73,91
KLAR,2026-05-14,19.57,84.0,strong,AMBIGUOUS_CHOP,loss,-0.047738693467336675,571,False,583,True,False,15.92,15.18,91
STAA,2026-05-14,17.31,96.0,game_changer,CLASS_C,pending,,,False,575,False,False,35.87,33.75,91
STUB,2026-05-14,14.3,54.0,strong,CLASS_A,pending,,577,True,574,True,False,9,8.43,91
VIK,2026-05-14,11.36,57.6,strong,CLASS_A,pending,,571,True,573,True,False,90.48,89.53,91
VSNT,2026-05-14,15.38,100.8,strong,CLASS_A,pending,,571,True,642,False,False,43.25,42.325,91
AIP,2026-05-13,20.81,115.2,strong,CLASS_C,pending,,,False,571,False,False,35.68,32.5,91
EOSE,2026-05-13,31.11,115.2,strong,CLASS_C,pending,,,False,579,False,False,9.99,9.28,91
AMBQ,2026-05-12,18.68,84.0,strong,CLASS_A,pending,,571,True,,False,False,54,53.14,91
HLIT,2026-05-12,15.2,84.0,strong,CLASS_C,pending,,571,False,579,False,False,14.55,13.9,91
PACS,2026-05-12,22.26,96.0,strong,CLASS_A,pending,,576,True,571,True,False,39,38.57,89
SE,2026-05-12,13.26,54.0,strong,CLASS_A,pending,,574,True,571,True,False,94.71,93.875,91
SIBN,2026-05-12,13.35,51.6,strong,CLASS_A,pending,,577,True,571,True,False,13.13,12.19,91
TE,2026-05-12,18.21,84.0,strong,CLASS_C,pending,,,False,581,False,False,6.51,6.06,91
VG,2026-05-12,10.07,54.7,strong,CLASS_A,pending,,571,True,577,True,False,12.68,12.375,91
VPG,2026-05-12,17.12,100.8,strong,CLASS_A,pending,,574,True,571,True,False,83.99,82.32,90
VSTS,2026-05-12,20.22,115.2,strong,CLASS_A,pending,,572,True,571,True,False,12.05,11.695,91
ZBRA,2026-05-12,15.33,100.8,strong,CLASS_A,pending,,571,True,573,True,False,256,247,91
BW,2026-05-11,26.07,96.0,strong,CLASS_B,pending,,593,True,571,True,False,16.9999,16.49,91
BZH,2026-05-11,19.93,84.0,strong,CLASS_C,pending,,,False,571,False,False,25.39,25.25,91
MNDY,2026-05-11,19.16,100.8,strong,AMBIGUOUS_CHOP,loss,-0.05123682593479804,577,False,571,True,False,86.6558,82.7,91
MRAM,2026-05-11,29.68,115.2,strong,CLASS_A,loss,-0.14383298630136987,572,True,582,True,False,36.425,34.07,91
AKAM,2026-05-08,27.37,96.0,strong,CLASS_C,win,0.1201,,False,572,False,False,145.45,141,91
BILL,2026-05-08,10.17,54.7,strong,CLASS_A,loss,0.0416,571,True,579,False,False,41.23,40.481,91
CALY,2026-05-08,12.22,57.6,strong,CLASS_A,loss,0.0274,571,True,,False,False,16.25,15.74,91
FROG,2026-05-08,12.94,60.5,strong,CLASS_C,loss,0.015600000000000001,,False,572,False,False,68.27,65.1,91
INOD,2026-05-08,35.63,100.0,strong,CLASS_A,win,0.35200000000000004,571,True,,False,False,78.7,72.8,91
LASR,2026-05-08,14.56,72.0,game_changer,CLASS_A,win,0.17370000000000002,571,True,,False,False,77.05,74.2167,91
PGNY,2026-05-08,18.11,84.0,strong,AMBIGUOUS_CHOP,loss,0.0282,571,False,571,True,False,23.39,22.495,91
WEST,2026-05-08,41.17,100.0,strong,CLASS_A,win,0.08800000000000001,571,True,,False,False,7.88,6.87,91
WLDN,2026-05-08,13.99,76.3,strong,AMBIGUOUS_CHOP,win,0.10869999999999999,571,False,,False,False,86.97,78.05,73
ARRY,2026-05-07,11.32,54.7,strong,CLASS_C,win,0.1159,571,False,576,False,False,9.18,8.85,91
FLNC,2026-05-07,29.72,96.0,strong,CLASS_C,win,0.4439,571,False,571,False,False,20.2,19.1,91
FTNT,2026-05-07,15.04,96.0,game_changer,CLASS_A,win,0.1297,571,True,,False,False,107.59,104.51,91
JMIA,2026-05-07,26.14,96.0,strong,AMBIGUOUS_CHOP,loss,0.0067,572,False,572,True,False,9.45,8.87,90
MTSI,2026-05-07,17.14,84.0,strong,CLASS_C,win,0.1648,,False,571,False,False,355,342.17,90
PCT,2026-05-07,22.7,100.0,strong,CLASS_C,win,0.44299999999999995,,False,571,False,False,9.73,9.21,91
SEZL,2026-05-07,18.58,84.0,strong,CLASS_A,win,0.0669,571,True,571,True,False,101.99,95.06,91
SITM,2026-05-07,31.63,96.0,strong,CLASS_C,win,0.1311,,False,583,False,False,845,805,91
AMD,2026-05-06,19.22,96.0,game_changer,CLASS_A,loss,-0.041911698712375094,571,True,619,False,False,413.26,405.63,91
BLMN,2026-05-06,33.33,96.0,strong,CLASS_A,win,0.0745,571,True,,False,False,7.2,6.99,91
COMP,2026-05-06,38.43,100.0,strong,CLASS_C,loss,0.0195,,False,573,False,False,9.59,9.28,91
CRI,2026-05-06,18.37,84.0,strong,CLASS_A,loss,0.0473,571,True,,False,False,36.47,34.77,91
FLEX,2026-05-06,21.34,96.0,strong,CLASS_A,win,0.09359999999999999,571,True,,False,False,122,119,91
GEO,2026-05-06,16.72,100.0,strong,CLASS_C,loss,0.0225,571,False,572,False,False,21.7,21.16,91
GLW,2026-05-06,18.94,84.0,strong,CLASS_C,win,0.1664,571,False,578,False,False,190.49,186.99,91
HUT,2026-05-06,27.25,100.0,strong,CLASS_A,loss,0.0305,571,True,571,True,False,102.13,97.63,91
LIVN,2026-05-06,14.43,72.0,game_changer,CLASS_A,win,0.0984,571,True,,False,False,62.618,60.92,88
SMCI,2026-05-06,14.98,64.8,strong,CLASS_A,loss,-0.03207701982712023,571,True,575,True,False,32.5,31.26,91
CYRX,2026-05-05,15.57,100.0,strong,CLASS_A,win,0.1313,580,True,,False,False,11.89,10.99,89
EVER,2026-05-05,19.99,100.0,strong,CLASS_A,loss,-0.0055000000000000005,571,True,,False,False,19.15,18.15,91
FTRE,2026-05-05,18.37,84.0,strong,CLASS_A,win,0.006980041443996049,571,True,,False,False,14.3119,13.96,91
IART,2026-05-05,18.31,100.0,strong,CLASS_A,win,0.09300000000000001,583,True,,False,False,12.99,12.165,91
STRL,2026-05-05,29.37,96.0,strong,CLASS_A,win,0.10289999999999999,571,True,,False,False,739.1199,704.1027,91
AXTI,2026-05-01,16.76,84.0,strong,CLASS_A,win,0.3482,571,True,,False,False,86.695,78.05,91
TEAM,2026-05-01,26.11,100.0,strong,CLASS_A,loss,-0.013789874777725107,571,True,621,False,False,85.13,82.79,91
TWLO,2026-05-01,19.88,100.0,strong,CLASS_C,win,0.11109999999999999,,False,571,False,False,179.475,177.28,91
BAND,2026-04-30,18.34,84.0,strong,CLASS_A,win,0.33799999999999997,571,True,,False,False,33.095,30.875,91
FTAI,2026-04-30,15.13,84.0,strong,CLASS_A,win,0.1535,571,True,,False,False,237.36,226.99,91
GKOS,2026-04-30,20.85,96.0,game_changer,CLASS_C,loss,0.021400000000000002,572,False,573,False,False,143.97,140.275,88
PI,2026-04-30,27.53,100.0,strong,CLASS_C,win,0.09140000000000001,571,False,572,False,False,163.05,154.99,89
TTMI,2026-04-30,16.0,100.0,strong,CLASS_C,win,0.0528,,False,571,False,False,180,170,91
VIAV,2026-04-30,20.92,100.0,strong,CLASS_C,win,0.08800000000000001,,False,573,False,False,60.43,55.72,91
BE,2026-04-29,19.13,100.0,strong,CLASS_C,win,0.052199999999999996,,False,579,False,False,290.5,276.55,91
KALV,2026-04-29,38.25,96.0,strong,CLASS_A,loss,0.0066,571,True,606,True,False,26.71,26.69,91
