ticker,alert_date,source,skip_reason,skip_category,ep_score,gap_pct,rel_volume,catalyst_quality,open_d0,close_d0,ret_1d,ret_5d,ret_20d,max_high_5d,max_high_20d,scan_time_et,rank_by_gap,projected_vol_multiple,pm_rvol,adv,adv_source,minutes_since_open,filter_reason
AERO,2026-05-15,scan_filter,"filter:session_rvol_too_low: session_rvol=0.03x (today 374 / baseline 12,246 n=23) < 1.0x",session_rvol_low,,10.37,0.0,,14.85,14.99,,,,0.02020202020202025,0.02020202020202025,2026-05-15 13:45:00.030995+00:00,6,0.0,0.031,380376.1559385,polygon_20d,15,"filter:session_rvol_too_low: session_rvol=0.03x (today 374 / baseline 12,246 n=23) < 1.0x"
ARTV,2026-05-15,scan_filter,"pre-mkt volume 1,226 < 25,000 shares",pm_rvol_low,,8.9,0.0,,10.6,9.78,,,,0.00943396226415091,0.00943396226415091,2026-05-15 12:10:00.025483+00:00,10,,,391546.8348195,polygon_20d,,"pre-mkt volume 1,226 < 25,000 shares"
BRUN,2026-05-15,scan_filter,quality filter: filter:adv_no_data,adv_low,,8.35,0.25,,27.35,29.6,,,,0.15173674588665442,0.15173674588665442,2026-05-15 13:55:00.030998+00:00,9,3.9,,3099834.693602,pending,25,quality filter: filter:adv_no_data
BRUNW,2026-05-15,scan_filter,already up 72% in prior 5 days (extended),extension_gate,,18.99,0.29,,15.98,17.71,,,,0.24217772215269093,0.24217772215269093,2026-05-15 13:55:00.030998+00:00,2,4.5,,290225.0,pending,25,already up 72% in prior 5 days (extended)
CNSP,2026-05-15,scan_filter,"pre-mkt volume 1,871 < 25,000 shares",pm_rvol_low,,8.18,0.03,,5.04,4.95,,,,0.011904761904761828,0.011904761904761828,2026-05-15 12:15:00.015174+00:00,11,,,62664.3232085,polygon_20d,,"pre-mkt volume 1,871 < 25,000 shares"
FIG,2026-05-15,scan_filter,already scored earlier today,duplicate_scan,,9.53,0.51,,22.28,22.92,,,,0.07405745062836618,0.07405745062836618,2026-05-15 13:50:00.036548+00:00,8,9.9,4.88,18416573.765150003,polygon_20d,20,already scored earlier today
GENB,2026-05-15,scan_filter,"pre-mkt volume 818 < 25,000 shares",pm_rvol_low,,9.11,0.0,,15.25,16.0,,,,0.055081967213114744,0.055081967213114744,2026-05-15 12:50:00.020869+00:00,8,,,349434.17359250004,polygon_20d,,"pre-mkt volume 818 < 25,000 shares"
GPGI,2026-05-15,scan_filter,"pre-mkt volume 464 < 25,000 shares",pm_rvol_low,,10.31,0.0,,12.68,12.1,,,,0.0,0.0,2026-05-15 11:20:00.021695+00:00,5,,0.075,3538623.3495255,polygon_20d,,"pre-mkt volume 464 < 25,000 shares"
INKT,2026-05-15,scan_filter,"pre-mkt volume 1,939 < 25,000 shares",pm_rvol_low,,14.18,0.04,,11.09,10.72,,,,0.03626690712353477,0.03626690712353477,2026-05-15 13:15:00.026928+00:00,3,,,46202.425039,polygon_20d,,"pre-mkt volume 1,939 < 25,000 shares"
LIXT,2026-05-15,scan_filter,"quality filter: filter:adv_too_low: $154,014",adv_low,,9.14,0.72,,5.44,5.16,,,,0.051470588235294,0.051470588235294,2026-05-15 13:55:00.030998+00:00,7,11.2,,47236.886304,polygon_20d,25,"quality filter: filter:adv_too_low: $154,014"
MICC,2026-05-15,scan_filter,EP cooldown — alerted within last 60 days,cooldown,,11.72,1.21,,16.975,16.66,,,,0.003240058910161986,0.003240058910161986,2026-05-15 13:55:00.030998+00:00,6,18.9,9.553,1441005.0539935,polygon_20d,25,EP cooldown — alerted within last 60 days
PESI,2026-05-15,scan_filter,quality filter: filter:mcap_too_small: $188M < $500M,mcap_low,,11.91,1.68,,9.2,9.74,,,,0.14565217391304347,0.14565217391304347,2026-05-15 13:55:00.030998+00:00,5,26.2,,173061.1417645,polygon_20d,25,quality filter: filter:mcap_too_small: $188M < $500M
PZZA,2026-05-15,scan_filter,M&A/buyout catalyst — no momentum trade,ma_filter,,10.39,0.18,,36.09,34.73,,,,0.00027708506511493514,0.00027708506511493514,2026-05-15 13:45:00.030995+00:00,5,4.7,2.969,945657.39976,polygon_20d,15,M&A/buyout catalyst — no momentum trade
TRST,2026-05-15,scan_filter,"pre-mkt volume 100 < 25,000 shares",pm_rvol_low,,9.12,0.0,,48.99,48.38,,,,0.005511328842620861,0.005511328842620861,2026-05-15 13:45:00.030995+00:00,8,0.0,,94435.5685285,polygon_20d,15,"pre-mkt volume 100 < 25,000 shares"
TRT,2026-05-15,scan_filter,quality filter: filter:atr_too_high: 17.4% > 15.0%,atr_high,,11.96,0.58,,14.9,20.05,,,,0.4348993288590603,0.4348993288590603,2026-05-15 13:55:00.030998+00:00,4,9.0,1.65,811126.4724635,polygon_20d,25,quality filter: filter:atr_too_high: 17.4% > 15.0%
TWFG,2026-05-15,scan_filter,"pre-mkt volume 100 < 25,000 shares",pm_rvol_low,,8.88,0.0,,17.69,18.16,,,,0.04129451667608814,0.04129451667608814,2026-05-15 11:05:00.008826+00:00,7,,,265588.97745600005,polygon_20d,,"pre-mkt volume 100 < 25,000 shares"
WYY,2026-05-15,scan_filter,"quality filter: filter:adv_too_low: $477,973",adv_low,,8.57,1.01,,10.09,10.3,,,,0.06739345887016845,0.06739345887016845,2026-05-15 13:55:00.030998+00:00,8,15.8,,72865.875747,polygon_20d,25,"quality filter: filter:adv_too_low: $477,973"
ABSI,2026-05-14,scan_filter,"routine catalyst, gap 8.7%",catalyst_downgrade,,8.68,0.01,,5.74,5.54,-0.10627177700348438,,,0.040052264808362326,0.040052264808362326,2026-05-14 12:55:00.025698+00:00,19,,1.423,5736919.9183715,polygon_20d,,"routine catalyst, gap 8.7%"
AVAH,2026-05-14,scan_filter,outside top-20 gap cap (gap 8.9%),outside_top20,,8.86,0.42,,7.175,7.44,0.0759581881533101,,,0.12039024390243908,0.12039024390243908,2026-05-14 13:50:00.050162+00:00,26,8.2,,1209755.6010955,polygon_20d,20,outside top-20 gap cap (gap 8.9%)
BIIB,2026-05-14,scan_filter,"routine catalyst, gap 8.5%",catalyst_downgrade,,8.54,0.01,,200.25,191.37,-0.03645443196004999,,,0.02372034956304619,0.02372034956304619,2026-05-14 11:25:00.015537+00:00,14,,8.476,1308992.264769,polygon_20d,,"routine catalyst, gap 8.5%"
BRUN,2026-05-14,scan_filter,quality filter: filter:adv_no_data,adv_low,,10.33,0.23,,23.0,26.04,0.2869565217391305,,,0.3695652173913043,0.3695652173913043,2026-05-14 13:55:00.033271+00:00,19,3.6,,1561491.718218,pending,25,quality filter: filter:adv_no_data
BRUNW,2026-05-14,scan_filter,quality filter: filter:adv_no_data,adv_low,,20.48,0.17,,10.91,14.06,0.623281393217232,,,0.8194317140238314,0.8194317140238314,2026-05-14 13:55:00.033271+00:00,5,2.7,,219229.611856,pending,25,quality filter: filter:adv_no_data
CCM,2026-05-14,scan_filter,outside top-20 gap cap (gap 9.0%),outside_top20,,8.97,0.07,,5.31,5.06,-0.026365348399246646,,,0.13747645951035792,0.13747645951035792,2026-05-14 13:55:00.033271+00:00,23,1.1,,5565.5,polygon_20d,25,outside top-20 gap cap (gap 9.0%)
DDS,2026-05-14,scan_filter,outside top-20 gap cap (gap 8.5%),outside_top20,,8.52,0.01,,588.0,534.86,-0.08386054421768699,,,0.008316326530612221,0.008316326530612221,2026-05-14 13:40:00.032612+00:00,26,,,123914.740053,pending,10,outside top-20 gap cap (gap 8.5%)
DERM,2026-05-14,scan_filter,"quality filter: filter:adv_too_low: $773,938",adv_low,,26.01,0.27,,6.19,6.35,0.022617124394184115,,,0.08400646203554112,0.08400646203554112,2026-05-14 13:55:00.033271+00:00,2,4.2,,180798.415332,polygon_20d,25,"quality filter: filter:adv_too_low: $773,938"
