ticker,alert_date,user_label,in_theme,theme_name,theme_stage,theme_size,theme_context_score,score_membership,score_stage,score_size,outcome,ret_5d
AEHR,2026-04-16,"game_changer, but Delayed EP",True,Semiconductor Probe Card & Front-End Test Equipment,Accelerating,1,8,5,3,0,pending,
AIP,2026-05-13,No EP,False,,,0,0,0,0,0,pending,
AKAM,2026-05-08,strong,False,,,0,0,0,0,0,win,0.1201
AMBQ,2026-05-12,strong,False,,,0,0,0,0,0,pending,
AMD,2026-05-06,strong,True,Custom AI Silicon & Chip Architecture Licensing,Mainstream,1,7,5,2,0,loss,-0.041911698712375094
ARRY,2026-05-07,routine_mislabeled,False,,,0,0,0,0,0,win,0.1159
ARX,2026-05-14,routine_mislabeled,False,,,0,0,0,0,0,pending,
AXTI,2026-05-01,strong,True,Optical Components & Transceiver Manufacturers,Fading,4,7,5,0,2,win,0.3482
BAND,2026-04-30,strong,False,,,0,0,0,0,0,win,0.33799999999999997
BE,2026-04-29,"strong, delayed EP",True,AI Data Center Power Infrastructure,Mainstream,1,7,5,2,0,win,0.052199999999999996
BILL,2026-05-08,routine_mislabeled,False,,,0,0,0,0,0,loss,0.0416
BLMN,2026-05-06,strong,False,,,0,0,0,0,0,win,0.0745
BW,2026-05-11,strong,True,Agricultural Commodities & Agri-Business,Fading,1,5,5,0,0,pending,
BZH,2026-05-11,other,False,,,0,0,0,0,0,pending,
CADL,2026-04-20,strong,False,,,0,0,0,0,0,pending,
CALY,2026-05-08,routine_mislabeled,False,,,0,0,0,0,0,loss,0.0274
CHE,2026-04-24,routine_mislabeled,False,,,0,0,0,0,0,pending,
CMPS,2026-04-20,strong,False,,,0,0,0,0,0,pending,
COMP,2026-05-06,routine_mislabeled,False,,,0,0,0,0,0,loss,0.0195
CPA,2026-05-14,routine_mislabeled,False,,,0,0,0,0,0,pending,
CRI,2026-05-06,routine_mislabeled,False,,,0,0,0,0,0,loss,0.0473
CRMD,2026-05-14,routine_mislabeled,False,,,0,0,0,0,0,pending,
CRML,2026-04-27,game_changer,False,,,0,0,0,0,0,loss,-0.0339
CSCO,2026-05-14,routine_mislabeled,False,,,0,0,0,0,0,loss,-0.021346312207571248
CVLT,2026-04-28,routine_mislabeled,False,,,0,0,0,0,0,loss,0.0499
EOSE,2026-05-13,strong,False,,,0,0,0,0,0,pending,
EVER,2026-05-05,routine_mislabeled,False,,,0,0,0,0,0,loss,-0.0055000000000000005
FLEX,2026-05-06,strong,False,,,0,0,0,0,0,win,0.09359999999999999
FLNC,2026-05-07,strong,False,,,0,0,0,0,0,win,0.4439
