PTLE,2025-06-18,HIGH,none
LIMN,2025-07-10,MODERATE,none
GVH,2025-07-22,HIGH,none
GSIW,2025-07-24,HIGH,none
RAYA,2025-07-24,MODERATE,none
DPRO,2025-07-30,HIGH,MODERATE
IXHL,2025-07-30,HIGH,HIGH
RAYA,2025-07-31,HIGH,none
IXHL,2025-08-07,HIGH,HIGH
BINI,2025-08-19,HIGH,none
BINI,2025-08-27,MODERATE,none
CYCU,2025-09-02,HIGH,none
BINI,2025-09-15,MODERATE,none
RZLV,2025-10-01,HIGH,HIGH
NEBX,2025-10-02,none,none
DKI,2025-10-02,HIGH,none
ABAT,2025-10-20,HIGH,HIGH
YYAI,2025-10-22,HIGH,none
AREB,2025-10-22,HIGH,none
RGTU,2025-10-23,MODERATE,none
SLMT,2025-10-23,HIGH,HIGH
INBX,2025-10-24,HIGH,HIGH
YDKG,2025-10-31,HIGH,none
SMX,2025-11-05,HIGH,none
SOC,2025-11-10,MODERATE,none
PRTH,2025-11-10,none,none
WTO,2025-11-14,HIGH,none
KXIN,2025-11-17,HIGH,none
QUBX,2025-11-17,MODERATE,none
KXIN,2025-12-03,HIGH,none
SMX,2025-12-11,MODERATE,none
PAVS,2025-12-12,HIGH,HIGH
WOK,2025-12-15,HIGH,none
ZVZZT,2025-12-16,none,none
QSU,2025-12-17,none,none
PAVS,2025-12-18,HIGH,none
WOK,2025-12-29,HIGH,none
DGNX,2026-01-02,HIGH,none
SMX,2026-01-02,HIGH,none
OCG,2026-01-12,HIGH,none
OCG,2026-01-16,MODERATE,none
DGNX,2026-01-23,HIGH,none
OCG,2026-01-30,HIGH,none
USGG,2026-02-02,MODERATE,none
USAX,2026-02-02,MODERATE,none
BNAI,2026-02-05,MODERATE,none
HIMZ,2026-02-05,MODERATE,none
APLX,2026-02-06,none,none
RDTL,2026-02-06,MODERATE,none
XTKG,2026-02-11,none,none
ANPA,2026-02-20,MODERATE,none
TIRX,2026-02-23,none,none
ELPW,2026-03-05,HIGH,none
SHMD,2026-03-11,HIGH,MODERATE
ELPW,2026-03-13,HIGH,none
BATL,2026-03-18,HIGH,none
MOBX,2026-03-19,HIGH,none
ASTN,2026-04-02,none,none
BATL,2026-04-02,MODERATE,none
ANNA,2026-04-13,MODERATE,none
SKYQ,2026-04-20,MODERATE,none
XNDU,2026-04-22,MODERATE,MODERATE
FCHL,2026-04-24,MODERATE,none
SKYQ,2026-04-28,MODERATE,none
AIXI,2026-04-29,MODERATE,none
HTCO,2026-05-04,HIGH,none
