Pager usage is off.
==== the 21 "no catalyst" names: was a corpus even RETRIEVED? ====
verdict|n|avg_corpus_chars
corpus PRESENT — reasoning, not retrieval|21|3397
(1 row)

==== per name ====
ticker|alert_date|gap|corpus_chars
LWLG|2026-08-04|15.6|506
FN|2026-08-04|17.0|876
CHRN|2026-06-18|12.9|1108
ENPH|2026-06-30|11.4|1704
CHTR|2026-06-29|26.1|1819
NEXA|2026-07-02|12.1|1830
ACLS|2026-06-09|12.2|1950
AUGO|2026-06-15|13.4|2015
EWTX|2026-06-01|16.5|2130
NN|2026-06-03|14.6|2183
NUAI|2026-06-22|13.1|2486
CECO|2026-06-09|16.1|2775
WYFI|2026-08-12|17.3|2779
BRUN|2026-05-29|11.1|3123
GRRR|2026-06-02|17.6|4957
BFLY|2026-06-18|30.1|5219
NVTS|2026-06-03|15.4|5287
JBIO|2026-06-01|10.3|5733
COHR|2026-08-04|16.8|6895
ALNY|2026-07-09|15.5|7638
SOUN|2026-08-06|25.2|8323
(21 rows)
