ticker|alert_date|ruleset|score_tier_stored|score_lo|score_hi|admit|status|reason|entered|entry_px|stop|target|partial_fired|final_reason|realized_r|gap_through|day0_missing_minutes|sessions_abstained
BW|2026-05-11|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|16.9999|15.980099999999997|21.079100000000015|True|stop_hit|2.7062169052755403|False|1|0
BZH|2026-05-11|era_c_partial_8r|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||25.11||False|||False|1|0
DRTS|2026-05-11|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|settled||True|9.86|9.18|12.579999999999998|False|stop_hit|0.13235294117647042|False|2|0
MNDY|2026-05-11|era_c_partial_8r|HIGH|78.0|87.0|admit|settled||True|86.6558|78.7442|118.30219999999997|False|stop_hit|-1.0|False|0|0
MRAM|2026-05-11|era_c_partial_8r|HIGH|69.0|78.0|admit|settled||True|36.425|31.715000000000003|55.26499999999997|False|stop_hit|-1.0|False|0|0
WYFI|2026-05-11|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|23.7735|21.7265|31.961499999999987|False|stop_hit|-0.6470444553004391|False|4|0
AMBQ|2026-05-12|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|54.02|52.28|61.060000000000024|True|stop_hit|10.331034482758612|False|9|1
AVEX|2026-05-12|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|settled||True|26.35|24.85|32.35|False|sma_trail_stop|-0.3066666666666672|False|17|0
HLIT|2026-05-12|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|14.55|13.25|19.750000000000004|False|stop_hit|-1.0|False|0|0
PACS|2026-05-12|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|39.0|38.14|42.44|False|stop_hit|-1.0|False|11|0
SE|2026-05-12|era_c_partial_8r|HIGH|70.5|78.0|admit|abstain|day0_fill_bar_straddles_stop|True|94.71|93.04|101.38999999999994|False|||False|0|0
SIBN|2026-05-12|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|13.13|11.249999999999998|20.650000000000013|False|stop_hit|0.6281914893617019|False|20|1
TE|2026-05-12|era_c_partial_8r|HIGH|63.0|70.5|abstain_float_band_straddles_bar|settled||True|6.51|5.609999999999999|10.110000000000001|False|stop_hit|-1.0|False|0|0
VG|2026-05-12|era_c_partial_8r|HIGH|78.0|87.0|admit|settled||True|12.68|12.07|15.119999999999997|False|stop_hit|1.0163934426229535|True|0|1
VPG|2026-05-12|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|83.99|80.64999999999999|97.35000000000001|False|stop_hit|-1.0|False|48|0
VSTS|2026-05-12|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|12.05|11.34|14.890000000000004|False|stop_hit|-1.0|False|0|0
ZBRA|2026-05-12|era_c_partial_8r|HIGH|78.0|87.0|admit|settled||True|256.0|238.0|328.0|False|stop_hit|-1.0|False|4|0
AIP|2026-05-13|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_entry|never_crossed_orb_high|False||29.32||False|||False|14|0
EOSE|2026-05-13|era_c_partial_8r|HIGH|78.0|87.0|admit|no_entry|never_crossed_orb_high|False||8.569999999999999||False|||False|0|0
ARX|2026-05-14|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||13.400000000000002||False|||False||0
CPA|2026-05-14|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||123.41999999999999||False|||False||0
CRMD|2026-05-14|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|8.65|8.249999999999998|10.250000000000009|False|stop_hit|-1.0|False|23|0
CSCO|2026-05-14|era_c_partial_8r|HIGH|87.0|96.0|admit|settled||True|117.55|112.51|137.70999999999998|False|stop_hit|0.9126984126984159|False|0|1
FPS|2026-05-14|era_c_partial_8r|HIGH|67.5|75.0|admit|no_entry|never_crossed_orb_high|False||43.780300000000004||False|||False|0|0
GO|2026-05-14|era_c_partial_8r|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||8.020000000000001||False|||False|0|0
KLAR|2026-05-14|era_c_partial_8r|HIGH|63.0|70.5|abstain_float_band_straddles_bar|settled||True|15.92|14.44|21.840000000000003|False|stop_hit|0.668918918918919|False|0|1
STAA|2026-05-14|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||31.630000000000003||False|||False|6|0
STUB|2026-05-14|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|9.0|7.859999999999999|13.560000000000002|False|stop_hit|0.5780701754385968|False|0|1
VIK|2026-05-14|era_c_partial_8r|HIGH|78.0|87.0|admit|no_trade|window_out_of_orb|False||88.58||False|||False||0
VSNT|2026-05-14|era_c_partial_8r|HIGH|72.6|81.6|admit|settled||True|43.25|41.400000000000006|50.64999999999998|False|stop_hit|-1.0|False|2|0
FIG|2026-05-15|era_c_partial_8r|MODERATE|81.6|90.6|admit|settled||True|22.6199|20.8401|29.739100000000008|False|stop_hit|-0.6275424204966852|False|0|1
GEMI|2026-05-15|era_c_partial_8r|HIGH|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||6.160099999999999||False|||False|0|0
GLOB|2026-05-15|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||34.89999999999999||False|||False||0
AGYS|2026-05-19|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|94.5229|85.9371|128.86610000000002|False|stop_hit|-1.0|False|17|0
EVTC|2026-05-19|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|abstain|entry_window_gaps:20_of_29|False||24.400000000000002||False|||False|141|0
STC|2026-05-19|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|abstain|entry_window_gaps:22_of_29|False||68.37000000000002||False|||False|302|0
