Pager usage is off.
==== every window:out_of_orb skip, 90d, with what the stock then did ====
ticker|alert_date|detected_et|close_d0|peak_close_20d|peak_pct|settled_20d_pct
IDCC|2026-06-11|09:51|276.66|297.84|8|-5
AKTS|2026-06-12|09:55|21.93|32.23|47|15
PENG|2026-07-08|09:55|78.47|81.39|4|-29
IREN|2026-07-20|09:51|40.20|44.90|12|12
HAS|2026-07-21|09:50|88.78|97.04|9|6
NNE|2026-07-27|09:56|16.79|20.52|22|9
TEVA|2026-07-29|09:51|34.71|38.10|10|9
LRCX|2026-07-30|09:51|297.72|343.84|15|7
BLZE|2026-07-31|09:56|13.72|20.43|49|4
AMRC|2026-08-04|09:45|27.94|28.50|2|-19
TSAT|2026-08-04|09:56|54.75|61.40|12|-22
HGTY|2026-08-05|09:55|13.52|13.61|1|-2
ECG|2026-08-05|09:51|140.75|143.40|2|-20
CAI|2026-08-06|09:53|20.00|28.01|40|27
DCTH|2026-08-06|09:56|15.47|17.36|12|7
ONTO|2026-08-07|09:52|308.30|351.16|14|-13
MTW|2026-08-07|09:52|18.81|21.41|14|14
ACHR|2026-08-10|09:45|6.26|6.97|11|
NESR|2026-08-10|09:45|35.79|36.31|1|
MRX|2026-08-12|09:55|71.13|78.27|10|
BE|2026-08-12|09:50|237.16|252.87|7|
CRWV|2026-08-12|09:50|107.73|106.29|-1|
OMER|2026-08-13|09:45|17.35|19.32|11|
KURA|2026-08-13|09:51|10.09|13.59|35|
NMAX|2026-08-14|09:50|10.87|11.43|5|
TWST|2026-08-19|09:55|142.39|153.10|8|
UUUU|2026-08-21|09:55|15.14|15.97|5|
VEEV|2026-08-27|09:50|282.13|285.69|1|
CHRN|2026-08-27|09:50|20.74|20.26|-2|
(29 rows)
