=== CONF ===
id|ticker|alert_date|confidence_multiplier
10679|MRAM|2026-05-11|1.2
10680|BW|2026-05-11|1
10681|WYFI|2026-05-11|1
10682|BZH|2026-05-11|1
10683|MNDY|2026-05-11|1.2
10684|DRTS|2026-05-11|1.2
10685|PACS|2026-05-12|1
10686|TE|2026-05-12|1
10687|SIBN|2026-05-12|1
10688|ZBRA|2026-05-12|1.2
10689|VPG|2026-05-12|1.2
10690|HLIT|2026-05-12|1
10691|AMBQ|2026-05-12|1
10692|SE|2026-05-12|1
10693|VG|2026-05-12|1.2
10694|VSTS|2026-05-12|1.2
10695|AVEX|2026-05-12|1.2
10696|EOSE|2026-05-13|1.2
10697|AIP|2026-05-13|1.2
10698|FPS|2026-05-14|1
10699|GO|2026-05-14|1
10700|CSCO|2026-05-14|1.2
10701|STUB|2026-05-14|1
10702|STAA|2026-05-14|1
10703|KLAR|2026-05-14|1
10704|VSNT|2026-05-14|1.2
10705|CRMD|2026-05-14|1.2
10706|ARX|2026-05-14|1.2
10707|CPA|2026-05-14|1.2
10708|VIK|2026-05-14|1.2
10709|GEMI|2026-05-15|1
10710|FIG|2026-05-15|1.2
10711|GLOB|2026-05-15|1.2
10712|AGYS|2026-05-19|1.2
10713|STC|2026-05-19|1.2
10714|EVTC|2026-05-19|1.2
10715|IBRX|2026-05-20|1.2
10716|IMVT|2026-05-20|1.2
10717|TATT|2026-05-20|1.2
10718|SLS|2026-05-20|1.2
10719|DYN|2026-05-20|1
10720|GH|2026-05-20|1
10721|ARM|2026-05-20|1.2
10722|ALAB|2026-05-20|1.2
10723|INFQ|2026-05-21|1.2
10724|QUBT|2026-05-21|1.2
10725|RLAY|2026-05-21|1
10726|QBTS|2026-05-21|1.2
10727|PPTA|2026-05-22|1
10728|RDW|2026-05-26|1
10729|BTGO|2026-05-26|1.2
10730|PONY|2026-05-26|1.2
10731|ASPI|2026-05-26|1
10732|NNE|2026-05-26|1.2
10733|OKLO|2026-05-26|1.2
10734|POWI|2026-05-26|1
10735|FUTU|2026-05-26|1
10736|DY|2026-05-27|1.2
10737|CRSR|2026-05-27|1.2
10738|ASTI|2026-05-27|1.2
10739|QFIN|2026-05-27|1
10740|BBWI|2026-05-27|1.2
10741|ANF|2026-05-27|1.2
10742|RCAT|2026-05-28|1.2
10743|KTOS|2026-05-28|1.2
10744|AVAV|2026-05-28|1.2
10745|SNOW|2026-05-28|1.2
10746|PHR|2026-05-28|1
10747|KSS|2026-05-28|1.2
10748|DELL|2026-05-29|1.2
10749|CHA|2026-05-29|1.2
10750|PD|2026-05-29|1.2
10751|ASAN|2026-05-29|1.2
10752|BHVN|2026-05-29|1.2
10753|NOW|2026-06-01|1.2
10754|TNDM|2026-06-01|1.2
10755|SAIC|2026-06-01|1.2
10756|ALOY|2026-06-01|1.2
10757|SKM|2026-06-01|1
10758|HPE|2026-06-02|1.2
10759|MRVL|2026-06-02|1.2
10760|LAC|2026-06-02|1.2
10761|CAMT|2026-06-02|1.2
10762|GRRR|2026-06-02|1.2
10763|ABVX|2026-06-03|1.2
10764|NVTS|2026-06-03|1
10765|RUM|2026-06-04|1
10766|PGY|2026-06-04|1
10767|MRLN|2026-06-05|1
10768|TTAN|2026-06-05|1.2
10769|AGX|2026-06-05|1.2
10771|NRIX|2026-06-08|1.2
10775|CBRL|2026-06-10|1.2
10776|NAVN|2026-06-11|1
10777|ELVN|2026-06-11|1.2
10778|IDCC|2026-06-11|1.2
12301|SHAZ|2026-06-12|1.2
12302|AKTS|2026-06-12|1
12303|HQ|2026-06-15|1
12304|IDR|2026-06-15|1.2
12305|AUGO|2026-06-15|1.2
12306|MMYT|2026-06-15|1.2
12307|XE|2026-06-15|1.2
12308|HYMC|2026-06-15|1.2
12309|RXT|2026-06-16|1
12310|QURE|2026-06-17|1
12311|JBL|2026-06-17|1
12312|LZB|2026-06-17|1.2
12313|AEHR|2026-06-17|1
12314|SWBI|2026-06-18|1
12315|UUUU|2026-06-18|1.2
12316|MLTX|2026-06-22|1.2
12317|SYRE|2026-06-22|1
12318|DFTX|2026-06-22|1
12319|JBIO|2026-06-22|1.2
12320|ABSI|2026-06-24|1.2
12321|FCEL|2026-06-24|1
12322|WEN|2026-06-24|1
12323|MU|2026-06-25|1.2
12324|SNX|2026-06-25|1.2
12325|KYMR|2026-06-25|1
12326|ACAD|2026-06-26|1.2
12327|CHTR|2026-06-29|1
12328|QDEL|2026-06-29|1.2
12329|OUST|2026-06-29|1
12330|AVAV|2026-06-30|1
12331|SEDG|2026-06-30|1.2
12332|GRND|2026-07-01|1
12333|WULF|2026-07-06|1.2
12334|DOCN|2026-07-07|1.2
12335|KC|2026-07-08|1
12336|PENG|2026-07-08|1.2
12337|CRCL|2026-07-10|1
12338|WDFC|2026-07-10|1.2
12339|TSEM|2026-07-14|1
12340|CLSK|2026-07-14|1.2
12341|AEHR|2026-07-15|1.2
12342|PRG|2026-07-15|1
12343|MANE|2026-07-15|1.2
12344|MANE|2026-07-15|1.2
12345|SG|2026-07-17|1.2
12346|HUT|2026-07-20|1.2
12347|IREN|2026-07-20|1.2
12348|HAS|2026-07-21|1.2
12349|SMCI|2026-07-22|1
12350|ARWR|2026-07-22|1
12351|EFOR|2026-07-22|1.2
12352|NVCR|2026-07-23|1.2
12353|CLF|2026-07-23|1.2
12354|THC|2026-07-24|1
12355|WKC|2026-07-24|1
12356|QBTS|2026-07-27|1.2
