ticker|alert_date|ruleset|stored|score_lo|score_hi|bar|admit|adv_known|match
BW|2026-05-11|as_of_2026-05-11|96.0|96.0|96.0|65|admit|True|True
BZH|2026-05-11|as_of_2026-05-11|84.0|84.0|84.0|65|admit|True|True
DRTS|2026-05-11|as_of_2026-05-11|50.4|43.2|50.4|65|reject|True|True
MNDY|2026-05-11|as_of_2026-05-11|100.8|100.8|100.8|65|admit|True|True
MRAM|2026-05-11|as_of_2026-05-11|115.2|115.2|115.2|65|admit|True|True
WYFI|2026-05-11|as_of_2026-05-11|51.6|36.0|42.0|65|reject|True|False
AMBQ|2026-05-12|as_of_2026-05-12|84.0|84.0|84.0|65|admit|True|True
AVEX|2026-05-12|as_of_2026-05-12|54.7|36.0|43.2|65|reject|True|False
HLIT|2026-05-12|as_of_2026-05-12|84.0|84.0|84.0|65|admit|True|True
PACS|2026-05-12|as_of_2026-05-12|96.0|96.0|96.0|65|admit|True|True
SE|2026-05-12|as_of_2026-05-12|54.0|50.4|56.4|65|reject|True|False
SIBN|2026-05-12|as_of_2026-05-12|51.6|36.0|42.0|65|reject|True|False
TE|2026-05-12|as_of_2026-05-12|84.0|84.0|84.0|65|admit|True|True
VG|2026-05-12|as_of_2026-05-12|54.7|57.6|64.8|65|reject|True|False
VPG|2026-05-12|as_of_2026-05-12|100.8|100.8|100.8|65|admit|True|True
VSTS|2026-05-12|as_of_2026-05-12|115.2|115.2|115.2|65|admit|True|True
ZBRA|2026-05-12|as_of_2026-05-12|100.8|100.8|100.8|65|admit|True|True
AIP|2026-05-13|as_of_2026-05-13|115.2|115.2|115.2|65|admit|True|True
EOSE|2026-05-13|as_of_2026-05-13|115.2|115.2|115.2|65|admit|True|True
ARX|2026-05-14|as_of_2026-05-14|100.8|100.8|100.8|65|admit|True|True
CPA|2026-05-14|as_of_2026-05-14|67.7|43.2|50.4|65|reject|True|False
CRMD|2026-05-14|as_of_2026-05-14|64.8|43.2|50.4|65|reject|True|False
CSCO|2026-05-14|as_of_2026-05-14|100.8|100.8|100.8|65|admit|True|True
FPS|2026-05-14|as_of_2026-05-14|84.0|84.0|84.0|65|admit|True|True
GO|2026-05-14|as_of_2026-05-14|84.0|84.0|84.0|65|admit|True|True
KLAR|2026-05-14|as_of_2026-05-14|84.0|84.0|84.0|65|admit|True|True
STAA|2026-05-14|as_of_2026-05-14|96.0|96.0|96.0|65|admit|True|True
STUB|2026-05-14|as_of_2026-05-14|54.0|36.0|42.0|65|reject|True|False
VIK|2026-05-14|as_of_2026-05-14|57.6|57.6|64.8|65|reject|True|True
VSNT|2026-05-14|as_of_2026-05-14|100.8|100.8|100.8|65|admit|True|True
FIG|2026-05-15|as_of_2026-05-15|57.6|53.3|60.5|65|reject|True|False
GEMI|2026-05-15|as_of_2026-05-15|96.0|96.0|96.0|65|admit|True|True
GLOB|2026-05-15|as_of_2026-05-15|89.3|43.2|50.4|65|reject|True|False
AGYS|2026-05-19|as_of_2026-05-19|72.0|43.2|50.4|65|reject|True|False
EVTC|2026-05-19|as_of_2026-05-19|54.7|43.2|50.4|65|reject|True|False
STC|2026-05-19|as_of_2026-05-19|50.4|43.2|50.4|65|reject|True|True
ALAB|2026-05-20|as_of_2026-05-20|100.8|100.8|100.8|65|admit|True|True
ARM|2026-05-20|as_of_2026-05-20|100.8|100.8|100.8|65|admit|True|True
DYN|2026-05-20|as_of_2026-05-20|84.0|84.0|84.0|65|admit|True|True
GH|2026-05-20|as_of_2026-05-20|96.0|96.0|96.0|65|admit|True|True
IBRX|2026-05-20|as_of_2026-05-20|72.0|53.3|60.5|65|reject|True|False
IMVT|2026-05-20|as_of_2026-05-20|115.2|115.2|115.2|65|admit|True|True
SLS|2026-05-20|as_of_2026-05-20|100.8|100.8|100.8|65|admit|True|True
TATT|2026-05-20|as_of_2026-05-20|64.8|36.0|43.2|65|reject|True|False
INFQ|2026-05-21|as_of_2026-05-21|115.2|115.2|115.2|65|admit|True|True
QBTS|2026-05-21|as_of_2026-05-21|64.8|60.5|67.7|65|abstain_float_band_straddles_bar|True|False
QUBT|2026-05-21|as_of_2026-05-21|64.8|57.6|64.8|65|reject|True|True
RLAY|2026-05-21|as_of_2026-05-21|72.0|72.0|72.0|65|admit|True|True
PPTA|2026-05-22|as_of_2026-05-22|72.0|72.0|72.0|65|admit|True|True
ASPI|2026-05-26|as_of_2026-05-26|54.0|36.0|42.0|65|reject|True|False
BTGO|2026-05-26|as_of_2026-05-26|50.4|28.8|36.0|65|reject|True|False
FUTU|2026-05-26|as_of_2026-05-26|51.6|36.0|42.0|65|reject|True|False
NNE|2026-05-26|as_of_2026-05-26|50.4|31.7|38.9|65|reject|True|False
OKLO|2026-05-26|as_of_2026-05-26|64.8|64.8|72.0|65|abstain_float_band_straddles_bar|True|True
PONY|2026-05-26|as_of_2026-05-26|64.8|43.2|50.4|65|reject|True|False
POWI|2026-05-26|as_of_2026-05-26|84.0|84.0|84.0|65|admit|True|True
RDW|2026-05-26|as_of_2026-05-26|84.0|84.0|84.0|65|admit|True|True
ANF|2026-05-27|as_of_2026-05-27|57.6|31.7|38.9|65|reject|True|False
ASTI|2026-05-27|as_of_2026-05-27|61.9|21.6|28.8|65|reject|True|False
BBWI|2026-05-27|as_of_2026-05-27|54.7|38.9|46.1|65|reject|True|False
CRSR|2026-05-27|as_of_2026-05-27|100.8|100.8|100.8|65|admit|True|True
DY|2026-05-27|as_of_2026-05-27|50.4|57.6|64.8|65|reject|True|False
QFIN|2026-05-27|as_of_2026-05-27|66.0|30.0|36.0|65|reject|True|False
AVAV|2026-05-28|as_of_2026-05-28|72.0|57.6|64.8|65|reject|True|False
KSS|2026-05-28|as_of_2026-05-28|64.8|46.1|53.3|65|reject|True|False
KTOS|2026-05-28|as_of_2026-05-28|64.8|57.6|64.8|65|reject|True|True
PHR|2026-05-28|as_of_2026-05-28|54.0|30.0|36.0|65|reject|True|False
RCAT|2026-05-28|as_of_2026-05-28|100.8|100.8|100.8|65|admit|True|True
SNOW|2026-05-28|as_of_2026-05-28|53.3|57.6|64.8|65|reject|True|False
ASAN|2026-05-29|as_of_2026-05-29|53.3|21.6|28.8|65|reject|True|False
BHVN|2026-05-29|as_of_2026-05-29|64.8|43.2|50.4|65|reject|True|False
CHA|2026-05-29|as_of_2026-05-29|50.4|21.6|28.8|65|reject|True|False
DELL|2026-05-29|as_of_2026-05-29|115.2|115.2|115.2|65|admit|True|True
PD|2026-05-29|as_of_2026-05-29|50.4|28.8|36.0|65|reject|True|False
ALOY|2026-06-01|as_of_2026-06-01|86.4|43.2|50.4|65|reject|True|False
NOW|2026-06-01|as_of_2026-06-01|54.7|64.8|72.0|65|abstain_float_band_straddles_bar|True|False
SAIC|2026-06-01|as_of_2026-06-01|50.4|38.9|46.1|65|reject|True|False
SKM|2026-06-01|as_of_2026-06-01|50.4|44.4|50.4|65|reject|True|True
TNDM|2026-06-01|as_of_2026-06-01|54.7|43.2|50.4|65|reject|True|False
CAMT|2026-06-02|as_of_2026-06-02|50.4|53.3|60.5|65|reject|True|False
GRRR|2026-06-02|as_of_2026-06-02|100.8|100.8|100.8|65|admit|True|True
HPE|2026-06-02|as_of_2026-06-02|115.2|115.2|115.2|65|admit|True|True
LAC|2026-06-02|as_of_2026-06-02|54.7|53.3|60.5|65|reject|True|False
MRVL|2026-06-02|as_of_2026-06-02|115.2|115.2|115.2|65|admit|True|True
ABVX|2026-06-03|as_of_2026-06-03|50.4|38.9|46.1|65|reject|True|False
NVTS|2026-06-03|as_of_2026-06-03|84.0|84.0|84.0|65|admit|True|True
PGY|2026-06-04|as_of_2026-06-04|66.0|44.4|50.4|65|reject|True|False
RUM|2026-06-04|as_of_2026-06-04|84.0|84.0|84.0|65|admit|True|True
AGX|2026-06-05|as_of_2026-06-05|86.4|86.4|86.4|65|admit|True|True
MRLN|2026-06-05|as_of_2026-06-05|60.0|36.0|42.0|65|reject|True|False
TTAN|2026-06-05|as_of_2026-06-05|100.8|100.8|100.8|65|admit|True|True
NRIX|2026-06-08|as_of_2026-06-08|75.6|72.0|72.0|70|admit|True|False
CBRL|2026-06-10|as_of_2026-06-10|54.7|36.0|43.2|65|reject|True|False
ELVN|2026-06-11|as_of_2026-06-11|84.0|84.0|84.0|70|admit|True|True
IDCC|2026-06-11|as_of_2026-06-11|84.0|84.0|84.0|70|admit|True|True
NAVN|2026-06-11|as_of_2026-06-11|80.0|80.0|80.0|70|admit|True|True
AKTS|2026-06-12|as_of_2026-06-12|54.0|36.0|42.0|65|reject|True|False
SHAZ|2026-06-12|as_of_2026-06-12|86.4|86.4|86.4|65|admit|True|True
AUGO|2026-06-15|as_of_2026-06-15|50.4|21.6|28.8|65|reject|True|False
HQ|2026-06-15|as_of_2026-06-15|84.0|84.0|84.0|65|admit|True|True
HYMC|2026-06-15|as_of_2026-06-15|53.3|31.7|38.9|65|reject|True|False
IDR|2026-06-15|as_of_2026-06-15|50.4|28.8|36.0|65|reject|True|False
MMYT|2026-06-15|as_of_2026-06-15|60.5|21.6|28.8|65|reject|True|False
XE|2026-06-15|as_of_2026-06-15|50.4|38.9|46.1|65|reject|True|False
RXT|2026-06-16|as_of_2026-06-16|84.0|84.0|84.0|65|admit|True|True
AEHR|2026-06-17|as_of_2026-06-17|70.0|70.0|70.0|70|admit|True|True
JBL|2026-06-17|as_of_2026-06-17|60.0|60.0|60.0|70|reject|True|True
LZB|2026-06-17|as_of_2026-06-17|54.0|30.0|36.0|70|reject|True|False
QURE|2026-06-17|as_of_2026-06-17|80.0|80.0|80.0|70|admit|True|True
SWBI|2026-06-18|as_of_2026-06-18|70.0|70.0|70.0|70|admit|False|True
UUUU|2026-06-18|as_of_2026-06-18|72.0|72.0|72.0|70|admit|True|True
DFTX|2026-06-22|as_of_2026-06-22|60.0|60.0|60.0|70|reject|True|True
JBIO|2026-06-22|as_of_2026-06-22|66.0|36.0|42.0|70|reject|True|False
MLTX|2026-06-22|as_of_2026-06-22|96.0|96.0|96.0|70|admit|True|True
SYRE|2026-06-22|as_of_2026-06-22|60.0|60.0|62.0|70|reject|True|True
ABSI|2026-06-24|as_of_2026-06-24|100.8|100.8|100.8|65|admit|True|True
FCEL|2026-06-24|as_of_2026-06-24|84.0|84.0|84.0|65|admit|True|True
WEN|2026-06-24|as_of_2026-06-24|54.0|36.0|42.0|65|reject|True|False
KYMR|2026-06-25|as_of_2026-06-25|80.0|80.0|80.0|70|admit|True|True
MU|2026-06-25|as_of_2026-06-25|96.0|96.0|96.0|70|admit|True|True
SNX|2026-06-25|as_of_2026-06-25|72.0|72.0|72.0|70|admit|True|True
ACAD|2026-06-26|as_of_2026-06-26|84.0|84.0|84.0|70|admit|True|True
CHTR|2026-06-29|as_of_2026-06-29|55.0|37.0|42.0|75|reject|True|False
OUST|2026-06-29|as_of_2026-06-29|70.0|70.0|70.0|75|reject|True|True
QDEL|2026-06-29|as_of_2026-06-29|54.0|30.0|36.0|75|reject|True|False
AVAV|2026-06-30|as_of_2026-06-30|54.0|42.0|48.0|65|reject|True|False
SEDG|2026-06-30|as_of_2026-06-30|54.7|57.6|64.8|65|reject|True|False
GRND|2026-07-01|as_of_2026-07-01|56.4|36.0|42.0|65|reject|True|False
WULF|2026-07-06|as_of_2026-07-06|96.0|96.0|96.0|70|admit|True|True
DOCN|2026-07-07|as_of_2026-07-07|115.2|115.2|115.2|65|admit|True|True
KC|2026-07-08|as_of_2026-07-08|50.0|30.0|35.0|70|reject|True|False
