ticker|alert_date|era|acct|status|reason|stop_recon|stop_live|stop_match|entered|entry_recon|entry_live|partial_recon|partial_live|final_recon|final_live|r_recon|r_live|dr|gap_through
KURA|2026-04-17|as_of_2026-04-17|paper|settled||9.495|9.495|True|True|9.56|9.57|True|False|stop_hit|stop_hit|0.153|0.021|0.132|False
INTC|2026-04-24|as_of_2026-04-24|paper|settled||82.022|82.022|True|True|84.0|84.036076|False|False|stop_hit|stop_hit|-0.47|-0.478|0.009|False
FTRE|2026-05-05|as_of_2026-05-05|paper|settled||13.96|13.96|True|True|14.3119|14.31|True|True|stop_hit|stop_hit|0.52|0.14|0.381|False
BW|2026-05-11|as_of_2026-05-11|paper|settled||16.49|16.49|True|True|16.9999|17.05|True|True|sma_trail_stop|sma_trail_stop|3.732|2.521|1.211|False
CSCO|2026-05-14|as_of_2026-05-14|paper|settled||115.03|115.03|True|True|117.55|117.55|False|False|stop_hit|stop_hit|-0.426|-0.424|-0.002|False
KLAR|2026-05-14|as_of_2026-05-14|paper|settled||15.18|15.18|True|True|15.92|15.92|False|False|stop_hit|stop_hit|-0.929|-0.954|0.025|False
RLAY|2026-05-21|as_of_2026-05-21|paper|settled||14.8|14.8|True|True|15.22|15.298413|False|False|stop_hit|stop_hit|-0.628|-0.791|0.162|False
CRSR|2026-05-27|as_of_2026-05-27|paper|abstain|entry_window_gaps:389_of_389|8.4|8.4|True|False||8.772422|False|True||stop_hit||1.692||False
DY|2026-05-27|as_of_2026-05-27|paper|abstain|entry_window_gaps:389_of_389|535.5|535.5|True|False||546.46|False|False||stop_hit||-0.532||False
RCAT|2026-05-28|as_of_2026-05-28|paper|abstain|entry_window_gaps:389_of_389|11.955|11.955|True|False||12.57|False|True||stop_hit||1.302||False
DELL|2026-05-29|as_of_2026-05-29|paper|abstain|entry_window_gaps:389_of_389|416.98|416.98|True|False||421.112609|False|False||stop_hit||-0.286||False
NVTS|2026-06-03|as_of_2026-06-03|paper|abstain|entry_window_gaps:389_of_389|30.55|30.55|True|False||31.79|False|False||stop_hit||-0.862||False
RUM|2026-06-04|as_of_2026-06-04|paper|abstain|entry_window_gaps:380_of_380|9.4|9.4|True|False||9.935633|False|False||stop_hit||-1.072||False
NRIX|2026-06-08|as_of_2026-06-08|paper|abstain|entry_window_gaps:389_of_389|16.1|16.1|True|False||16.956238|False|False||stop_hit||-1.2||False
NAVN|2026-06-11|as_of_2026-06-11|paper|abstain|entry_window_gaps:389_of_389|23.03|23.03|True|False||24.399071|False|False||stop_hit||-1.096||False
JBL|2026-06-17|as_of_2026-06-17|paper|abstain|entry_window_gaps:385_of_385|407.4|407.4|True|False||413.835454|False|False||stop_hit||-1.504||False
