theme_date	name	stage	rs_avg	source	tickers
2026-06-01	Agricultural Commodities & Agri-Business	Fading	-1	live	AGRO,DAR
2026-06-01	AI Datacenter Optical Transceivers & Components	Fading	77.8	live	LITE,MXL,AAOI,COHR
2026-06-01	AI Data Center Power Infrastructure	Fading	77.3	live	GEV,VRT,BE,PWR,AGX,FCEL,FPS
2026-06-01	AI Memory & Storage	Nascent	96.6	live	SIMO,MRAM,WDC,STX,SNDK,MU
2026-06-01	Autonomous Military Drone Swarm & AI Defense Software	Fading	-1	live	KYTX,SWMR
2026-06-01	Cell & Genome Engineering Oncology	Retired	-1	live	""
2026-06-01	Consumer Discretionary Home Furnishings Rebound	Fading	-1	live	SEAT,LOVE
2026-06-01	Crypto Asset Recovery	Mainstream	97.3	live	HUT,RIOT
2026-06-01	Custom AI Silicon & Chip Architecture Licensing	Mainstream	98	live	INTC,MRVL,QUIK,AIP,AMD,CEVA,ALAB,ARM
2026-06-01	Cybersecurity Network Edge & SD-WAN	Retired	-1	live	""
2026-06-01	Defense Electronics & Avionics Mission Systems	Fading	-1	live	ISSC,KTOS,AVEX
2026-06-01	Edge CDN & Cloud-Native Developer Platforms	Fading	-1	live	FSLY,DOCN
2026-06-01	Edge Cloud & Developer CDN Platforms	Retired	-1	live	""
2026-06-01	Enterprise Server & AI Infrastructure Hardware	Fading	-1	live	TEN,CVE
2026-06-01	Firearms & Personal Defense Manufacturing	Fading	-1	live	SWBI,LINC
2026-06-01	Gold & Precious Metals Mining	Fading	-1	live	AU,ORLA
2026-06-01	Gold & Silver Junior Miners Momentum	Retired	-1	live	""
2026-06-01	Hemp & Cannabis-Derived Wellness Beverages	Retired	-1	live	""
2026-06-01	Hydraulic Fracturing & Completion Services	Retired	-1	live	""
2026-06-01	Inflammatory Disease & Immunology Biologics	Mainstream	76.8	live	DNTH,SYRE,ORKA
2026-06-01	Lithium & Battery Critical Minerals Mining	Fading	-1	live	SGML,BMM
2026-06-01	Network Security & Zero-Trust Edge	Nascent	98.4	live	DDOG,PANW,CRWD,FTNT,GRRR
2026-06-01	Nitrogen Fertilizer & Ammonia Producers	Retired	-1	live	""
2026-06-01	Nitrogen Fertilizer & Crop Nutrient Producers	Fading	-1	live	CLMT,CF
2026-06-01	Nylon & Engineered Polymer Intermediates	Fading	-1	live	ASIX,CC
2026-06-01	Optical Components & Transceiver Manufacturers	Fading	75.6	live	POET,CIEN,VIAV,AXTI,LASR,GLW,OPTX
2026-06-01	Physical AI & Robotics	Fading	-1	live	IRBT,HYLN
2026-06-01	Power Semiconductor & Mixed-Signal Display Drivers	Mainstream	95.7	live	SYNA,NVTS,AOSL,HIMX
2026-06-01	Precious & Streaming Metals Royalty & Junior Miners	Fading	-1	live	AUGO,SSRM
2026-06-01	Precision Frequency & Timing Defense Electronics	Accelerating	95.1	live	FEIM,ECOR
2026-06-01	Primary Aluminum Smelting & Rolling	Accelerating	88.5	live	CENX,CSTM,AA
2026-06-01	Pure-Play Frac & Completion Pressure Pumping Services	Retired	-1	live	""
2026-06-01	Pure-Play Hydraulic Fracturing & Completion Services	Fading	72	live	HAL,WDS,PTEN,ACDC,ANNA,OVV,PUMP
2026-06-01	Rare Earth Magnets & Critical Battery Materials	Retired	-1	live	""
2026-06-01	Robo-Advisor & AI-Driven Wealth Management Platforms	Retired	-1	live	""
2026-06-01	Satellite Imagery & Geospatial Intelligence	Mainstream	92.9	live	SPIR,PL,SATL,BKSY
2026-06-01	Semiconductor Burn-In & Final-Test Equipment Pure-Play	Fading	-1	live	TER,ONTO
2026-06-01	Semiconductor Capital Equipment	Retired	-1	live	""
2026-06-01	Semiconductor Probe Card & Front-End Test Equipment	Retired	-1	live	""
2026-06-01	Semiconductor Wafer Foundry & Advanced IC Manufacturing	Nascent	92.3	live	UCTT,UMC,AEHR,ACMR,AMAT,GFS,KLAC,FORM,ATOM,TSEM
2026-06-01	Silicon Carbide Power Semiconductors & EV Infrastructure	Mainstream	95.6	live	WOLF,STM
2026-06-01	Single-Cell Genomics & Spatial Biology Instrumentation	Accelerating	86	live	INKT,TXG
2026-06-01	U.S. Shale & Onshore E&P	Fading	69.3	live	CVX,SOC,APA,XOM,COP,BATL,EOG,PTEN,PUMP,CHRD,E,SM,FANG,OXY,VIST,TALO,HAL
2026-06-01	Workforce Solutions & Technical Staffing Services	Retired	-1	live	""
2026-06-02	Agricultural Commodities & Agri-Business	Fading	-1	live	AGRO,DAR
2026-06-02	AI Datacenter Optical Transceivers & Components	Mainstream	92.7	live	COHR,AAOI,MXL,LITE
2026-06-02	AI Data Center Power Infrastructure	Nascent	85.5	live	VRT,AGX,FPS,GEV,PWR,BE,FCEL
2026-06-02	AI Memory & Storage	Mainstream	97.6	live	MU,WDC,SIMO,SNDK,MRAM,STX
2026-06-02	Autonomous Military Drone Swarm & AI Defense Software	Fading	-1	live	KYTX,SWMR
2026-06-02	Cell & Genome Engineering Oncology	Fading	-1	live	VOR,ARCT
2026-06-02	Consumer Discretionary Home Furnishings Rebound	Fading	-1	live	SEAT,LOVE
2026-06-02	Crypto Asset Recovery	Mainstream	96.2	live	HUT,RIOT
2026-06-02	Custom AI Silicon & Chip Architecture Licensing	Mainstream	98.6	live	CEVA,AMD,ALAB,MRVL,INTC,ARM,AIP,QUIK
2026-06-02	Cybersecurity Network Edge & SD-WAN	Mainstream	98.2	live	FTNT,DDOG
2026-06-02	Defense Electronics & Avionics Mission Systems	Fading	-1	live	KTOS,AVEX
2026-06-02	Edge CDN & Cloud-Native Developer Platforms	Retired	-1	live	""
2026-06-02	Edge Cloud & Developer CDN Platforms	Fading	82	live	DOCN,FSLY
2026-06-02	Enterprise Server & AI Infrastructure Hardware	Retired	-1	live	""
2026-06-02	Firearms & Personal Defense Manufacturing	Retired	-1	live	""
2026-06-02	Gold & Precious Metals Mining	Fading	-1	live	AU,ORLA
2026-06-02	Gold & Silver Junior Miners Momentum	Fading	-1	live	HYMC,VMET
2026-06-02	Hemp & Cannabis-Derived Wellness Beverages	Fading	-1	live	RYM,MLEC
2026-06-02	Hydraulic Fracturing & Completion Services	Nascent	75.5	live	PTEN,LBRT,PUMP,ACDC,OVV,ANNA,HAL,WDS
2026-06-02	Inflammatory Disease & Immunology Biologics	Fading	-1	live	DNTH,SYRE,ORKA
2026-06-02	Lithium & Battery Critical Minerals Mining	Fading	-1	live	SGML,BMM
2026-06-02	Network Security & Zero-Trust Edge	Nascent	98	live	DDOG,FTNT,PANW,GRRR,CRWD
2026-06-02	Nitrogen Fertilizer & Ammonia Producers	Retired	-1	live	""
2026-06-02	Nitrogen Fertilizer & Crop Nutrient Producers	Fading	-1	live	CLMT,CF
2026-06-02	Nylon & Engineered Polymer Intermediates	Fading	-1	live	ASIX,CC
2026-06-02	Optical Components & Transceiver Manufacturers	Mainstream	88.9	live	LASR,CIEN,GLW,VIAV,POET,OPTX,AXTI
2026-06-02	Physical AI & Robotics	Fading	-1	live	IRBT,HYLN
2026-06-02	Power Semiconductor & Mixed-Signal Display Drivers	Mainstream	98.9	live	NVTS,HIMX,AOSL,SYNA
2026-06-02	Precious & Streaming Metals Royalty & Junior Miners	Fading	-1	live	AUGO,SSRM
2026-06-02	Precision Frequency & Timing Defense Electronics	Mainstream	93.5	live	ECOR,FEIM
2026-06-02	Primary Aluminum Smelting & Rolling	Accelerating	91.7	live	CSTM,CENX,AA
2026-06-02	Pure-Play Frac & Completion Pressure Pumping Services	Retired	-1	live	""
2026-06-02	Pure-Play Hydraulic Fracturing & Completion Services	Retired	-1	live	""
2026-06-02	Rare Earth Magnets & Critical Battery Materials	Retired	-1	live	""
2026-06-02	Robo-Advisor & AI-Driven Wealth Management Platforms	Fading	-1	live	WLTH,LIFE
2026-06-02	Satellite Imagery & Geospatial Intelligence	Mainstream	95.8	live	BKSY,SPIR,PL
2026-06-02	Semiconductor Burn-In & Final-Test Equipment Pure-Play	Retired	-1	live	""
2026-06-02	Semiconductor Capital Equipment	Retired	-1	live	""
2026-06-02	Semiconductor Probe Card & Front-End Test Equipment	Fading	84	live	TER,ONTO
2026-06-02	Semiconductor Wafer Foundry & Advanced IC Manufacturing	Nascent	96.2	live	ATOM,FORM,GFS,ACMR,TSEM,AEHR,KLAC,UCTT,AMAT,UMC
2026-06-02	Silicon Carbide Power Semiconductors & EV Infrastructure	Mainstream	98	live	STM,WOLF
2026-06-02	Single-Cell Genomics & Spatial Biology Instrumentation	Fading	-1	live	INKT,TXG
2026-06-02	U.S. Shale & Onshore E&P	Fading	72	live	CHRD,PTEN,OXY,BATL,COP,EOG,FANG,E,HAL,SM,XOM,VIST,CVX,PUMP,APA,SOC,TALO
2026-06-02	Workforce Solutions & Technical Staffing Services	Fading	-1	live	KELYB,RCMT
2026-06-03	Agricultural Commodities & Agri-Business	Fading	-1	live	AGRO,DAR
