ABSI|2026-06-24|HIGH|100.8|16.33|2026-06-24 07:00:00|strong|judge|HIGH|19.65
ABVX|2026-06-03|MODERATE|50.4|15.14|2026-06-03 08:20:00|routine|||19.99
ACAD|2026-06-26|HIGH|84|15.34|2026-06-26 08:00:00|strong|judge|HIGH|3.58
AEHR|2026-04-16|HIGH|100|18.59|2026-04-16 07:55:14|strong|||
AEHR|2026-06-17|MODERATE|70|15.87|2026-06-17 09:50:00|strong|judge|HIGH|7.49
AEHR|2026-07-15|HIGH|96|29.5|2026-07-15 07:00:00|game_changer|judge|HIGH|
AGX|2026-06-05|HIGH|86.4|10.96|2026-06-05 07:05:00|game_changer|||0.9
AGYS|2026-05-19|HIGH|72|14.81|2026-05-19 07:00:00|strong|||4.21
AIP|2026-05-13|HIGH|115.2|20.81|2026-05-13 07:00:00|strong|||8.21
AKAM|2026-05-08|HIGH|96|27.37|2026-05-08 07:00:00|strong|||12.01
AKTS|2026-06-12|HIGH|54|11.92|2026-06-12 09:55:00|strong|judge|MODERATE|15.55
ALAB|2026-05-20|HIGH|100.8|15.68|2026-05-20 18:40:37|strong|||
ALOY|2026-06-01|HIGH|86.4|14.25|2026-06-01 09:55:00|strong|||33.48
AMBQ|2026-05-12|HIGH|84|18.68|2026-05-12 07:55:00|strong|||11.07
AMD|2026-05-06|HIGH|96|19.22|2026-05-06 07:00:00|game_changer|||11.35
ANF|2026-05-27|HIGH|57.6|11.23|2026-05-27 09:55:00|routine|||1.22
APLD|2026-04-23|MODERATE|53.3|9.11|2026-04-23 09:50:47|strong|||
APPF|2026-04-24|MODERATE|63.6|10.01|2026-04-24 09:51:08|strong|||
ARM|2026-05-20|HIGH|100.8|16.36|2026-05-20 18:40:37|strong|||
ARRY|2026-05-07|HIGH|54.7|11.32|2026-05-07 07:00:00|strong|||11.59
ARX|2026-05-14|HIGH|100.8|17.64|2026-05-14 09:50:00|strong|||17.66
ASAN|2026-05-29|MODERATE|53.3|11.56|2026-05-29 09:45:00|routine|||21.3
ASPI|2026-05-26|MODERATE|54|10.63|2026-05-26 07:50:00|strong|||23.23
ASTI|2026-05-27|MODERATE|61.9|13.48|2026-05-27 09:45:00|routine|||44.76
ASTN|2026-04-20|MODERATE|51.8|29.11|2026-04-20 07:55:11|routine|||
AVAV|2026-05-28|HIGH|72|10.33|2026-05-28 07:00:00|strong|||0.88
AVAV|2026-06-30|HIGH|54|25.3|2026-06-30 07:00:00|routine|judge|MODERATE|21.39
AVEX|2026-05-12|MODERATE|54.7|8.28|2026-05-12 09:15:00|strong|||2.1
AVNS|2026-04-14|MODERATE|64.8|67.72|2026-04-14 07:20:14|routine|||
AXTI|2026-05-01|HIGH|84|16.76|2026-05-01 09:50:00|strong|||34.82
BAND|2026-04-30|HIGH|84|18.34|2026-04-30 07:35:15|strong|||33.8
BBWI|2026-05-27|HIGH|54.7|15|2026-05-27 09:50:00|routine|||5.84
BE|2026-04-29|HIGH|100|19.13|2026-04-29 07:00:18|strong|||5.22
BHVN|2026-05-29|MODERATE|64.8|11.47|2026-05-29 09:50:00|strong|||4.81
BILL|2026-05-08|HIGH|54.7|10.17|2026-05-08 07:00:00|strong|||4.16
BLMN|2026-05-06|HIGH|96|33.33|2026-05-06 09:50:00|strong|||7.45
BTGO|2026-05-26|MODERATE|50.4|15.87|2026-05-26 07:10:00|routine|||5.86
BTSG|2026-05-01|MODERATE|57.6|12.03|2026-05-01 09:50:00|strong|||4.51
BW|2026-05-11|HIGH|96|26.07|2026-05-11 07:00:00|strong|||16.5
BZH|2026-05-11|HIGH|84|19.93|2026-05-11 07:20:00|strong|||-0.64
CADL|2026-04-20|HIGH|100|17.03|2026-04-20 11:18:57|strong|||
CALY|2026-05-08|HIGH|57.6|12.22|2026-05-08 09:55:00|strong|||2.74
CAMT|2026-06-02|MODERATE|50.4|10.37|2026-06-02 08:40:00|strong|||-0.71
CBRL|2026-06-10|MODERATE|54.7|25.33|2026-06-10 09:50:00|routine|floor|MODERATE|7.35
CHA|2026-05-29|MODERATE|50.4|12.48|2026-05-29 07:45:00|routine|||5.02
CHE|2026-04-24|HIGH|100|17.94|2026-04-24 09:55:23|strong|||
CLSK|2026-07-14|HIGH|96|17.15|2026-07-14 07:00:00|game_changer|judge|HIGH|
CMPS|2026-04-20|HIGH|100|22.37|2026-04-20 07:00:18|strong|||
COCO|2026-04-29|MODERATE|50.4|13.89|2026-04-29 08:00:11|strong|||3.94
COMP|2026-05-06|HIGH|100|38.43|2026-05-06 07:00:00|strong|||1.95
CPA|2026-05-14|HIGH|67.7|13.12|2026-05-14 09:55:00|strong|||1.4
CRCL|2026-07-10|HIGH|60|10.76|2026-07-10 07:05:00|game_changer|judge|MODERATE|1.07
CRI|2026-05-06|HIGH|84|18.37|2026-05-06 09:55:00|strong|||4.73
CRMD|2026-05-14|HIGH|64.8|12.35|2026-05-14 08:10:00|strong|||3.53
CRML|2026-04-27|HIGH|72|10.34|2026-04-27 08:40:19|game_changer|||-3.39
CRSR|2026-05-27|HIGH|100.8|15.33|2026-05-27 08:15:00|strong|||33.4
CSCO|2026-05-14|HIGH|100.8|16.32|2026-05-14 07:00:00|strong|||3.34
CVLT|2026-04-28|HIGH|74.9|9.81|2026-04-28 09:55:31|strong|||4.99
CYRX|2026-05-05|HIGH|100|15.57|2026-05-05 09:50:00|strong|||13.13
DELL|2026-05-29|HIGH|115.2|36.26|2026-05-29 07:00:00|strong|||11.54
DFTX|2026-06-22|HIGH|60|14.38|2026-06-22 07:20:00|game_changer|judge|MODERATE|28.72
DOCN|2026-07-07|HIGH|115.2|15.62|2026-07-07 09:20:00|game_changer|judge|HIGH|8.29
DQ|2026-04-22|MODERATE|51.8|13.91|2026-04-22 11:20:59|routine|||
DRTS|2026-05-11|MODERATE|50.4|10.46|2026-05-11 07:35:00|strong|||4.54
DRVN|2026-04-30|MODERATE|50.4|10.83|2026-04-30 09:45:43|routine|||5.01
DY|2026-05-27|HIGH|50.4|14.16|2026-05-27 07:20:00|strong|||4.3
DYN|2026-05-20|HIGH|84|17.86|2026-05-20 18:40:37|strong|||
ELVN|2026-06-11|HIGH|84|18.33|2026-06-11 08:40:00|strong|judge|HIGH|17.34
EOSE|2026-05-13|HIGH|115.2|31.11|2026-05-13 07:00:00|strong|||2.66
EVER|2026-05-05|HIGH|100|19.99|2026-05-05 07:35:00|strong|||-0.55
EVTC|2026-05-19|MODERATE|54.7|11.25|2026-05-19 07:15:00|strong|||3.95
FCEL|2026-06-24|HIGH|84|17.51|2026-06-24 07:20:00|strong|judge|HIGH|75.7
FIG|2026-05-15|MODERATE|57.6|8.65|2026-05-15 07:00:00|strong|||12.74
FIVN|2026-05-01|MODERATE|54.7|14.07|2026-05-01 07:00:00|strong|||13.93
FLEX|2026-05-06|HIGH|96|21.34|2026-05-06 07:00:00|strong|||9.36
FLNC|2026-05-07|HIGH|96|29.72|2026-05-07 07:00:00|strong|||44.39
FMC|2026-04-30|MODERATE|57.6|8.26|2026-04-30 07:15:16|strong|||1.11
FPS|2026-05-14|HIGH|84|17.75|2026-05-14 07:00:00|strong|||-1.24
FRMI|2026-04-22|MODERATE|56.4|12.75|2026-04-22 11:21:22|routine|||
FROG|2026-05-08|HIGH|60.5|12.94|2026-05-08 09:50:00|strong|||1.56
FTAI|2026-04-30|HIGH|84|15.13|2026-04-30 09:50:34|strong|||15.35
FTNT|2026-05-07|HIGH|96|15.04|2026-05-07 07:00:00|game_changer|||12.97
FTRE|2026-05-05|HIGH|84|18.37|2026-05-05 09:15:00|strong|||11.49
FUTU|2026-05-26|MODERATE|51.6|15.53|2026-05-26 09:50:00|routine|||9.38
GEMI|2026-05-15|HIGH|96|22.24|2026-05-15 07:00:00|strong|||0.72
GEO|2026-05-06|HIGH|100|16.72|2026-05-06 07:00:00|strong|||2.25
GH|2026-05-20|HIGH|96|17.01|2026-05-20 18:40:37|game_changer|||
GHRS|2026-04-20|HIGH|100|18.65|2026-04-20 08:00:12|strong|||
GKOS|2026-04-30|HIGH|96|20.85|2026-04-30 09:50:27|game_changer|||2.14
GLOB|2026-05-15|HIGH|89.3|10.59|2026-05-15 09:50:00|strong|||7.98
GLW|2026-05-06|HIGH|84|18.94|2026-05-06 09:50:00|strong|||16.64
GO|2026-05-14|HIGH|84|17.38|2026-05-14 07:00:00|strong|||10.3
GRND|2026-07-01|MODERATE|56.4|13.26|2026-07-01 09:50:00|strong|judge|MODERATE|4.27
GRPN|2026-04-21|MODERATE|50.4|14.92|2026-04-21 08:05:08|routine|||
GRRR|2026-06-02|HIGH|100.8|17.64|2026-06-02 09:20:00|strong|||-9.23
GSHD|2026-04-23|HIGH|100|17.78|2026-04-23 09:50:26|strong|||
GTX|2026-04-30|MODERATE|57.6|14.28|2026-04-30 09:56:42|strong|||8.51
HCSG|2026-04-22|HIGH|96|22.79|2026-04-22 11:20:32|strong|||
HLIT|2026-05-12|HIGH|84|15.2|2026-05-12 07:25:00|strong|||6.95
HPE|2026-06-02|HIGH|115.2|25.28|2026-06-02 07:00:00|strong|||-0.28
HQ|2026-06-15|MODERATE|84|19.71|2026-06-15 09:50:00|strong|judge|HIGH|152.53
HUT|2026-05-06|HIGH|100|27.25|2026-05-06 09:50:00|strong|||3.05
HYMC|2026-06-15|MODERATE|53.3|13.82|2026-06-15 09:55:00|routine|judge|MODERATE|2.19
IART|2026-05-05|HIGH|100|18.31|2026-05-05 09:50:00|strong|||9.3
IBRX|2026-05-20|HIGH|72|10.18|2026-05-20 09:50:00|strong|||3.04
IDCC|2026-06-11|HIGH|84|15.2|2026-06-11 09:50:00|strong|judge|HIGH|8.01
IDYA|2026-04-13|MODERATE|50.4|17.8|2026-04-13 09:55:19|routine|||
IMVT|2026-05-20|HIGH|115.2|35.26|2026-05-20 18:40:37|strong|||0.56
INBX|2026-04-22|HIGH|96|31.55|2026-04-22 08:25:09|strong|||
INFQ|2026-05-21|HIGH|115.2|22|2026-05-21 07:00:00|strong|||24.15
INOD|2026-05-08|HIGH|100|35.63|2026-05-08 07:00:00|strong|||35.2
INTC|2026-04-24|HIGH|100|27.88|2026-04-24 07:00:15|strong|||
JBL|2026-06-17|HIGH|60|10.77|2026-06-17 09:35:00|game_changer|judge|HIGH|4.02
JMIA|2026-05-07|HIGH|96|26.14|2026-05-07 09:15:00|strong|||0.67
KALV|2026-04-29|HIGH|96|38.25|2026-04-29 07:55:10|strong|||0.66
KC|2026-07-08|MODERATE|50|11.76|2026-07-08 09:50:00|strong|judge|MODERATE|6.08
KFRC|2026-04-28|HIGH|96|28.07|2026-04-28 09:50:34|strong|||3.55
