EEIQ|2026-03-30|skipped|adv_too_low ($70,931)|||||||0|0|||paper
TH|2026-04-01|skipped|no ORB bar fetched — first 1-min bar missing from Alpaca IEX feed|||||||0|0|||paper
AEHR|2026-04-16|cancelled|expired|87|84.65|4.154285714285714|87|84.65|1000|0|0|||paper
KURA|2026-04-17|closed||9.56|9.495|0.20714285714285716|9.57|9.57|1000|20.919999999999554|0|2026-04-17 11:35:44|2026-04-21 12:32:41|paper
CADL|2026-04-20|cancelled|canceled|6.52|6.425|0.1899999999999999|6.52|6.425|1004.08|0|0|||paper
CMPS|2026-04-20|skipped|stop too wide — ORB range $0.80 (9.3%) exceeds 1.5× ATR; risk per share too large|||||||0|0|||paper
GHRS|2026-04-20|skipped|zero ORB range — open=high=low=$20.91; illiquid or locked opening minute, no breakout level to buy above|||||||0|0|||paper
NKTR|2026-04-20|skipped|stop too wide — ORB range $3.33 (3.5%) exceeds 1.5× ATR; risk per share too large|||||||0|0|||paper
USGG|2026-04-20|skipped|zero ORB range — open=high=low=$16.01; illiquid or locked opening minute, no breakout level to buy above|||||||0|0|||paper
HCSG|2026-04-22|skipped|infra:subscribe_timeout: event-loop hang — retro-fit|||||||0|0|||paper
INBX|2026-04-22|skipped|infra:subscribe_timeout: event-loop hang — retro-fit|||||||0|0|||paper
KYTX|2026-04-22|skipped|infra:subscribe_timeout: event-loop hang — retro-fit|||||||0|0|||paper
NMAX|2026-04-22|skipped|infra:subscribe_timeout: event-loop hang — retro-fit|||||||0|0|||paper
BSX|2026-04-23|closed||66.735|65.57||66.744726|65.57|995.95|-252.2|0|2026-04-23 09:37:23|2026-04-23 11:49:04|paper
FRMI|2026-04-23|skipped|infra:no_bar|||||||0|0|||paper
GSHD|2026-04-23|cancelled|canceled|53.57|53.355|1.202857142857143|53.57|53.355|997.99|0|0|||paper
SIRI|2026-04-23|cancelled|canceled|28.73|28.55||28.73|26.4|999.57|0|0|||paper
TLRY|2026-04-23|skipped|setup:stop_too_wide: stop distance 24.8% > 15%|||||||0|0|||paper
URI|2026-04-23|skipped|setup:zero_range: open=high=low=$953.99|||||||0|0|||paper
WST|2026-04-23|skipped|setup:stop_too_wide: ORB range $6.33 (2.1%) > 1.5x ATR $5.41|||||||0|0|||paper
CHE|2026-04-24|cancelled|cancelled|444.595|438.84|4.9178571428571445|444.595|438.84|992.88|0|0|||paper
CX|2026-04-24|skipped|infra:no_bar|||||||0|0|||paper
INTC|2026-04-24|closed||84|82.022|1.9118571428571427|84.036076|82.022|997.68|-477.34|0|2026-04-24 09:35:36|2026-04-24 11:47:44|paper
PENN|2026-04-24|skipped|infra:no_bar|||||||0|0|||paper
TXN|2026-04-24|skipped|infra:no_bar|||||||0|0|||paper
WKC|2026-04-24|skipped|setup:stop_too_wide: ORB range $2.70 (10.0%) > 1.5x ATR $0.43|||||||0|0|||paper
OGN|2026-04-27|skipped|setup:faded_from_orb: last $13.19 < midpoint $13.21 (ORB H=$13.24 L=$13.18, faded 0.4%)|||||||0|0|||paper
ORKA|2026-04-27|skipped|setup:faded_from_orb: last $87.96 < midpoint $89.35 (ORB H=$91.00 L=$87.69, faded 3.3%)|||||||0|0|||paper
CRML|2026-04-28|skipped|setup:faded_from_orb: last $12.41 < threshold $12.49 (ratio=0.25, ORB H=$12.92 L=$12.35, faded 3.9%)|||||||0|0|||paper
CVLT|2026-04-28|skipped|window:out_of_orb: detected 09:55 ET|||||||0|0|||paper
KFRC|2026-04-28|skipped|window:out_of_orb: detected 09:51 ET|||||||0|0|||paper
