ticker|alert_date|trade_date|close|high_price|low_price
ABCL|2026-08-10|2026-08-10|9.34|10.01|8.4
ABCL|2026-08-10|2026-08-11|9.76|10.29|9.02
ABCL|2026-08-10|2026-08-12|10.355|10.38|9
ABCL|2026-08-10|2026-08-13|10.97|11.065|10.22
ABCL|2026-08-10|2026-08-14|11.38|11.5|10.47
ABCL|2026-08-10|2026-08-17|11.2|11.645|10.6044
ABCL|2026-08-10|2026-08-18|11.12|11.515|10.7
ABCL|2026-08-10|2026-08-19|12.01|12.15|11.47
ACAD|2026-06-26|2026-06-26|25.32|27.31|25.07
ACAD|2026-06-26|2026-06-29|25.2|25.725|24.95
ACAD|2026-06-26|2026-06-30|25.3|26|25.02
ACAD|2026-06-26|2026-07-01|25.2|25.55|24.935
ACAD|2026-06-26|2026-07-02|25.97|26.2268|25.13
ACAD|2026-06-26|2026-07-06|25.77|26|25.24
ACAD|2026-06-26|2026-07-07|26.2|26.35|25.63
ACAD|2026-06-26|2026-07-08|26|26.29|25.59
AEHR|2026-07-15|2026-07-15|87.79|110.2|86.28
AEHR|2026-07-15|2026-07-16|84.2|87.7336|79.69
AEHR|2026-07-15|2026-07-17|81.05|88.3|76.75
AEHR|2026-07-15|2026-07-20|77.36|88.8899|75.2
AEHR|2026-07-15|2026-07-21|98.91|99.17|83.17
AEHR|2026-07-15|2026-07-22|93.54|101.22|93.33
AEHR|2026-07-15|2026-07-23|88.51|97.15|87.41
AEHR|2026-07-15|2026-07-24|76.32|87.455|75.51
AMBQ|2026-05-12|2026-05-12|66.37|66.59|53.14
AMBQ|2026-05-12|2026-05-13|71.29|72.4765|62.81
AMBQ|2026-05-12|2026-05-14|73.3|73.32|67.28
AMBQ|2026-05-12|2026-05-15|70.57|73.72|66.5
AMBQ|2026-05-12|2026-05-18|71.34|73|67.3001
AMBQ|2026-05-12|2026-05-19|71.14|73.4999|65.41
AMBQ|2026-05-12|2026-05-20|76.61|77.56|70.53
AMBQ|2026-05-12|2026-05-21|76.56|79.47|73.38
AMD|2026-05-06|2026-05-06|421.39|430.6|402.04
AMD|2026-05-06|2026-05-07|408.46|421.71|401.08
AMD|2026-05-06|2026-05-08|455.19|456.29|418.29
AMD|2026-05-06|2026-05-11|458.79|469.215|450.88
AMD|2026-05-06|2026-05-12|448.29|458.8|426.11
AMD|2026-05-06|2026-05-13|445.5|459.5|432.65
AMD|2026-05-06|2026-05-14|449.7|453.31|435.68
AMD|2026-05-06|2026-05-15|424.1|439|423.3616
AMLX|2026-08-18|2026-08-18|35.11|35.39|28
AMLX|2026-08-18|2026-08-19|38.6|39.07|35.3207
AMLX|2026-08-18|2026-08-20|39.66|40.4388|37.372
AMLX|2026-08-18|2026-08-21|38.66|41.14|38.35
AMLX|2026-08-18|2026-08-24|38.15|39.38|37.45
AMLX|2026-08-18|2026-08-25|37.46|38.88|36.84
