id|ticker|alert_date|status|account_mode|entry_attempt|signal_type|skip_reason|orb_high|orb_low|atr_14|entry_price|stop_price|hard_stop|risk_dollars|risk_dollars_actual|entry_shares|total_pnl|partial_taken|hold_days|filled_at|closed_at|exits_json
1|EEIQ|2026-03-30|skipped|paper|1|magna53|adv_too_low ($70,931)||||||||||0|f|0|||[]
2|TH|2026-04-01|skipped|paper|1|magna53|no ORB bar fetched — first 1-min bar missing from Alpaca IEX feed||||||||||0|f|0|||[]
5|AEHR|2026-04-16|cancelled|paper|1|magna53|expired|87|84.65|4.154285714285714|87|84.65|84.65|1000||229|0|f|0|||[]
6|KURA|2026-04-17|closed|paper|1|magna53||9.56|9.495|0.20714285714285716|9.57|9.57|9.495|1000||2092|20.919999999999554|f|3|2026-04-17 15:35:44.545492+00|2026-04-21 16:32:41.872291+00|[{"pnl": 20.919999999999554, "time": "2026-04-21T16:32:41.872079", "price": 9.58, "reason": "stop_hit", "shares": 2092.0, "source": "websocket", "attempt": 1}]
7|CADL|2026-04-20|cancelled|paper|1|magna53|canceled|6.52|6.425|0.1899999999999999|6.52|6.425|6.425|1004.08||3079|0|f|0|||[]
8|CMPS|2026-04-20|skipped|paper|1|magna53|stop too wide — ORB range $0.80 (9.3%) exceeds 1.5× ATR; risk per share too large||||||||||0|f|0|||[]
9|GHRS|2026-04-20|skipped|paper|1|magna53|zero ORB range — open=high=low=$20.91; illiquid or locked opening minute, no breakout level to buy above||||||||||0|f|0|||[]
10|NKTR|2026-04-20|skipped|paper|1|magna53|stop too wide — ORB range $3.33 (3.5%) exceeds 1.5× ATR; risk per share too large||||||||||0|f|0|||[]
11|USGG|2026-04-20|skipped|paper|1|magna53|zero ORB range — open=high=low=$16.01; illiquid or locked opening minute, no breakout level to buy above||||||||||0|f|0|||[]
15|HCSG|2026-04-22|skipped|paper|1|magna53|infra:subscribe_timeout: event-loop hang — retro-fit||||||||||0|f|0|||[]
13|INBX|2026-04-22|skipped|paper|1|magna53|infra:subscribe_timeout: event-loop hang — retro-fit||||||||||0|f|0|||[]
12|KYTX|2026-04-22|skipped|paper|1|magna53|infra:subscribe_timeout: event-loop hang — retro-fit||||||||||0|f|0|||[]
14|NMAX|2026-04-22|skipped|paper|1|magna53|infra:subscribe_timeout: event-loop hang — retro-fit||||||||||0|f|0|||[]
17|BSX|2026-04-23|closed|paper|1|magna53||66.735|65.57||66.744726|65.57|65.57|995.95||201|-252.2|f|0|2026-04-23 13:37:23.787949+00|2026-04-23 15:49:04+00|[{"at": "2026-04-23T15:49:04Z", "qty": 201, "price": 65.49, "reason": "manual_exit_bracket_bug"}]
16|FRMI|2026-04-23|skipped|paper|1|magna53|infra:no_bar||||||||||0|f|0|||[]
20|GSHD|2026-04-23|cancelled|paper|1|magna53|canceled|53.57|53.355|1.202857142857143|53.57|53.355|53.355|997.99||372|0|f|0|||[]
19|SIRI|2026-04-23|cancelled|paper|1|magna53|canceled|28.73|28.55||28.73|26.4|26.4|999.57||429|0|f|0|||[]
18|TLRY|2026-04-23|skipped|paper|1|magna53|setup:stop_too_wide: stop distance 24.8% > 15%||||||||||0|f|0|||[]
21|URI|2026-04-23|skipped|paper|1|magna53|setup:zero_range: open=high=low=$953.99||||||||||0|f|0|||[]
22|WST|2026-04-23|skipped|paper|1|magna53|setup:stop_too_wide: ORB range $6.33 (2.1%) > 1.5x ATR $5.41||||||||||0|f|0|||[]
29|CHE|2026-04-24|cancelled|paper|1|magna53|cancelled|444.595|438.84|4.9178571428571445|444.595|438.84|438.84|992.88||44|0|f|0|||[]
24|CX|2026-04-24|skipped|paper|1|magna53|infra:no_bar||||||||||0|f|0|||[]
26|INTC|2026-04-24|closed|paper|1|magna53||84|82.022|1.9118571428571427|84.036076|82.022|82.022|997.68||237|-477.34|f|0|2026-04-24 13:35:36.352928+00|2026-04-24 15:47:44.184025+00|[{"pnl": -477.34, "time": "2026-04-24 15:47:44.184025+00", "price": 82.022, "reason": "stop_hit", "shares": 237, "source": "manual_cleanup_2026-04-24_oto_id_bug", "attempt": 1}]
25|PENN|2026-04-24|skipped|paper|1|magna53|infra:no_bar||||||||||0|f|0|||[]
23|TXN|2026-04-24|skipped|paper|1|magna53|infra:no_bar||||||||||0|f|0|||[]
28|WKC|2026-04-24|skipped|paper|1|magna53|setup:stop_too_wide: ORB range $2.70 (10.0%) > 1.5x ATR $0.43||||||||||0|f|0|||[]
30|OGN|2026-04-27|skipped|paper|1|magna53|setup:faded_from_orb: last $13.19 < midpoint $13.21 (ORB H=$13.24 L=$13.18, faded 0.4%)||||||||||0|f|0|||[]
