id|ticker|alert_date|signal_type|status|skip_reason|orb_high|orb_low|atr_14|entry_price|stop_price|hard_stop|risk_dollars|entry_shares|remaining_shares|partial_taken|total_pnl|hold_days|created_at|closed_at|quarantined|was_replayed|exits_json
3|BE|2026-04-29|magna53|no_entry||290.5|276.55000000000001136868377216160297393798828125|||||||0|f|||2026-04-29 14:00:08.383148+00||f|f|[]
4|CNC|2026-04-29|9m_day2|gate_blocked|setup:stop_too_wide: stop distance 16.2% > 15%|52.75|50.39999999999999857891452847979962825775146484375|||||||0|f|||2026-04-29 14:00:08.717476+00||f|f|[]
1|KALV|2026-04-29|magna53|no_entry||26.760000000000001563194018672220408916473388671875|26.690000000000001278976924368180334568023681640625|||||||0|f|||2026-04-29 14:00:08.368315+00||f|f|[]
5|NXPI|2026-04-29|magna53|gate_blocked|setup:stop_too_wide: ORB range $6.93 (2.5%) > 1.5x ATR $6.11|285|278.06999999999999317878973670303821563720703125|||||||0|f|||2026-04-29 14:00:08.384289+00||f|f|[]
2|RSI|2026-04-29|magna53|no_entry||29|26.6099999999999994315658113919198513031005859375|||||||0|f|||2026-04-29 14:00:08.373172+00||f|f|[]
6|STX|2026-04-29|magna53|gate_blocked|setup:stop_too_wide: ORB range $31.70 (4.8%) > 1.5x ATR $17.44|693.700000000000045474735088646411895751953125|662|||||||0|f|||2026-04-29 14:00:08.718899+00||f|f|[]
11|BAND|2026-04-30|magna53|gate_blocked|setup:stop_too_wide: ORB range $4.50 (14.6%) > 1.5x ATR $1.30|35.371499999999997498889570124447345733642578125|30.875|||||||0|f|||2026-04-30 14:00:01.495705+00||f|f|[]
12|FCEL|2026-04-30|9m_day2|no_entry||13.368700000000000471800376544706523418426513671875|12.5|||||||0|f|||2026-04-30 14:00:01.634257+00||f|f|[]
14|NXPI|2026-04-30|9m_day2|no_entry||289.55500000000000682121026329696178436279296875|282.08999999999997498889570124447345733642578125|||||||0|f|||2026-04-30 14:00:02.006471+00||f|f|[]
9|QCOM|2026-04-30|9m_day2|closed||172.05000000000001136868377216160297393798828125|164.69999999999998863131622783839702606201171875||172.05000000000001136868377216160297393798828125|172.05000000000001136868377216160297393798828125|151|968.299999999999954525264911353588104248046875|46|0|t|418.59999999999973852027324028313159942626953125|109|2026-04-30 14:00:01.478191+00|2026-08-17 20:50:00.054396+00|t|f|[{"pnl": 721.2799999999999, "time": "2026-05-08T16:00:00", "price": 219.09, "reason": "partial_profit", "shares": 15.333333333333334}, {"pnl": -302.6800000000001, "time": "2026-08-17T16:00:00", "price": 162.18, "reason": "sma_trail_stop", "shares": 30.666666666666664}]
