ticker	d	tick	rt_gap	open_gap	hi_gap	prev_close	tailx	fwd_n	adr_pct
BNAI	2026-07-27	08:50	16.67	6.81	17.20	11.16	3.747118648434743	15	10.274451227993005
HQ	2026-07-27	09:20	11.11	4.79	17.09	11.7	2.7531390627083625	15	16.230923800196646
PRE	2026-07-27	09:31	10.41	0.91	10.41	18.74	0.7743506025920263	15	11.188080780926759
IMMR	2026-07-27	09:35	10.43	2.61	18.87	6.52	1.0142531733169122	15	4.015169286310724
JACK	2026-07-27	09:35	12.37	5.36	12.71	14.55	5.029378351445581	15	9.361713504944872
JLHL	2026-07-27	09:40	20.39	1.32	21.88	6.08	3.837268082436658	15	41.34552049673351
GENI	2026-07-27	09:40	10.03	4.94	14.74	6.48	3.092605456283715	15	5.871039503732785
NIPG	2026-07-27	09:40	11.29	0.00	87.42	15.5	0.47383162554445396	15	17.83482522012301
ARQQ	2026-07-27	09:40	12.01	3.12	14.05	16.65	3.1042775708939323	15	11.907342537991084
IONQ	2026-07-27	09:45	11.07	4.96	13.19	32.84	5.0617411486396025	15	6.613765996548884
INFQ	2026-07-27	09:45	10.81	3.57	12.60	8.97	4.795878301374516	15	7.979444059700795
BUUU	2026-07-27	09:45	13.8	6.35	15.00	20.0	5.326011234700308	15	12.999808806890329
EAF	2026-07-27	09:45	10.62	1.48	13.98	7.44	0.5532948111484791	15	11.600479722846188
SDOT	2026-07-27	09:50	12.73	5.65	13.81	17.52	-0.044759049844454765	15	47.09831903999547
ASAN	2026-07-27	09:55	10.06	3.50	15.60	6.86	4.178202378852423	15	6.577917600844077
FTH	2026-07-27	09:55	10.82	0.57	11.74	28.29	1.6873304456045977	15	13.660996667914581
RGEN	2026-07-28	09:40	12.67	6.59	17.50	131.06	3.812211565332852	14	4.35958240772447
AWI	2026-07-28	09:40	10.14	3.05	14.14	165.22	2.3191860468452123	14	2.3339302024883604
TRU	2026-07-28	09:45	10.21	-0.44	11.98	77.24	0.585427734204836	14	3.4754182051421294
SILC	2026-07-29	08:15	20.59	7.65	14.68	38.02	4.915178552817732	13	9.974479137783716
ALOY	2026-07-29	09:31	11.46	5.59	15.96	7.33	9.811363783017537	13	10.69575262053081
AIAI	2026-07-29	09:35	10.57	2.72	10.57	5.51	2.4660452120906764	13	14.013220541025365
MPLT	2026-07-29	09:35	14.38	2.60	30.54	12.31	0.31564662919379083	13	10.12441990212137
CLW	2026-07-29	09:35	11.99	8.05	26.33	17.51	1.893667040857157	13	4.838456077888158
QUAD	2026-07-29	09:35	12.25	6.30	18.79	8.41	6.503008217122453	13	3.070533904521435
GRMN	2026-07-29	09:40	12.91	3.22	19.85	253.65	2.6442973113545216	13	2.49481099737079
MBIN	2026-07-29	09:40	12.77	5.43	16.61	48.77	1.5082505526425818	13	2.980413310130469
BCAR	2026-07-29	09:45	10.94	-2.47	15.02	5.66	14.677535029264108	13	4.225452751131349
HQ	2026-07-29	09:45	12.19	1.97	19.53	11.69	3.4965985796856027	13	15.89671056533274
AXGN	2026-07-29	09:50	11.98	-6.90	12.15	41.15	4.07841571653843	13	5.072779834515156
MASS	2026-07-29	09:50	10.38	4.27	12.66	7.03	6.839857043679985	13	5.617230358210473
BDC	2026-07-30	07:10	10.75	9.54	16.35	102.03	4.98930362653761	12	3.9603123462627248
HII	2026-07-30	07:20	10.56	9.49	14.35	280.4	1.5546045080504525	12	2.941779812078618
AIP	2026-07-30	09:31	11.28	6.60	12.28	26.96	1.712002154310144	12	8.51247692819804
ST	2026-07-30	09:31	10.46	7.24	10.87	46.0	0.7295648606547848	12	3.3702906012016864
HIPO	2026-07-30	09:31	11.21	7.27	14.72	29.83	1.483900015212828	12	3.6992620459581507
FLS	2026-07-30	09:31	10.01	4.95	13.28	69.94	2.610084325143484	12	3.5708553857407273
FRVO	2026-07-30	09:35	13.47	3.98	30.85	17.08	2.0266119995317102	12	9.735703370009515
SPRC	2026-07-30	09:35	19.91	0.11	26.62	9.09	-0.5945857047825722	12	13.53207274708445
ECG	2026-07-30	09:35	11.16	9.05	14.19	109.17	4.84073508471291	12	5.553468475775367
ASBP	2026-07-30	09:35	11.41	5.88	19.79	5.61	1.7885469699663443	12	11.065779651869645
PBF	2026-07-30	09:35	11.1	2.60	17.98	63.35	0.6550625274208186	12	5.3879005697399185
EROC	2026-07-30	09:40	11.12	2.34	15.41	8.99	7.890904049251492	12	10.094644409331025
CVI	2026-07-30	09:40	10.44	3.99	15.28	34.62	0.4475228978313976	12	4.625133040580838
CHRN	2026-07-30	09:45	12.39	3.08	15.17	18.52	1.1864686543673928	12	15.488035278830207
FMC	2026-07-30	09:45	11.39	4.90	18.38	10.01	-0.1379014711225409	12	5.522950452902947
ANIK	2026-07-30	09:45	10.14	2.10	14.90	16.17	5.949391045778679	12	4.474189850885361
FRMI	2026-07-30	09:45	11.95	3.24	15.44	5.86	1.4635965140915208	12	9.593904207639477
IESC	2026-07-30	09:45	10.03	7.70	15.79	496.22	6.704925371904545	12	6.392523354272561
WOLF	2026-07-30	09:45	10.82	5.53	19.64	20.06	4.900328526566064	12	9.770214199540513
DBGI	2026-07-30	09:50	10.07	3.08	30.22	12.01	6.248460206071527	12	18.879915659333484
RACC	2026-07-30	09:50	23.15	1.21	39.39	16.4999	6.817666467882952	12	7.769232592882798
CBRS	2026-07-30	09:50	11.63	5.66	20.95	169.39	2.953010045775272	12	10.432443632404887
AMRC	2026-07-30	09:50	10.24	6.48	12.91	18.51	8.796139892388268	12	6.201567444268708
ABTC	2026-07-30	09:50	10.5	3.28	15.22	5.19	2.449334393181759	12	12.386623539563416
UMAC	2026-07-30	09:55	10.78	6.55	19.81	17.26	6.429626591752929	12	10.932145719348027
EROC	2026-07-31	07:35	11.34	9.11	13.82	9.88	7.217258753841784	11	10.114913682272993
CSTL	2026-07-31	09:31	10.69	7.32	15.01	26.79	3.8515742151454964	11	4.691959069714023
AEIS	2026-07-31	09:35	10.77	5.76	11.04	274.26	3.4185513838155126	11	6.180417282487799
BELFB	2026-07-31	09:35	10.69	6.23	11.93	253.41	1.8452926027691243	11	6.844480639008442
AMCX	2026-07-31	09:40	11.95	2.47	20.08	9.71	2.5269716260802015	11	4.646301251424815
FORR	2026-07-31	09:40	10.06	7.75	20.64	9.74	1.2299616465607721	11	5.8679807817822205
STI	2026-07-31	09:50	11.56	2.18	12.36	6.185	4.032646092907441	11	10.194574521036385
MRDN	2026-08-03	09:31	12.24	4.61	25.55	11.27	1.1192243657631777	10	9.152367766413933
FCUV	2026-08-04	07:35	10.96	3.04	24.52	11.5	0.15545839802070804	9	16.89464916517256
RFIL	2026-08-04	08:00	10.53	4.10	10.37	12.44	0.14908818400176085	9	7.833506186278583
EWTX	2026-08-04	09:31	10.14	6.83	18.39	38.38	0.44312095306740856	9	6.1838322981361475
REPL	2026-08-04	09:35	12.17	6.38	16.37	11.91	2.989261860799398	9	10.622473768894373
HLMN	2026-08-04	09:35	11.79	8.30	15.22	8.31	0.214048998762919	9	3.4387794469282493
NUCL	2026-08-04	09:40	10.05	2.59	12.69	6.17	1.8594443315112699	9	11.3177769093516
PSIX	2026-08-04	09:40	13.55	5.98	21.54	28.78	4.126415741816042	9	6.472161066709006
