ticker	alert_date	gap_pct	ep_score	score_tier
NNE	2026-07-27	10.38	57	HIGH
QBTS	2026-07-27	11.29	54	HIGH
CORZ	2026-07-28	11.28	72	HIGH
TER	2026-07-29	10.4	60	HIGH
TEVA	2026-07-29	11.4	50.4	HIGH
ARM	2026-07-30	10.77	60	HIGH
CORT	2026-07-30	24.21	96	HIGH
EME	2026-07-30	10.56	60	HIGH
FTNT	2026-07-30	10.1	60	HIGH
LRCX	2026-07-30	18.95	84	HIGH
PWR	2026-07-30	12.09	60	HIGH
SIMO	2026-07-30	19.18	80	HIGH
BLZE	2026-07-31	13.06	72	HIGH
COHU	2026-07-31	22.71	80	HIGH
FET	2026-07-31	16.04	84	HIGH
FLNC	2026-07-31	10.02	60	HIGH
MPWR	2026-07-31	13.96	60	HIGH
NWL	2026-07-31	13.42	60	HIGH
FTK	2026-08-03	10.45	60	HIGH
LIND	2026-08-03	15.55	70	HIGH
AEIS	2026-08-04	15.39	84	HIGH
AMRC	2026-08-04	38.72	50	HIGH
BLZE	2026-08-04	19.14	80	HIGH
BTDR	2026-08-04	24.1	80	HIGH
CAT	2026-08-04	10	60	HIGH
INSP	2026-08-04	22.29	55	MODERATE
LIFE	2026-08-04	16.29	80	HIGH
PLTR	2026-08-04	15.96	96	HIGH
TSAT	2026-08-04	14.46	60	HIGH
VOYG	2026-08-04	16.96	80	HIGH
ZBRA	2026-08-04	10.75	60	HIGH
APPS	2026-08-05	28.29	115.2	HIGH
ECG	2026-08-05	10.96	72	HIGH
HGTY	2026-08-05	11.69	60.5	HIGH
KMT	2026-08-05	14.39	72	HIGH
KMT	2026-08-05	14.39	72	HIGH
KODK	2026-08-05	10.86	54.7	HIGH
KTOS	2026-08-05	11.26	64.8	HIGH
PRGO	2026-08-05	13.17	54	MODERATE
ROCK	2026-08-05	14.9	60.5	MODERATE
TATT	2026-08-05	11.79	61.9	HIGH
AEVA	2026-08-06	22.28	96	HIGH
CAI	2026-08-06	17.11	50.4	HIGH
DCTH	2026-08-06	21.3	54	HIGH
INSM	2026-08-06	16.14	96	HIGH
LFST	2026-08-06	18.8	96	HIGH
RDW	2026-08-06	12.46	64.8	HIGH
SITM	2026-08-06	28.88	96	HIGH
SOUN	2026-08-06	25.19	62.4	MODERATE
TASK	2026-08-06	11.39	50.4	MODERATE
TRUP	2026-08-06	18	60	MODERATE
U	2026-08-06	18.41	96	HIGH
ACMR	2026-08-07	15.09	100.8	HIGH
ACMR	2026-08-07	15.09	100.8	HIGH
CRSR	2026-08-07	16.87	84	MODERATE
DOCS	2026-08-07	178.8	54	MODERATE
FIGS	2026-08-07	26.69	96	HIGH
FROG	2026-08-07	17.51	100.8	HIGH
INOD	2026-08-07	14.83	51.6	MODERATE
MTW	2026-08-07	33.08	50.4	HIGH
NET	2026-08-07	15.67	100.8	HIGH
ONTO	2026-08-07	15.31	96	HIGH
PRAA	2026-08-07	16.61	84	MODERATE
PSIX	2026-08-07	25.77	68.4	MODERATE
PUBM	2026-08-07	36.87	96	MODERATE
QNST	2026-08-07	27.92	96	HIGH
TEAM	2026-08-07	31.66	115.2	HIGH
TWLO	2026-08-07	17.97	84	HIGH
WLDN	2026-08-07	14.67	51.6	MODERATE
ABCL	2026-08-10	17.6	96	HIGH
ACHR	2026-08-10	14.85	54	HIGH
NESR	2026-08-10	11.99	53.3	HIGH
SLN	2026-08-10	18.83	84	MODERATE
TH	2026-08-10	12.17	50.4	HIGH
BW	2026-08-11	34.91	96	HIGH
FRMI	2026-08-11	17.01	96	HIGH
RIOT	2026-08-11	17.92	115.2	HIGH
RPD	2026-08-11	16.78	84	none
SE	2026-08-11	10.58	54.7	HIGH
ATRO	2026-08-12	11.29	72	HIGH
BE	2026-08-12	15.16	84	HIGH
BRUN	2026-08-12	12.04	60	none
CRWV	2026-08-12	19.51	51.6	HIGH
EROC	2026-08-12	16.09	96	HIGH
GLBE	2026-08-12	10.67	72	HIGH
HRB	2026-08-12	16.76	100.8	MODERATE
MRX	2026-08-12	12.45	53.3	HIGH
NBIS	2026-08-12	12.2	54.7	MODERATE
WYFI	2026-08-12	17.34	84	MODERATE
BLSH	2026-08-13	12.4	54	MODERATE
CGEM	2026-08-13	12.24	72	HIGH
CRMD	2026-08-13	10	64.8	HIGH
HLIT	2026-08-13	23.79	96	HIGH
KURA	2026-08-13	13.43	60.5	HIGH
OMER	2026-08-13	22.54	60	HIGH
ETON	2026-08-14	23.28	96	HIGH
HTFL	2026-08-14	25.12	96	HIGH
LPTH	2026-08-14	10.03	54.7	MODERATE
NMAX	2026-08-14	16.75	100.8	HIGH
RDDT	2026-08-14	12.24	54.7	MODERATE
STDN	2026-08-14	12.9	53.3	MODERATE
VERA	2026-08-14	14.23	86.4	HIGH
ARGX	2026-08-17	10.53	86.4	HIGH
CBRS	2026-08-17	12.78	60	none
AMLX	2026-08-18	21.33	96	HIGH
