ticker	market_cap
ABTC	507189312.1564064
ABX	897732875.663826
ACET	83457682.9928875
ACHR	4790875889.01844
ACVA	1296483966.1659622
ADMA	2120015030.3773499
AEIS	12574436875.8609
AGPU	108713649.58780289
AIAI	362117055.20566463
AIRG	69103735.59933567
ALGT	2268760229.050255
ALMR	2298288335.8005295
ALNT	1840722301.4692383
AMBP	3111061318.768627
AMCX	504074656.6349306
AMRC	1373353496.1450634
AMWL	207761981.5653305
ANIK	287733769.0
ANTX	218115457.7773776
APUS	6021380.834392071
ARGX	62546918303.94299
ARVN	589078545.1238651
ASAN	2182555618.1824646
ASBP	9871625.950763702
ATNI	486900124.171463
ATRO	3762433063.098572
AVEX	1142394810.739933
AVNT	4045749406.4811707
AVY	13584645142.730713
AWI	7547507064.957001
AXGN	2669527862.388153
BANL	25378980.886520386
BAX	13553050192.672329
BCAR	226600000.0
BDC	5123151078.614349
BELFB	3925964978.8301086
BGDE	39508058.858356476
BIYA	71771915.19823551
BLSH	3703252620.8898506
BNAI	118722965.90224457
BUUU	486076243.6389923
BVS	1207559367.9293442
BWMN	736077781.3249207
CAPR	396798588.8358679
CARS	647210520.4284439
CBRS	52041941847.0782
CBZ	2977765321.4227867
CDRE	1434066453.5331802
CENX	4417575789.375
CEPL	225671253.50814772
CHRN	3050963506.4870358
CLW	333712105.9139633
COHU	2718172736.1807404
COLL	878982103.3246956
CON	4543457069.883636
CORZ	6080142553.0872345
CPS	500825117.9902191
CSTL	881964292.7281666
CVI	3657805675.8777275
DBGI	7211719.559603691
EAF	187414529.85141563
ECG	6798231627.753296
ELOX	58898419.86264038
EME	36456833176.5
EROC	4476663533.117012
EWTX	4760661895.28495
FLS	10047629462.349548
FLXS	348163353.3629303
FMC	1261034230.5138016
FORR	213903158.4634781
FRVO	5489411448.276176
FTH	872095295.0223083
FVR	485206111.2516823
GENI	2169654684.840942
GRDN	2432027791.0758057
GRMN	57439198615.99292
HALO	11698806003.631592
HBB	454283585.326355
HGTY	1315719641.9125147
HII	12656757358.61316
HIPO	870057923.7835999
HLMN	1664332525.815422
HPK	993286777.8318958
HZO	1153369328.6613464
ICUI	4603545533.841492
IESC	14810371885.98413
IMC	924880020.0462341
IMMR	248275420.11308527
INFQ	2823118995.245023
INSM	27801057306.059746
INSP	1667261273.3135223
INTA	3069627176.037277
INVX	2104386481.8450165
IPCX	136169665.35
JAB	280047288.596611
JACK	324060731.47439575
JLHL	162151656.69269943
KGEI	210934705.75841904
KMT	2356416390.5743694
KNSA	6184183437.057274
KRNT	802153632.1215153
KRT	957635465.9800644
LFST	4764233546.249854
LIND	2136577163.9549294
LNSR	101972681.84334278
MAKO	842371894.1190214
MASS	410030356.7535114
MBIN	2504398465.187561
MED	129360730.29792023
MF	21270974.053237915
MITK	843788428.2256393
MKTX	5723067762.579712
MPLT	526852155.597435
MRDN	177703197.7303028
NCDL	613387351.067934
NGL	2169226399.9576836
NIPG	80469651.63171387
NMAX	1447890835.3770876
NNE	986971878.4147224
NPKI	1178549338.4371662
NTRA	44852621889.75067
NUCL	226729150.54162025
OBX	1154298892.7941246
OCUL	2316947449.2884026
OEC	351005962.94616985
OSPN	590014406.335783
PAY	5053958168.628056
PDFS	1984679152.0
PGY	1716069565.0504532
PICS	1367148603.3668623
PKOH	694361252.6679993
PLPC	2182022786.437042
PLRZ	20103647.091567993
PNW	12222740863.967697
PRE	313606191.2911434
PRPL	26070599.44315338
PSIX	873488566.8634415
PWR	105372678019.9386
QBTS	7346377820.499559
QLYS	6479929288.0
QMLS	222187221.0828724
QUAD	526422731.7968397
RACC	227463225.0
RCMT	288697536.9354515
RCUS	3652452739.628769
RFIL	139547264.17451382
RGEN	9350253273.933167
RIGL	792814099.7680664
RNA	219123294.00781345
RNW	2484484299.0003567
ROCK	1405678323.3058014
RRGB	201135927.7700882
SBGI	1046080748.9348602
SDGR	1289649009.5983505
SEI	4093405177.2901917
SGHT	453925024.9913597
SHOP	190886494388.46515
SLDB	951623987.25
SRZN	287315721.72309875
ST	6349729814.509071
STDN	1934461172.0282364
STEM	56364586.30361557
STGW	2162385429.3769884
TBI	312358976.40815735
TILE	2229941852.635803
TNXP	218847070.16555786
TRU	15305007473.754883
TRUP	1318210633.8881989
TSAT	721375693.6221924
TSEM	26921779915.334473
TVTX	5921481142.473801
U	20252892898.116726
ULBI	120058851.87369347
VATE	102450416.78237534
W	13678796828.830788
WEAV	582393603.1044831
WPP	5700002002.905216
WSHP	55263865.099020004
WSM	28793167952.085968
WYNN	10561002009.558899
XE	5453091986.597752
YELP	1283334615.9500713
ZD	1917855026.5663147
ZETA	7171458618.246727
ZVRA	681131983.9271803
