ticker	d	scan_n	reasons	max_score
AGPU	2026-07-27	13	quality filter: filter:mcap_too_small: $78M < $500M	""
ARQQ	2026-07-27	1	filter:session_rvol_too_low: session_rvol=0.31x (today 46,908 / baseline 150,141 n=21) < 1.0x	""
ASAN	2026-07-27	0	""	""
BNAI	2026-07-27	5	filter:pm_rvol_too_low: pm_rvol=0.09x (today 8,791 / baseline 101,837 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.27x (today 27,603 / baseline 102,554 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.36x (today 36,949 / baseline 103,711 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.38x (today 39,477 / baseline 104,481 n=20) < 1.0x ;; quality filter: filter:mcap_too_small: $85M < $500M	""
BUUU	2026-07-27	0	""	""
EAF	2026-07-27	0	""	""
FTH	2026-07-27	0	""	""
GENI	2026-07-27	1	score -2 < 50 (catalyst=routine)	-2
HQ	2026-07-27	1	filter:session_rvol_too_low: session_rvol=0.21x (today 27,088 / baseline 128,876 n=21) < 1.0x	""
IMMR	2026-07-27	2	quality filter: filter:mcap_too_small: $238M < $500M	""
INFQ	2026-07-27	0	""	""
IONQ	2026-07-27	1	routine catalyst, gap 11.3%	""
JACK	2026-07-27	2	quality filter: filter:mcap_too_small: $312M < $500M	""
JLHL	2026-07-27	1	quality filter: filter:atr_too_high: 56.5% > 15.0%	""
NIPG	2026-07-27	1	already up 228% in prior 5 days (extended)	""
NNE	2026-07-27	1	<none>	57
PLRZ	2026-07-27	19	quality filter: filter:adv_too_low: $341,872	""
PNW	2026-07-27	8	filter:session_rvol_too_low: session_rvol=0.39x (today 11,374 / baseline 29,271 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.49x (today 11,374 / baseline 23,187 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.72x (today 11,374 / baseline 15,787 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.91x (today 11,374 / baseline 12,446 n=22) < 1.0x ;; routine catalyst, gap 10.6%	""
PRE	2026-07-27	0	""	""
QBTS	2026-07-27	4	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.90x (today 2,069,276 / baseline 2,302,283 n=22) < 1.0x ;; <none>	54
