6	KURA	magna53	paper	2026-04-17	2026-04-17	2026-04-21	2026-04-17 15:35:44.545492+00	2026-04-21 16:32:41.872291+00	9.57	0.075	2092	20.919999999999554	0.1333	9.87	4	2026-04-17 19:39:00+00	2026-04-17	1	minute_bars	262	9.78	2.8	2026-04-20	3.8667	0.0333	3	f	f	\N	Bull	0.7837	0.1656	0.6625	0.0221
17	BSX	magna53	paper	2026-04-23	2026-04-23	2026-04-23	2026-04-23 13:37:23.787949+00	2026-04-23 15:49:04+00	66.744726	1.174726	201	-252.2	-1.0681	\N	\N	\N	\N	\N	none	0	\N	\N	\N	\N	\N	1	f	f	\N	Bull	1.76	0.5914	\N	-0.6317
26	INTC	magna53	paper	2026-04-24	2026-04-24	2026-04-24	2026-04-24 13:35:36.352928+00	2026-04-24 15:47:44.184025+00	84.036076	2.014076	237	-477.34	-1	84.91	0.4339	2026-04-24 13:39:00+00	2026-04-24	1	minute_bars	132	\N	\N	\N	1.4339	-2.3047	1	f	f	\N	Bull	2.3967	0.4316	0.1873	-0.4316
34	OMCL	magna53	paper	2026-04-28	2026-04-28	2026-04-28	2026-04-28 13:53:49.655179+00	2026-04-28 14:13:09.36006+00	46	1	432	-1506.6302400000022	-3.4876	46.38	0.38	2026-04-28 13:54:00+00	2026-04-28	1	minute_bars	20	\N	\N	\N	3.8676	-9.1779	1	f	f	\N	Bull	2.1739	0.5291	0.201	-1.8451
56	GOOGL	9m_day2	paper	2026-05-01	2026-05-01	2026-05-19	2026-05-01 13:34:21.575631+00	2026-05-19 13:30:15.667414+00	382.61	3.18	51	618.9699999999984	3.8166	408.61	8.1761	\N	2026-05-18	12	daily_high+extremes	0	402.62	6.2925	2026-05-13	4.3595	0.4668	13	t	t	\N	Bull	0.8311	0.3455	2.8247	1.3186
57	TEAM	magna53	paper	2026-05-01	2026-05-01	2026-05-06	2026-05-01 15:31:45.135497+00	2026-05-06 20:05:00.033702+00	85.19	2.4	229	-269.019909999998	-0.4895	96.3179	4.6366	\N	2026-05-04	2	daily_high	268	93.16	3.3208	2026-05-04	5.1261	-0.1056	4	t	t	\N	Bull	2.8172	0.4573	2.1204	-0.2239
72	FTRE	magna53	paper	2026-05-05	2026-05-05	2026-05-12	2026-05-05 13:48:57.657426+00	2026-05-12 13:41:55.999822+00	14.31	0.35	1384	138.23999999999953	0.2854	16.2	5.4	\N	2026-05-07	3	daily_high	0	15.64	3.8	2026-05-06	5.1146	0.0529	6	t	t	\N	Bull	2.4458	0.3625	1.9575	0.1035
81	AMD	magna53	paper	2026-05-06	2026-05-06	2026-05-07	2026-05-06 14:53:45.203749+00	2026-05-07 16:07:41.86522+00	413.309375	7.679375	48	-831.4799040000025	-2.2557	\N	\N	\N	\N	\N	none	0	421.39	1.0523	2026-05-06	\N	\N	2	f	f	\N	Bull	1.858	0.4226	\N	-0.9532
82	SMCI	magna53	paper	2026-05-06	2026-05-06	2026-05-12	2026-05-06 13:38:36.254991+00	2026-05-12 13:56:55.847281+00	32.567614	1.307614	612	-639.339263999999	-0.7989	36.37	2.9079	\N	2026-05-11	4	daily_high+extremes	381	35.37	2.1431	2026-05-08	3.7068	-0.2747	5	t	t	\N	Bull	4.0151	0.7899	2.2969	-0.631
119	BW	magna53	paper	2026-05-11	2026-05-11	2026-05-27	2026-05-11 13:53:45.29259+00	2026-05-27 13:37:08.289257+00	17.05	0.56	1163	2492.4803570000004	3.827	22.74	10.1607	\N	\N	\N	extremes	365	21.85	8.5714	2026-05-15	6.3337	0.3766	12	t	t	\N	Bull	3.2845	0.4009	4.0738	1.5344
120	MRAM	magna53	paper	2026-05-11	2026-05-11	2026-05-11	2026-05-11 13:50:17.02788+00	2026-05-11 13:59:15.309283+00	36.5	2.43	419	-2199.709776	-2.1605	36.475	-0.0103	2026-05-11 13:51:00+00	2026-05-11	1	minute_bars	9	\N	\N	\N	2.1502	\N	1	f	f	\N	Bull	6.6575	0.6714	-0.0069	-1.4506
136	KLAR	magna53	paper	2026-05-14	2026-05-14	2026-05-14	2026-05-14 13:35:29.134169+00	2026-05-14 13:43:04.161373+00	15.92	0.74	1203	-914.2799999999997	-1.027	16.02	0.1351	2026-05-14 13:37:00+00	2026-05-14	1	minute_bars	8	\N	\N	\N	1.1621	-7.6018	1	f	f	\N	Bull	4.6482	1.0319	0.1394	-1.0597
138	CSCO	magna53	paper	2026-05-14	2026-05-14	2026-05-14	2026-05-14 13:39:09.767616+00	2026-05-14 13:58:53.190149+00	117.55	2.52	162	-406.499958	-0.9957	117.55	0	\N	2026-05-14	1	extremes	0	\N	\N	\N	0.9957	\N	1	f	f	\N	Bull	2.1438	0.8921	0	-0.8883
