ticker|trade_date|open_price|high_price|low_price|close|volume
ETON|2026-08-13|42.11|43.19|40.66|40.8|621015
ETON|2026-08-14|54.93|59.79|53.01|58.86|2290501
ETON|2026-08-17|59.15|62.87|56.65|61.73|1255359
ETON|2026-08-18|61.1|63.5591|60|63.43|872232
ETON|2026-08-19|63.55|63.83|60.06|61.48|608324
ETON|2026-08-20|60.99|62.58|59.59|59.91|547836
ETON|2026-08-21|59.76|64|59.76|63.47|628350
PLTR|2026-08-13|173.4|179.91|172.3301|179.01|36246921
PLTR|2026-08-14|179.48|180.18|173.8|174.04|23892696
PLTR|2026-08-17|174.06|176.275|172.3013|172.55|24435240
PLTR|2026-08-18|171.97|174.98|170.61|171.54|27963187
PLTR|2026-08-19|172.61|176.82|169.7705|175.19|35659489
PLTR|2026-08-20|175.88|176.46|172.03|173.96|26773457
PLTR|2026-08-21|173.98|182.44|172.55|179.94|42657079
(14 rows)
