id|trade_id|ticker|side|order_type|qty|filled_qty|filled_avg_price|status|purpose|exit_reason|stop_price|limit_price|sub_et|fill_et|canc_et
255|307|PLTR|buy|limit|6|6|149.0545|filled||||149.33|08-04 09:31:11|08-04 09:32:00|
256|307|PLTR|sell|stop|6|0||expired|stop_loss|stop_hit|143.28||08-04 09:31:11||08-04 16:15:00
257|307|PLTR|sell|stop|6|0||replaced|stop_loss|stop_hit|143.28||08-04 18:55:56||
258|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|143.28||08-05 09:30:00||08-06 09:00:00
260|307|PLTR|sell|market|2|2|165.6895|filled|partial_exit|partial_profit|||08-05 09:45:00|08-05 09:45:00|
261|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|149.05||08-05 16:45:03||08-13 09:00:00
290|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|150.15||08-12 16:45:03||08-14 09:00:00
291|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|155.75||08-13 16:45:03||08-17 09:00:00
297|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|160.93||08-14 16:45:03||08-18 09:00:00
298|307|PLTR|sell|stop|4|0||canceled|stop_loss|stop_hit|165.88||08-17 16:45:03||08-19 09:00:00
305|307|PLTR|sell|stop|4|4|170.3875|filled|stop_loss|stop_hit|170.47||08-18 16:45:03|08-19 10:15:00|
292|367|ETON|buy|limit|17|17|55.2012|filled||||55.56|08-14 09:31:02|08-14 09:32:00|
293|367|ETON|sell|stop|17|0||canceled|stop_loss|stop_hit|53.01||08-14 09:31:02||08-14 09:36:00
294|367|ETON|sell|stop|12|0||replaced|stop_loss|stop_hit|53.01||08-14 09:35:00||
295|367|ETON|sell|limit|5|5|59.58|filled|partial_exit|partial_profit||59.58|08-14 09:35:01|08-14 15:58:02|
296|367|ETON|sell|stop|12|12|55.05|filled|stop_loss|stop_hit|55.2012||08-14 09:35:01|08-14 10:00:00|
(16 rows)
