theme_date	name	source	stage	score	rs_avg	days_active	parent_theme	tickers
2026-07-27	Aerospace Structural Materials & Advanced Composites	live	Retired	0.00		3	Defense Precision Components & Mission-Critical Subsystems	
2026-07-27	AI Compute & GPU Data Center Hosting Operators	live	Retired	0.00		2		
2026-07-27	AI-Powered Enterprise Analytics & Intelligent Workflow SaaS	live	Mainstream	75.80	91.70	3		AMPL,INTA,AVPT
2026-07-27	AI-Powered Software Development & DevOps Platforms	live	Retired	0.00		4		
2026-07-27	Analog & Microcontroller Semiconductors — Automotive & Industrial Cycle Recovery	live	Fading	19.20		1		ADI,NXPI,ON,TXN
2026-07-27	Antibody-Based Oncology & Autoimmune Biologics	live	Retired	0.00		4		
2026-07-27	Automotive Components & Tire Suppliers	live	Fading	36.04		1		GT,ADNT
2026-07-27	B2B Data Intelligence & Professional Information Services	live	Retired	0.00		2		
2026-07-27	B2B Digital Financial Infrastructure & Payment Rails Modernization	live	Mainstream	77.50	95.10	17		ACIW,PAY,QTWO
2026-07-27	B2B Marketing Automation & Customer Engagement SaaS	live	Fading	29.41		7		KVYO,HUBS
2026-07-27	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	61.44		5		CIFR,HUT
2026-07-27	Canadian Big Banks	live	Accelerating	65.20	70.50	6		RY,BMO,TD,CM,BNS
2026-07-27	Casual Dining Restaurant Turnaround	live	Mainstream	78.30	96.60	22		EAT,CBRL
2026-07-27	Clinical-Stage Oncology Biotech	live	Nascent	76.80	93.70	3		ELVN,TGTX
2026-07-27	Cloud Communications & Contact Center Platforms	live	Fading	32.07		2		BAND,FIVN
2026-07-27	Cloud Data Storage & Analytics Infrastructure	live	Mainstream	71.10	82.20	10		BLZE,SNOW
2026-07-27	Cloud Observability & AIOps Monitoring Platforms	live	Fading	25.66		9		DDOG,PD
2026-07-27	Cloud Supply Chain & Warehouse Management Software	live	Mainstream	71.60	83.20	5		MANH,SPSC
2026-07-27	Coastal & Suburban Residential Rental REITs	live	Fading	18.84		11		EQR,AMH,ESS,AVB,INVH
2026-07-27	Commercial Real Estate Brokerage & Advisory Services	live	Mainstream	61.00	62.10	8		JLL,CBRE,NMRK
2026-07-27	Consumer Fintech & Digital Credit Platforms	live	Mainstream	71.70	83.30	18		DAVE,SEZL
2026-07-27	Containerboard & Corrugated Packaging Producers	live	Accelerating	77.60	95.20	4		SW,IP,PKG
2026-07-27	Copper Mining & Production	live	Nascent	61.70	63.40	5		SCCO,HBM,FCX,ERO,TGB
2026-07-27	Corporate Spend, Expense Management & Financial Operations Software	live	Mainstream	75.20	90.40	13		BILL,NAVN,WEX
2026-07-27	Cross-Border & International Payments Processing	live	Mainstream	71.10	82.20	4		GPN,EEFT
2026-07-27	Cruise Line & Ocean Travel Recovery	shadow_promoted	Nascent	84.20	84.20	1		LIND,RCL,NCLH
2026-07-27	Custom AI Silicon & Chip Architecture Licensing	live	Fading	40.19		62		CRDO,ARM,QUIK,ALAB,MRVL,CEVA
2026-07-27	Cyber Exposure Management & Vulnerability Assessment	live	Fading	62.90	65.80	3		TENB,RPD,QLYS
2026-07-27	Defense Precision Components & Mission-Critical Subsystems	live	Fading	71.95		1	Defense Prime Contractors & Aerospace Systems	DPC,HXL,FEIM
2026-07-27	Defense Prime Contractors & Aerospace Systems	live	Fading	19.20		1		LMT,RTX
2026-07-27	Department Store Retail Recovery	live	Nascent	70.30	80.60	1		KSS,DDS
2026-07-27	Digital Advertising Technology Platforms	live	Fading	31.21		13		QNST,MGNI
2026-07-27	Digital Insurance Distribution & Marketplace Platforms	live	Retired	0.00		13		
2026-07-27	Digital Payments Processing & Merchant Acquiring Networks	live	Fading	28.75		5		PYPL,FOUR
2026-07-27	Domestic Steel Producers	live	Retired	0.00		7	U.S. Domestic Steel Producers	
2026-07-27	Emerging Market Digital Commerce & Fintech Platforms	live	Fading	29.45		8		SE,MELI
2026-07-27	Enterprise HR & Workforce Management SaaS	live	Mainstream	76.40	92.80	8		ALIT,WDAY,PCTY
2026-07-27	Enterprise Server, Storage & Data Infrastructure Hardware	live	Nascent	78.10	96.30	4		DELL,STX,NTAP,HPE
2026-07-27	European Bank Stocks	live	Nascent	69.60	79.20	25		BCS,SAN,BBVA,LYG,ING,NWG
2026-07-27	Financial Compliance & Regulatory Reporting SaaS	live	Fading	23.20		1		WK,DFIN
2026-07-27	Financial Services Vertical SaaS	live	Fading	23.59		4		SSNC,JKHY
2026-07-27	For-Profit Education & Career Training Providers	live	Fading	7.57		1		CVSA,STRA
2026-07-27	Franchise Auto Dealership Groups	live	Mainstream	79.30	98.70	14		ABG,PAG,SAH
2026-07-27	Global Crude & Product Tanker Fleet Operators	live	Mainstream	68.90	77.70	7		NAT,TNK,INSW,DHT,FRO,TRMD
2026-07-27	Global Steel & Metal Producers Recovery	live	Nascent	68.90	77.80	4		TX,MT
2026-07-27	Heavy Transportation Equipment Manufacturers	live	Retired	0.00		2		
2026-07-27	Hospital & Behavioral Health Facility Procedure Volume Recovery	shadow_promoted	Nascent	38.73	38.73	1		BSX,HCA,UHS,THC
2026-07-27	Hotel REIT Recovery & Re-Rating	live	Nascent	78.40	96.80	1		RLJ,XHR
2026-07-27	Independent Power Producers & Nuclear Generation	live	Fading	43.52		2		VST,CEG
2026-07-27	Industrial Automation & Electrical Control Systems	live	Fading	40.77		1		HLIO,AME,ROK
2026-07-27	Industrial Construction Execution & On-Site Supply Chain	live	Nascent	75.20	90.30	2		SUNB,DNOW,TPC,RYZ
2026-07-27	Industrial Fluid Control, Filtration & Water Infrastructure Equipment	live	Accelerating	62.80	65.50	3		DCI,FELE,IR,IEX,KAI
2026-07-27	Industrial & Logistics REITs	live	Mainstream	68.80	77.70	13		FR,TRNO,EGP,STAG
2026-07-27	Inflammatory Disease & Immunology Biologics	live	Nascent	79.40	98.80	48		ORKA,SYRE
2026-07-27	Insurance Brokerage & Distribution Services	live	Mainstream	67.50	75.10	14		AON,BRO,AJG
2026-07-27	IT Distribution & Technology Services Providers	live	Nascent	77.20	94.30	4		INGM,EFOR
2026-07-27	Korean Financial Sector Recovery	live	Fading	57.36		3		SHG,KB
2026-07-27	Life Insurance & Annuity Providers	live	Mainstream	75.60	91.20	21		UNM,PFG,MET,PRU
2026-07-27	Life Science Tools & Analytical Instruments	live	Mainstream	71.40	82.80	12		WAT,MTD,TMO
2026-07-27	Liquid Biopsy & Multi-Cancer Early Detection	live	Fading	31.21		14		GRAL,GH
2026-07-27	Medical Device Mean-Reversion & Rotation Recovery	live	Mainstream	71.10	82.20	6		XRAY,INSP,TNDM,CNMD
2026-07-27	Medical Device Sterilization & Surgical Supply Infrastructure	live	Retired	0.00		2		
2026-07-27	Molecular Diagnostics & DNA-Based Genetic Testing	live	Mainstream	72.40	84.80	12		QGEN,BLLN
2026-07-27	Multifamily Apartment REITs	live	Fading	15.36		9		CPT,UDR
2026-07-27	Network Security & Zero-Trust Edge	live	Fading	70.30	80.60	47		VRNS,OKTA,CRWD,BB,RBRK,NET,PANW,CVLT,FTNT
2026-07-27	Office REIT Recovery & Re-Rating	live	Mainstream	75.30	90.60	16		HIW,BXP,SLG,CDP
