score_date	ticker	rs
2026-07-31	AMRC	2.1
2026-07-31	APLD	12.1
2026-07-31	BLZE	66.6
2026-07-31	BTDR	14.3
2026-07-31	CIFR	60.8
2026-07-31	CLSK	68.3
2026-07-31	CORZ	23.6
2026-07-31	CRWV	3.9
2026-07-31	HUT	71.4
2026-07-31	IREN	8.8
2026-07-31	SNOW	96.0
2026-07-31	WULF	12.7
2026-08-03	AMRC	6.3
2026-08-03	APLD	46.3
2026-08-03	BLZE	79.0
2026-08-03	BTDR	24.0
2026-08-03	CIFR	89.6
2026-08-03	CLSK	78.9
2026-08-03	CORZ	46.8
2026-08-03	CRWV	40.1
2026-08-03	HUT	80.2
2026-08-03	IREN	36.5
2026-08-03	SNOW	93.7
2026-08-03	WULF	19.9
2026-08-04	AMRC	46.5
2026-08-04	APLD	58.4
2026-08-04	BLZE	99.5
2026-08-04	BTDR	16.9
2026-08-04	CIFR	47.6
2026-08-04	CLSK	58.8
2026-08-04	CORZ	49.5
2026-08-04	CRWV	58.1
2026-08-04	HUT	52.0
2026-08-04	IREN	39.6
2026-08-04	SNOW	96.4
2026-08-04	WULF	24.3
2026-08-05	AMRC	29.5
2026-08-05	APLD	37.6
2026-08-05	BLZE	99.7
2026-08-05	BTDR	11.3
2026-08-05	CIFR	27.1
2026-08-05	CLSK	31.7
2026-08-05	CORZ	28.9
2026-08-05	CRWV	58.6
2026-08-05	HUT	26.8
2026-08-05	IREN	27.6
2026-08-05	SNOW	97.4
2026-08-05	WULF	17.9
2026-08-06	AMRC	39.4
2026-08-06	APLD	51.3
2026-08-06	BLZE	99.8
2026-08-06	BTDR	11.3
2026-08-06	CIFR	50.9
2026-08-06	CLSK	39.5
2026-08-06	CORZ	38.2
2026-08-06	CRWV	50.5
2026-08-06	HUT	42.0
2026-08-06	IREN	42.0
2026-08-06	SNOW	97.6
2026-08-06	WULF	24.2
