ticker|ep_date|mon|rung|session_idx|cofire|stop_w|grade|gap_pct|dvol|rs|rs_stale_d|theme|ext|day1|mature|settled|r_none|r_trail|tail_none|tail_trail
ABCL|2026-08-10|2026-08|ep_close_reclaim|1|1|4.651162790697687|game_changer|17.6|424291150.12|89.5|3|not_in_theme|21.366024518388787|survived_day1|False|True|-1.0|-1.0|False|False
ABSI|2026-06-24|2026-06|ep_high_break|1|3|21.181818181818183|strong|16.33|384152103.075|98.8|1|not_in_theme|5.857142857142859|abstain|True|True|-1.0|-0.1717|False|False
ABSI|2026-06-24|2026-06|ep_close_reclaim|1|3|0.29959723021367524|strong|16.33|384152103.075|98.8|1|not_in_theme|5.857142857142859|abstain|True|True|-1.0|-1.0|False|False
ABSI|2026-06-24|2026-06|ep_close_620_prox|1|3|3.5695809622348564|strong|16.33|384152103.075|98.8|1|not_in_theme|5.857142857142859|abstain|True|True|-1.0|2.7101|False|False
ABSI|2026-06-24|2026-06|ep_low_reclaim|15|1|1.0888252148997004|strong|16.33|384152103.075|98.8|1|not_in_theme|5.857142857142859|abstain|True|True|-1.0|-1.0|False|False
ABVX|2026-06-03|2026-06|ep_high_break|1|1|12.339822378795724|routine|15.14|644252377.35|1.1|1|null|0.0|not_in_pop|True|True|-1.0|1.1249|False|False
ABVX|2026-06-03|2026-06|ep_low_reclaim|14|1|8.792682926829261|routine|15.14|644252377.35|1.1|1|null|0.0|not_in_pop|True|True|6.8183|1.4577|True|False
ACAD|2026-06-26|2026-06|ep_close_reclaim|1|3|0.5113077679449322|strong|15.34|186588675.72|65.0|1|not_in_theme|13.276026743075441|abstain|True|True|-1.0|-1.0|False|False
ACAD|2026-06-26|2026-06|ep_low_reclaim|1|3|0.5564387917329116|strong|15.34|186588675.72|65.0|1|not_in_theme|13.276026743075441|abstain|True|True|-1.0|-1.0|False|False
ACAD|2026-06-26|2026-06|ep_close_620_prox|1|3|0.39904229848363076|strong|15.34|186588675.72|65.0|1|not_in_theme|13.276026743075441|abstain|True|True|-1.0|-1.0|False|False
ACHR|2026-08-10|2026-08|ep_close_reclaim|1|1|7.261724659606663|routine|14.85|796753732.04|61.9|3|not_in_theme|20.474137931034488|stopped_day1|False|True|-1.0|-1.0|False|False
ACHR|2026-08-10|2026-08|ep_close_620_prox|2|1|1.893312101910828|routine|14.85|796753732.04|61.9|3|not_in_theme|20.474137931034488|stopped_day1|False|True|-1.0|-1.0|False|False
ACHR|2026-08-10|2026-08|ep_low_reclaim|11|1|0.27122184599315685|routine|14.85|796753732.04|61.9|3|not_in_theme|20.474137931034488|stopped_day1|False|True|-1.0|-1.0|False|False
ACMR|2026-08-07|2026-08|ep_close_620_prox|1|1|2.5185008355216034|strong|15.09|118320655.8|34.8|1|not_in_theme|20.94946401225116|not_in_pop|False|True|-1.0|-1.0|False|False
ACMR|2026-08-07|2026-08|ep_low_reclaim|2|1|0.3807589795659492|strong|15.09|118320655.8|34.8|1|not_in_theme|20.94946401225116|not_in_pop|False|True|-1.0|3.7667|False|False
AEHR|2026-06-17|2026-06|ep_close_reclaim|1|2|0.5796046616901659|strong|15.87|227470664.34|75.5|1|in_theme|12.333904843549085|not_in_pop|True|True|-1.0|-1.0|False|False
AEHR|2026-06-17|2026-06|ep_close_620_prox|1|2|0.37787701820679986|strong|15.87|227470664.34|75.5|1|in_theme|12.333904843549085|not_in_pop|True|True|-1.0|-1.0|False|False
AEHR|2026-06-17|2026-06|ep_low_reclaim|2|1|4.066101326375296|strong|15.87|227470664.34|75.5|1|in_theme|12.333904843549085|not_in_pop|True|True|-1.0|-1.0|False|False
AEHR|2026-07-15|2026-07|ep_low_reclaim|1|1|9.168209215169556|game_changer|29.5|1135114428.5700002|21.8|1|not_in_theme|7.573946818046022|abstain|True|True|-1.0|-0.4393|False|False
AEHR|2026-07-15|2026-07|ep_close_620_prox|6|1|1.0750764101139145|game_changer|29.5|1135114428.5700002|21.8|1|not_in_theme|7.573946818046022|abstain|True|True|-1.0|-1.0|False|False
AEIS|2026-08-04|2026-08|ep_close_reclaim|1|2|2.06517016654598|strong|15.39|590294035.1|24.5|1|not_in_theme|17.385191199477187|survived_day1|False|True|-1.0|-1.0|False|False
AEIS|2026-08-04|2026-08|ep_close_620_prox|1|2|1.2096418165229292|strong|15.39|590294035.1|24.5|1|not_in_theme|17.385191199477187|survived_day1|False|True|-1.0|-1.0|False|False
AEIS|2026-08-04|2026-08|ep_low_reclaim|2|1|2.378610940381055|strong|15.39|590294035.1|24.5|1|not_in_theme|17.385191199477187|survived_day1|False|True|-1.0|-1.0|False|False
AEVA|2026-08-06|2026-08|ep_close_reclaim|1|1|4.1338582677165245|strong|22.28|212440085.88000003|56.1|1|not_in_theme|40.171551107934235|not_in_pop|False|True|-1.0|-1.0|False|False
AEVA|2026-08-06|2026-08|ep_close_620_prox|3|1|3.8303130148270164|strong|22.28|212440085.88000003|56.1|1|not_in_theme|40.171551107934235|not_in_pop|False|True|-1.0|-1.0|False|False
AEVA|2026-08-06|2026-08|ep_low_reclaim|5|1|0.4833040421792749|strong|22.28|212440085.88000003|56.1|1|not_in_theme|40.171551107934235|not_in_pop|False|True|-1.0|-1.0|False|False
AGX|2026-06-05|2026-06|ep_low_reclaim|6|1|14.009279842451546|game_changer|10.96|748572610.24|63.0|1|null|6.576079395260394|not_in_pop|True|True|-0.6499|0.3821|False|False
AGX|2026-06-05|2026-06|ep_close_620_prox|7|1|2.261467663619893|game_changer|10.96|748572610.24|63.0|1|null|6.576079395260394|not_in_pop|True|True|-1.0|-1.0|False|False
AGYS|2026-05-19|2026-05|ep_low_reclaim|1|1|5.0560333593953555|strong|14.81|216260550.64|46.6|1|null|7.077486272117145|stopped_day1|True|True|2.7758|2.7706|False|False
AGYS|2026-05-19|2026-05|ep_close_620_prox|2|1|1.8877454384746393|strong|14.81|216260550.64|46.6|1|null|7.077486272117145|stopped_day1|True|True|-1.0|-1.0|False|False
AIP|2026-05-13|2026-05|ep_close_reclaim|1|1|2.4701754385964985|strong|20.81|105094047.6|98.8|1|null|12.409012131715764|not_in_pop|True|True|-1.0|-1.0|False|False
AIP|2026-05-13|2026-05|ep_close_620_prox|5|1|2.8904899135446684|strong|20.81|105094047.6|98.8|1|null|12.409012131715764|not_in_pop|True|True|-1.0|-1.0|False|False
