cell|id|ticker|alert_date|admit|status|reason|entered|entry_px|stop|target|partial_fired|partial2_fired|final_reason|realized_r|mark_r|gap_through
live_2r_partial_be_trail|10680|BW|2026-05-11|reject|settled||True|16.9999|15.980099999999997|18.019700000000004|True|False|stop_hit|1.7062169052755403||False
live_2r_partial_be_trail|10682|BZH|2026-05-11|reject|no_entry|never_crossed_orb_high|False||25.11||False|False||||False
live_2r_partial_be_trail|10684|DRTS|2026-05-11|abstain_float_band_straddles_bar|settled||True|9.86|9.18|10.54|True|False|stop_hit|0.3333333333333333||False
live_2r_partial_be_trail|10683|MNDY|2026-05-11|admit|settled||True|86.6558|78.7442|94.56739999999999|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10679|MRAM|2026-05-11|admit|settled||True|36.425|31.715000000000003|41.13499999999999|True|False|stop_hit|0.33333333333333337||False
live_2r_partial_be_trail|10681|WYFI|2026-05-11|reject|settled||True|23.7735|21.7265|25.820499999999996|True|False|stop_hit|0.3333333333333333||False
live_2r_partial_be_trail|10691|AMBQ|2026-05-12|reject|settled||True|54.02|52.28|55.78000000000001|True|False|stop_hit|9.319540229885048||False
live_2r_partial_be_trail|10695|AVEX|2026-05-12|abstain_float_band_straddles_bar|settled||True|26.35|24.85|27.85|True|False|stop_hit|0.3333333333333333||False
live_2r_partial_be_trail|10690|HLIT|2026-05-12|reject|settled||True|14.55|13.25|15.850000000000001|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10685|PACS|2026-05-12|reject|settled||True|39.0|38.14|39.86|True|False|stop_hit|0.3333333333333333||False
live_2r_partial_be_trail|10692|SE|2026-05-12|admit|abstain|day0_fill_bar_straddles_stop|True|94.71|93.04|96.37999999999998|False|False||||False
live_2r_partial_be_trail|10687|SIBN|2026-05-12|reject|settled||True|13.13|11.249999999999998|15.010000000000003|True|False|stop_hit|0.7521276595744679||False
live_2r_partial_be_trail|10686|TE|2026-05-12|abstain_float_band_straddles_bar|settled||True|6.51|5.609999999999999|7.41|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10693|VG|2026-05-12|admit|settled||True|12.68|12.07|13.29|True|False|stop_hit|1.0109289617486357||True
live_2r_partial_be_trail|10689|VPG|2026-05-12|abstain_float_band_straddles_bar|settled||True|83.99|80.64999999999999|87.33|True|False|stop_hit|0.33333333333333337||False
live_2r_partial_be_trail|10694|VSTS|2026-05-12|abstain_float_band_straddles_bar|settled||True|12.05|11.34|12.760000000000002|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10688|ZBRA|2026-05-12|admit|settled||True|256.0|238.0|274.0|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10697|AIP|2026-05-13|abstain_float_band_straddles_bar|no_entry|never_crossed_orb_high|False||29.32||False|False||||False
live_2r_partial_be_trail|10696|EOSE|2026-05-13|admit|no_entry|never_crossed_orb_high|False||8.569999999999999||False|False||||False
live_2r_partial_be_trail|10706|ARX|2026-05-14|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||13.400000000000002||False|False||||False
live_2r_partial_be_trail|10707|CPA|2026-05-14|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||123.41999999999999||False|False||||False
live_2r_partial_be_trail|10705|CRMD|2026-05-14|abstain_float_band_straddles_bar|settled||True|8.65|8.249999999999998|9.050000000000002|False|False|stop_hit|-1.0||False
live_2r_partial_be_trail|10700|CSCO|2026-05-14|admit|settled||True|117.55|112.51|122.58999999999999|True|False|stop_hit|0.941798941798944||False
live_2r_partial_be_trail|10698|FPS|2026-05-14|admit|no_entry|never_crossed_orb_high|False||43.780300000000004||False|False||||False
live_2r_partial_be_trail|10699|GO|2026-05-14|reject|no_entry|never_crossed_orb_high|False||8.020000000000001||False|False||||False
live_2r_partial_be_trail|10703|KLAR|2026-05-14|abstain_float_band_straddles_bar|settled||True|15.92|14.44|17.4|True|False|stop_hit|0.779279279279279||False
live_2r_partial_be_trail|10702|STAA|2026-05-14|admit|no_entry|never_crossed_orb_high|False||31.630000000000003||False|False||||False
live_2r_partial_be_trail|10701|STUB|2026-05-14|reject|settled||True|9.0|7.859999999999999|10.14|True|False|stop_hit|0.718713450292398||False
live_2r_partial_be_trail|10708|VIK|2026-05-14|admit|no_trade|window_out_of_orb|False||88.58||False|False||||False
live_2r_partial_be_trail|10704|VSNT|2026-05-14|admit|settled||True|43.25|41.400000000000006|45.099999999999994|True|False|stop_hit|0.33333333333333337||False
live_2r_partial_be_trail|10710|FIG|2026-05-15|admit|settled||True|22.6199|20.8401|24.399700000000003|True|False|stop_hit|0.15207701239839627||True
