===SECTION_COVERAGE===
min_d|max_d|n_rows|n_dates
2025-12-26|2026-09-01|496880|132
(1 row)
===SECTION_RS===
ticker|ep_date|score_date|rs_composite|rs_rank
BW|2026-05-11|2026-05-08|52.7|1874
BZH|2026-05-11|2026-05-08|8.5|3624
DRTS|2026-05-11|2026-05-08|89.3|423
MNDY|2026-05-11|2026-05-08|34.5|2595
MRAM|2026-05-11|2026-05-08|99.7|13
WYFI|2026-05-11|2026-05-08|92.3|307
AMBQ|2026-05-12|2026-05-11|95.8|167
AVEX|2026-05-12|2026-05-11|1.3|3928
HLIT|2026-05-12|2026-05-11|91.4|342
PACS|2026-05-12|2026-05-11|12|3505
SE|2026-05-12|2026-05-11|15.6|3361
SIBN|2026-05-12|2026-05-11|3.3|3849
TE|2026-05-12|2026-05-11|40.2|2382
VG|2026-05-12|2026-05-11|73.9|1041
VPG|2026-05-12|2026-05-11|96.2|154
VSTS|2026-05-12|2026-05-11|61.7|1527
ZBRA|2026-05-12|2026-05-11|21.8|3115
AIP|2026-05-13|2026-05-12|98.8|47
EOSE|2026-05-13|2026-05-12|68.5|1242
ARX|2026-05-14|2026-05-13|25.1|2948
CPA|2026-05-14|2026-05-13|23.9|2996
CRMD|2026-05-14|2026-05-13|43.6|2220
CSCO|2026-05-14|2026-05-13|91.5|334
FPS|2026-05-14|2026-05-13|96.2|151
GO|2026-05-14|2026-05-13|43.4|2229
KLAR|2026-05-14|2026-05-13|8.7|3597
STAA|2026-05-14|2026-05-13|94.3|226
STUB|2026-05-14|2026-05-13|38.5|2424
VIK|2026-05-14|2026-05-13|75.2|978
VSNT|2026-05-14|2026-05-13|68.9|1227
FIG|2026-05-15|2026-05-14|32.6|2665
GEMI|2026-05-15|2026-05-14|32.3|2678
GLOB|2026-05-15|2026-05-14|1.7|3886
AGYS|2026-05-19|2026-05-18|46.6|2100
EVTC|2026-05-19|2026-05-18|6.9|3661
STC|2026-05-19|2026-05-18|43.7|2215
ALAB|2026-05-20|2026-05-19|97|116
