=== SECTYPE_COVERAGE ===
security_type|n|first_seen|last_seen
ETF|5612|2026-03-24|2026-08-31
CS|5598|2026-03-24|2026-08-31
WARRANT|523|2026-03-24|2026-08-31
PFD|453|2026-03-24|2026-08-31
ADRC|389|2026-03-24|2026-08-31
FUND|345|2026-03-30|2026-08-31
UNIT|341|2026-03-24|2026-08-31
SP|174|2026-03-30|2026-08-31
RIGHT|152|2026-03-24|2026-08-31
ETS|116|2026-06-15|2026-08-31
ETV|91|2026-08-17|2026-08-31
ETN|52|2026-08-17|2026-08-31
(12 rows)
=== BUCKET_MONTH ===
skip_category|mon|pre_sectype_filter|cls|n|sessions|n20|tail20|lose20|n5|tail5_20|tail5_10|lose5|day0_red|tail20_day0red|tail5_day0red|gap_gt100
adv_low|2026-04-01|f|CS|4|3|4|1|1|4|1|1|0|2|0|0|0
adv_low|2026-04-01|t|CS|2|1|2|0|2|2|0|0|2|2|0|0|1
adv_low|2026-04-01|t|nonCS|2|2|2|0|2|2|0|0|1|1|0|0|0
adv_low|2026-05-01|f|CS|18|13|15|5|7|18|2|6|8|7|0|0|0
adv_low|2026-05-01|f|nonCS|1|1|1|1|0|1|1|1|0|0|0|0|0
adv_low|2026-06-01|f|CS|32|16|22|2|16|30|2|3|22|21|1|1|2
adv_low|2026-07-01|f|CS|16|12|15|3|7|16|4|5|7|11|2|1|0
adv_low|2026-08-01|f|CS|14|12|0|0|0|14|2|3|9|7|0|0|2
adv_low|2026-09-01|f|CS|2|2|0|0|0|0|0|0|0|0|0|0|0
atr_high|2026-04-01|f|CS|3|3|3|0|3|3|0|0|3|3|0|0|0
atr_high|2026-05-01|f|CS|9|8|9|2|7|9|2|4|5|1|0|0|0
atr_high|2026-06-01|f|CS|12|9|10|2|8|12|1|1|8|7|1|0|0
atr_high|2026-07-01|f|CS|16|9|15|3|10|15|4|5|8|9|1|2|1
atr_high|2026-08-01|f|CS|7|6|1|0|1|6|1|1|4|5|0|1|0
atr_high|2026-09-01|f|CS|1|1|0|0|0|0|0|0|0|1|0|0|0
below_gap_floor|2026-08-01|f|CS|2|1|0|0|0|0|0|0|0|2|0|0|0
below_gap_floor|2026-09-01|f|CS|3|2|0|0|0|0|0|0|0|2|0|0|0
breaker_blocked|2026-07-01|f|CS|6|2|6|1|5|6|1|1|4|5|0|0|0
breaker_blocked|2026-08-01|f|CS|5|1|5|0|5|5|0|0|2|4|0|0|0
cap_blocked|2026-05-01|f|CS|3|1|3|1|1|3|0|1|2|2|1|0|0
cap_blocked|2026-08-01|f|CS|3|2|2|0|1|3|0|1|1|0|0|0|0
catalyst_downgrade|2026-04-01|f|CS|2|2|2|1|1|2|0|1|0|1|0|0|0
catalyst_downgrade|2026-05-01|f|CS|3|3|1|1|0|3|1|1|2|2|1|0|0
catalyst_downgrade|2026-06-01|f|CS|2|2|1|0|1|2|0|0|1|2|0|0|0
catalyst_downgrade|2026-07-01|f|CS|6|4|6|0|3|6|0|0|3|4|0|0|0
catalyst_downgrade|2026-08-01|f|CS|2|2|0|0|0|2|1|1|1|1|0|0|0
cooldown|2026-05-01|f|CS|14|11|9|2|6|14|3|5|8|4|0|0|0
cooldown|2026-05-01|f|nonCS|3|3|3|0|3|3|0|1|2|2|0|0|0
cooldown|2026-06-01|f|CS|18|12|16|0|14|18|0|1|14|10|0|0|0
cooldown|2026-07-01|f|CS|5|4|5|2|2|5|0|1|0|2|1|0|0
cooldown|2026-08-01|f|CS|8|7|2|0|2|8|0|1|6|4|0|0|0
d1_universe_floor|2026-08-01|f|CS|114|6|0|0|0|60|5|10|44|75|0|2|7
d1_universe_floor|2026-09-01|f|CS|30|2|0|0|0|0|0|0|0|20|0|0|0
duplicate_scan|2026-05-01|f|CS|57|16|45|12|20|57|8|17|25|20|2|1|0
duplicate_scan|2026-06-01|f|CS|27|16|26|1|21|27|3|5|17|18|0|2|0
duplicate_scan|2026-07-01|f|CS|14|8|14|4|6|14|1|2|7|8|1|0|0
duplicate_scan|2026-08-01|f|CS|54|12|11|1|8|53|5|10|28|23|0|1|0
extension_gate|2026-04-01|f|CS|14|8|14|4|7|14|3|4|8|5|2|1|0
extension_gate|2026-04-01|t|CS|5|2|5|0|5|5|0|0|5|4|0|0|1
extension_gate|2026-05-01|f|CS|23|13|18|1|15|23|5|5|17|10|0|0|1
extension_gate|2026-05-01|f|nonCS|1|1|0|0|0|1|0|0|1|0|0|0|0
extension_gate|2026-06-01|f|CS|14|10|8|1|7|14|1|1|13|11|0|0|1
extension_gate|2026-07-01|f|CS|18|13|17|0|17|17|2|3|14|9|0|1|0
extension_gate|2026-08-01|f|CS|17|11|4|0|4|15|1|2|13|14|0|0|0
high_unentered|2026-05-01|f|CS|10|8|10|1|6|10|1|4|4|4|0|0|0
high_unentered|2026-06-01|f|CS|14|10|14|0|11|14|2|3|8|11|0|2|0
high_unentered|2026-07-01|f|CS|5|5|5|1|3|5|0|1|2|4|1|0|0
high_unentered|2026-08-01|f|CS|7|4|2|1|1|7|1|1|4|4|0|0|0
infra_skip|2026-05-01|f|CS|7|1|7|2|4|7|1|2|4|2|0|0|0
infra_skip|2026-08-01|f|CS|2|1|0|0|0|2|0|0|2|2|0|0|0
ma_filter|2026-04-01|f|CS|5|3|5|1|2|5|1|1|2|2|0|0|0
ma_filter|2026-05-01|f|CS|14|10|9|0|6|14|2|2|10|8|0|0|0
ma_filter|2026-06-01|f|CS|10|7|10|0|4|10|0|0|6|5|0|0|0
ma_filter|2026-07-01|f|CS|7|7|7|0|0|7|0|0|0|2|0|0|0
ma_filter|2026-08-01|f|CS|9|6|3|0|2|9|0|0|4|4|0|0|0
mcap_low|2026-04-01|f|CS|10|5|10|2|6|10|1|2|5|4|0|0|0
mcap_low|2026-04-01|t|CS|1|1|1|1|0|1|0|1|0|0|0|0|0
mcap_low|2026-05-01|f|CS|29|14|23|5|15|29|5|9|16|11|0|0|0
mcap_low|2026-06-01|f|CS|16|12|13|3|6|16|4|4|11|9|0|0|0
mcap_low|2026-07-01|f|CS|16|13|15|2|9|15|0|1|10|8|1|0|0
mcap_low|2026-08-01|f|CS|28|14|1|0|1|25|4|6|14|15|0|1|0
mcap_low|2026-09-01|f|CS|1|1|0|0|0|0|0|0|0|1|0|0|0
moderate_tier|2026-05-01|f|CS|16|7|10|1|6|16|2|3|4|2|0|0|0
moderate_tier|2026-06-01|f|CS|11|9|10|1|8|11|1|2|7|5|0|0|0
moderate_tier|2026-07-01|f|CS|3|3|3|2|0|3|0|1|1|0|0|0|0
moderate_tier|2026-08-01|f|CS|18|7|2|0|1|18|0|1|10|7|0|0|0
outside_top20|2026-04-01|f|CS|7|5|7|1|3|7|1|1|3|4|0|0|0
outside_top20|2026-04-01|f|nonCS|1|1|1|0|0|1|0|0|0|1|0|0|0
outside_top20|2026-04-01|t|CS|6|2|6|2|2|6|1|4|1|3|1|0|0
outside_top20|2026-04-01|t|nonCS|23|2|23|9|6|23|6|7|12|11|3|2|4
outside_top20|2026-05-01|f|CS|83|9|76|12|43|83|4|10|47|46|3|1|1
outside_top20|2026-05-01|f|nonCS|1|1|0|0|0|1|0|0|1|1|0|0|0
outside_top20|2026-06-01|f|CS|9|1|9|0|8|9|0|0|8|6|0|0|0
outside_top20|2026-07-01|f|CS|44|2|44|10|19|44|4|16|11|12|3|0|0
outside_top20|2026-08-01|f|CS|39|4|11|0|8|39|2|7|17|17|0|0|0
pm_rvol_low|2026-04-01|f|CS|2|2|2|0|1|2|0|1|1|1|0|0|0
pm_rvol_low|2026-04-01|f|nonCS|1|1|1|1|0|1|0|1|0|0|0|0|0
pm_rvol_low|2026-05-01|f|CS|9|7|8|0|6|9|0|1|7|6|0|0|0
pm_rvol_low|2026-05-01|f|nonCS|1|1|1|1|0|1|1|1|0|1|1|1|0
pm_rvol_low|2026-06-01|f|CS|1|1|1|0|1|1|0|0|1|1|0|0|0
pm_rvol_low|2026-07-01|f|CS|2|2|2|0|2|2|0|1|1|1|0|0|0
pm_rvol_low|2026-08-01|f|CS|2|1|2|0|2|2|1|1|1|0|0|0|0
score_below_50|2026-04-01|f|CS|12|6|12|4|6|12|2|3|5|8|1|0|0
score_below_50|2026-04-01|f|nonCS|1|1|1|1|0|1|0|1|0|0|0|0|1
score_below_50|2026-05-01|f|CS|52|17|36|8|15|52|3|10|22|20|4|1|0
score_below_50|2026-06-01|f|CS|18|12|17|0|14|18|1|3|12|10|0|0|0
score_below_50|2026-07-01|f|CS|32|13|32|3|13|32|2|5|15|20|0|2|0
score_below_50|2026-08-01|f|CS|61|15|21|1|14|56|6|11|30|24|0|0|0
score_below_50|2026-09-01|f|CS|1|1|0|0|0|0|0|0|0|1|0|0|0
session_rvol_low|2026-04-01|f|CS|34|7|34|5|20|34|2|10|18|20|1|0|0
session_rvol_low|2026-04-01|t|CS|19|4|19|4|11|19|0|3|10|13|3|0|0
session_rvol_low|2026-04-01|t|nonCS|31|4|31|17|8|31|12|21|8|13|4|3|5
session_rvol_low|2026-05-01|f|CS|18|10|17|2|11|18|0|2|10|13|2|0|0
session_rvol_low|2026-06-01|f|CS|19|8|17|0|16|19|0|2|15|16|0|0|0
session_rvol_low|2026-07-01|f|CS|10|8|10|1|8|10|1|1|8|8|0|0|0
session_rvol_low|2026-08-01|f|CS|9|8|2|0|2|9|0|2|5|6|0|0|0
setup_other|2026-06-01|f|CS|1|1|1|0|1|1|0|0|1|1|0|0|0
setup_other|2026-07-01|f|CS|3|1|3|0|2|3|0|0|0|1|0|0|0
setup_other|2026-08-01|f|CS|5|5|1|0|1|5|1|1|2|2|0|1|0
stop_too_wide|2026-05-01|f|CS|3|3|3|0|1|3|0|0|2|2|0|0|0
stop_too_wide|2026-07-01|f|CS|1|1|1|0|0|1|0|0|1|0|0|0|0
stop_too_wide|2026-08-01|f|CS|4|4|0|0|0|4|1|1|3|2|0|0|0
window_missed|2026-05-01|f|CS|7|4|6|0|1|7|1|1|2|2|0|0|0
window_missed|2026-06-01|f|CS|1|1|0|0|0|1|0|1|0|0|0|0|0
window_missed|2026-07-01|f|CS|1|1|1|0|0|1|0|0|1|1|0|0|0
window_missed|2026-08-01|f|CS|13|8|2|0|2|12|3|8|4|3|0|0|0
(106 rows)
=== TAIL_ROWS ===
ticker|alert_date|source|skip_category|skip_reason|ep_score|security_type|cls|open_gap_pct|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_20d
TRT|2026-04-23|scan_filter|adv_low|quality filter: filter:adv_too_low: $380,435||CS|CS|0.33171912832929784|11|13.78|0.5018181818181818|0.2790909090909091|0.21000000000000005|0.9436363636363635
ATRA|2026-05-07|scan_filter|adv_low|quality filter: filter:adv_too_low: $289,411||CS|CS|0.524271844660194|7.85|9.93|0.06242038216560512|0.22165605095541405|0.2636942675159236|0.5859872611464968
LCUT|2026-05-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $695,659||CS|CS|0.09813874788494079|6.49|6.5|0.06625577812018485|0.2126348228043143|0.4098613251155624|0.5100154083204931
BRUN|2026-05-13|scan_filter|adv_low|quality filter: filter:adv_no_data||CS|CS|0.12486427795874033|20.72|21|0.2567567567567568|0.18194980694980695|0.4594594594594595|1.0270270270270272
BRUN|2026-05-14|scan_filter|adv_low|quality filter: filter:adv_no_data||CS|CS|0.09523809523809523|23|26.04|0.2869565217391305|0.10956521739130433|0.3443478260869566|0.8260869565217391
BRUNW|2026-05-14|scan_filter|adv_low|quality filter: filter:adv_no_data||WARRANT|nonCS|0.10090817356205853|10.91|14.06|0.623281393217232|0.31530705774518786|0.7772685609532539|1.7818515123739689
STFS|2026-05-26|scan_filter|adv_low|quality filter: filter:adv_too_low: $770,048||CS|CS|0.14799999999999994|8.61|9.32|0.06271777003484331|0.1387921022067364|0.5499419279907086|0.6035307781649246
TTRX|2026-06-01|scan_filter|adv_low|quality filter: filter:adv_too_low: $117,154||CS|CS|0.09230769230769222|5.68|6.33|0.13028169014084512|-0.061619718309859094|0.2852112676056338|0.301056338028169
RNAC|2026-06-09|scan_filter|adv_low|quality filter: filter:adv_too_low: $998,861||CS|CS|0.1962457337883958|7.01|6.85|0.05991440798858772|0.29101283880171197|0.37945791726105566|0.5691868758915835
BGDE|2026-06-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $641,350||CS|CS|0.09717868338557996|7|7.19|0.0571428571428572|0.5242857142857142||0.6699999999999999
LVLU|2026-07-14|scan_filter|adv_low|quality filter: filter:adv_too_low: $68,429||CS|CS|0.17427884615384606|9.77|9.29|0.08904810644831126|0.676560900716479|0.9815762538382805|1.067553735926305
ADVB|2026-07-20|scan_filter|adv_low|quality filter: filter:adv_too_low: $61,575||CS|CS|0.3339960238568588|6.71|8.9|0.05514157973174368|1.1400894187779433|0.22652757078986593|2.6108792846497764
ADVB|2026-07-22|scan_filter|adv_low|quality filter: filter:adv_too_low: $64,341||CS|CS|0.17514124293785313|8.32|12.25|1.0168269230769231|0.3197115384615385|0.0036057692307691538|1.9121394230769229
ANIK|2026-07-29|scan_filter|adv_low|quality filter: filter:adv_too_low: $858,542||CS|CS|0.1372937293729373|17.23|16.17|0.048752176436448046|0.11375507835171218|0.25827045850261166|0.32791642484039457
TCX|2026-07-31|scan_filter|adv_low|quality filter: filter:adv_too_low: $885,409||CS|CS|0.14432989690721654|11.1|15.44|0.23873873873873877|0.4126126126126126|-0.08828828828828833|0.44954954954954957
INHD|2026-08-10|scan_filter|adv_low|quality filter: filter:adv_no_data||CS|CS|0.22060252672497585|6.28|6.63|0.030254777070063615|0.2770700636942674||1.3487261146496814
RFAI|2026-08-21|scan_filter|adv_low|quality filter: filter:adv_too_low: $67,037||CS|CS|2.1421838177533385|40|58|0.27599999999999997|0.3012499999999999||0.825
UP|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 17.4% > 15.0%||CS|CS|0.11371769383697813|5.602|5.63|0.07640128525526596|0.5458764726883255|0.344162799000357|0.7799357372367011
