cell|ticker|alert_date|account_mode|fetched|status|reason|gate_skip|entered|entry_px|stop|target|realized_r|mark_r|final_reason
era_d_stop_ladder|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||7.82||||
era_d_stop_ladder|WST|2026-04-23|paper|True|settled|||True|315.0|300.0|375.0|-1.0||stop_hit
era_d_stop_ladder|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||24.4002||||
era_d_stop_ladder|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||160.0||||
era_d_stop_ladder|BAND|2026-04-30|paper|True|settled|||True|33.26|28.655|52.33999999999998|4.693449149475211||sma_trail_stop
era_d_stop_ladder|STRL|2026-05-05|paper|True|settled|||True|739.1199|669.0855|1019.2575|0.7497329883600048||stop_hit
era_d_stop_ladder|EVER|2026-05-05|paper|True|settled|||True|19.15|17.15|27.15|0.0||stop_hit
era_d_stop_ladder|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||29.32||||
era_d_stop_ladder|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.020000000000001||||
era_d_stop_ladder|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||8.979999999999999||||
era_d_stop_ladder|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|97.5|170.0|-0.10275862068965481||sma_trail_stop
era_d_stop_ladder|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|19.930000000000003|50.72999999999999|-0.5892857142857144||stop_hit
era_d_stop_ladder|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|73.75|131.25|-0.2642608695652175||stop_hit
era_d_stop_ladder|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|33.959999999999994|59.460000000000036|1.6384313725490158||stop_hit
era_d_stop_ladder|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||8.870000000000001||||
era_d_stop_ladder|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|36.6|55.59999999999999|-0.3631578947368412||stop_hit
era_d_stop_t3|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||7.82||||
era_d_stop_t3|WST|2026-04-23|paper|True|settled|||True|315.0|300.0|375.0|-1.0||stop_hit
era_d_stop_t3|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||24.4002||||
era_d_stop_t3|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||160.0||||
era_d_stop_t3|BAND|2026-04-30|paper|True|settled|||True|33.26|28.655|52.33999999999998|4.108577633007602||time_close
era_d_stop_t3|STRL|2026-05-05|paper|True|settled|||True|739.1199|669.0855|1019.2575|0.7497329883600048||stop_hit
era_d_stop_t3|EVER|2026-05-05|paper|True|settled|||True|19.15|17.15|27.15|-0.6409999999999982||stop_hit
era_d_stop_t3|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||29.32||||
era_d_stop_t3|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.020000000000001||||
era_d_stop_t3|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||8.979999999999999||||
era_d_stop_t3|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|97.5|170.0|-0.10275862068965481||sma_trail_stop
era_d_stop_t3|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|19.930000000000003|50.72999999999999|-0.5892857142857144||stop_hit
era_d_stop_t3|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|73.75|131.25|-0.2642608695652175||stop_hit
era_d_stop_t3|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|33.959999999999994|59.460000000000036|1.6384313725490158||stop_hit
era_d_stop_t3|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||8.870000000000001||||
era_d_stop_t3|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|36.6|55.59999999999999|-0.3631578947368412||stop_hit
era_d_stop_hard|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||7.82||||
