ticker|ep_date|mon|rung|stop|shape_policy|arm|n_attempts|end|ties|blind|missing|last_exit
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|either|none|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|either|trail|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|same_pattern|none|1|censored_window|0|0|0|2026-08-12
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|same_pattern|trail|1|censored_window|0|0|0|2026-08-12
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|new_high_break|none|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_025|new_high_break|trail|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|either|none|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|either|trail|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|same_pattern|none|1|censored_window|0|0|0|2026-08-12
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|same_pattern|trail|1|censored_window|0|0|0|2026-08-12
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|new_high_break|none|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_050|new_high_break|trail|2|abstain|0|0|0|2026-08-13
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_075|either|none|1|abstain|0|0|0|2026-08-11
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_075|either|trail|1|abstain|0|0|0|2026-08-11
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_075|same_pattern|none|1|abstain|0|0|0|2026-08-11
ABCL|2026-08-10|2026-08|ep_close_reclaim|adr_075|same_pattern|trail|1|abstain|0|0|0|2026-08-11
