('NPT','2026-03-03'),
('FLY','2026-03-12'),
('FLY','2026-03-20'),
('YSS','2026-03-20'),
('AUGO','2026-03-25'),
('LGN','2026-03-27'),
('SGML','2026-03-30'),
('SMTC','2026-03-30'),
('AEHR','2026-03-31'),
('MRVL','2026-03-31'),
('AIXI','2026-04-06'),
('HCAI','2026-04-07'),
('ALGM','2026-04-08'),
('AMKR','2026-04-08'),
('APLD','2026-04-08'),
('ASX','2026-04-08'),
('BE','2026-04-08'),
('ELPW','2026-04-08'),
('GLXY','2026-04-08'),
('HUT','2026-04-08'),
('IREN','2026-04-08'),
('MSTR','2026-04-08'),
('MU','2026-04-08'),
('NBIS','2026-04-08'),
('OKLO','2026-04-08'),
('QBTS','2026-04-08'),
('SNDK','2026-04-08'),
('STRL','2026-04-08'),
('USAR','2026-04-08'),
('ALMU','2026-04-13'),
('UMC','2026-04-17'),
('ELPW','2026-04-22'),
('NOK','2026-04-23'),
('AMD','2026-04-24'),
('ELPW','2026-04-24'),
('INTC','2026-04-24'),
('MXL','2026-04-24'),
('QCOM','2026-04-24'),
('AKAN','2026-04-29'),
('FCEL','2026-04-29'),
('STX','2026-04-29'),
('BAND','2026-04-30'),
('GTX','2026-04-30'),
('MRAM','2026-04-30'),
('QCOM','2026-04-30'),
('OUST','2026-05-04'),
('FLY','2026-05-05'),
('ARM','2026-05-06'),
('BRKR','2026-05-06'),
('SMCI','2026-05-06'),
('UMC','2026-05-06'),
('DDOG','2026-05-07'),
('FLNC','2026-05-07'),
('FTNT','2026-05-07'),
('HAE','2026-05-07'),
('HIMX','2026-05-07'),
('NSIT','2026-05-07'),
('SNOW','2026-05-07'),
('WOK','2026-05-11'),
('TDIC','2026-05-12'),
('VSH','2026-05-13'),
('RDW','2026-05-18'),
('UMC','2026-05-26'),
('ASTC','2026-05-27'),
('ASTC','2026-05-28'),
('HPE','2026-05-29'),
('QURE','2026-05-29'),
('STI','2026-06-04'),
('SDOT','2026-06-08'),
('SPCX','2026-06-12'),
('SDOT','2026-06-17'),
('CCXI','2026-06-24'),
('CCXI','2026-06-29'),
('VEEE','2026-07-13'),
