ticker	scan_date	adv_shares	n	last_close
AAOI	2026-08-14	11489056.900000000000	20	130.08
AARD	2026-08-18	126620.100000000000	20	6.74
AARD	2026-08-19	122577.750000000000	20	6.145
ABCL	2026-08-25	9963598.550000000000	20	10.61
ABTC	2026-07-30	1951570.450000000000	20	5.19
ABX	2026-08-14	580806.450000000000	20	8.52
ACET	2026-08-07	95977.450000000000	20	7.93
ACHR	2026-08-10	33175220.450000000000	20	5.59
ACLS	2026-08-04	436031.250000000000	20	131.12
ACOG	2026-08-20	123477.900000000000	20	8.89
ACVA	2026-08-11	3066272.550000000000	20	7.26
ADMA	2026-08-06	2552136.750000000000	20	9.26
AEHL	2026-08-19	718700.900000000000	20	5.69
AEIS	2026-07-31	690764.700000000000	20	274.26
AERO	2026-08-24	267600.450000000000	20	13.72
AGPU	2026-07-27	439630.000000000000	20	6.85
AGPU	2026-08-17	632946.200000000000	20	8.27
AIAI	2026-07-29	180286.150000000000	20	5.51
AIAI	2026-08-20	197451.500000000000	20	5.225
AIP	2026-07-30	761961.850000000000	20	26.96
AIRG	2026-08-18	74264.300000000000	20	5.41
AIRJ	2026-08-07	1739620.700000000000	20	5.59
ALGT	2026-08-03	449126.400000000000	20	98.08
ALMR	2026-08-11	218329.250000000000	20	27.99
ALNT	2026-08-06	252608.650000000000	20	93.25
ALOY	2026-07-29	2196617.800000000000	20	7.33
ALOY	2026-08-07	2883710.750000000000	20	10.69
ALOY	2026-08-21	3424252.950000000000	20	11.07
AMBP	2026-08-13	3157193.900000000000	20	5.06
AMCX	2026-07-31	509361.950000000000	20	9.71
AMIX	2026-08-06	11065103.800000000000	20	12.1
AMRC	2026-07-30	494525.400000000000	20	18.51
AMWL	2026-08-05	156623.250000000000	20	10.42
ANIK	2026-07-29	63862.300000000000	20	15.15
ANIK	2026-07-30	66366.050000000000	20	16.17
ANTX	2026-08-12	169112.450000000000	20	5.87
APMD	2026-08-25	560039.705882352941	17	25.63
APUS	2026-07-29	20610.150000000000	20	8
ARCT	2026-08-19	524605.000000000000	20	8.21
ARGX	2026-08-17	287404.800000000000	20	851.29
ARQQ	2026-07-27	599837.950000000000	20	16.65
ARVN	2026-08-04	589930.350000000000	20	8.06
ASAN	2026-07-27	5463917.700000000000	20	6.86
ASBP	2026-07-30	60108.050000000000	20	5.61
ATNI	2026-08-06	65793.950000000000	20	24.01
ATRO	2026-08-12	493489.100000000000	20	74.91
AVEX	2026-08-14	1849635.850000000000	20	20.89
AVNT	2026-08-06	686667.950000000000	20	37.92
AVY	2026-07-30	701534.450000000000	20	167.14
AWI	2026-07-28	502095.650000000000	20	165.22
AXGN	2026-07-29	1276344.550000000000	20	41.15
AXIL	2026-08-19	18897.600000000000	20	6.65
AXTI	2026-08-05	10486792.400000000000	20	65.27
BAND	2026-08-07	1264659.250000000000	20	44.69
BANL	2026-08-14	194203.000000000000	20	7.01
BANL	2026-08-18	214378.350000000000	20	10.35
BAX	2026-07-30	5672373.200000000000	20	24.77
BCAR	2026-07-29	772978.400000000000	20	5.66
BDC	2026-07-30	539696.950000000000	20	102.03
BELFB	2026-07-31	303344.350000000000	20	253.41
BGDE	2026-07-31	97447.550000000000	20	5.64
BIYA	2026-07-30	11989050.350000000000	20	5.83
BLSH	2026-08-13	1361995.200000000000	20	24.63
BLZE	2026-07-31	2118993.100000000000	20	12.63
BNAI	2026-07-27	271865.150000000000	20	11.16
BNTX	2026-08-19	930473.000000000000	20	92.75
BTDR	2026-08-04	9149604.400000000000	20	11.37
BUUU	2026-07-27	55876.100000000000	20	20
BUUU	2026-08-12	77025.850000000000	20	28.83
BVS	2026-08-05	687444.750000000000	20	13.42
