ticker	scan_date	adv_dollar	n
AAOI	2026-08-14	1120895059.13	23
AARD	2026-08-18	882958.635	22
AARD	2026-08-19	927111.0800000001	23
ABCL	2026-08-25	52982343.46	21
ABTC	2026-07-30	9587133.605	22
ABX	2026-08-14	5833132.4799999995	23
ACET	2026-08-07	851714.9199999999	23
ACHR	2026-08-10	147692401.56	21
ACLS	2026-08-04	53311370.75	22
ACOG	2026-08-20	928029.96	23
ACVA	2026-08-11	21903440.205	22
ADMA	2026-08-06	21466161.450000003	23
AEHL	2026-08-19	500628.48000000004	23
AEIS	2026-07-31	210158616	22
AERO	2026-08-24	3631595.7600000002	21
AGPU	2026-07-27	1860224.73	20
AGPU	2026-08-17	2645444.12	21
AIAI	2026-07-29	1433732.5	22
AIAI	2026-08-20	915406.5599999999	23
AIP	2026-07-30	19326491.939999998	22
AIRG	2026-08-18	385279.495	22
AIRJ	2026-08-07	4882220.64	23
ALGT	2026-08-03	47798869.75	21
ALMR	2026-08-11	5830363.65	22
ALNT	2026-08-06	21160007.82	23
ALOY	2026-07-29	22513618.9375	22
ALOY	2026-08-07	23060589.749999996	23
ALOY	2026-08-21	34097557.199999996	23
AMBP	2026-08-13	12194616.91	23
AMCX	2026-07-31	4532819.18	22
AMIX	2026-08-06	802270.08	23
AMRC	2026-07-30	12082772.425	22
AMWL	2026-08-05	1123195.93	23
ANIK	2026-07-29	859726.76	22
ANIK	2026-07-30	859726.76	22
ANTX	2026-08-12	852342.16	23
APMD	2026-08-25	9846391.280000001	17
APUS	2026-07-29	77510.41500000001	22
ARCT	2026-08-19	2874093.1	23
ARGX	2026-08-17	224430292.32	21
ARQQ	2026-07-27	8970419.774999999	20
ARVN	2026-08-04	4989391.8549999995	22
ASAN	2026-07-27	38128840.480000004	20
ASBP	2026-07-30	364498.47	22
ATNI	2026-08-06	1491854.85	23
ATRO	2026-08-12	33012602.98	23
AVEX	2026-08-14	25239256	23
AVNT	2026-08-06	24309853.4	23
AVY	2026-07-30	105272844.83	22
AWI	2026-07-28	76795604.48	21
AXGN	2026-07-29	50335276.475	22
AXIL	2026-08-19	44849.549999999996	23
AXTI	2026-08-05	442849451.03999996	23
BAND	2026-08-07	66818502.4	23
BANL	2026-08-14	179189.75999999998	23
BANL	2026-08-18	196809.9	22
BAX	2026-07-30	132008754.03	22
BCAR	2026-07-29	4921788.83	22
BDC	2026-07-30	58760054.245000005	22
BELFB	2026-07-31	74640081.36	22
BGDE	2026-07-31	524280.935	22
BIYA	2026-07-30	6711482.870000001	22
BLSH	2026-08-13	27530661.91	23
BLZE	2026-07-31	29666166.855	22
BNAI	2026-07-27	2986745.56	20
BNTX	2026-08-19	67845616	23
BTDR	2026-08-04	97919662.11250001	22
BUUU	2026-07-27	903635.0700000001	20
BUUU	2026-08-12	1095819.3	23
BVS	2026-08-05	8463046.540000001	23
BWMN	2026-08-10	3837106.6500000004	21
CAPR	2026-08-17	28553972.725	20
CARS	2026-08-07	7575571.96	23
CBRS	2026-07-30	978735812.97	22
CBRS	2026-08-17	1070916441.66	21
CBZ	2026-07-29	28275393.525000002	22
CDRE	2026-08-06	10573412.1	23
CENX	2026-08-07	70898524.28	23
CEPL	2026-08-12	2338941.6	23
CHRN	2026-07-30	6646580.0600000005	22
CLRO	2026-08-10	491077.84	21
CLW	2026-07-29	2295883.3449999997	22
COHU	2026-07-30	53346026.575	22
COLL	2026-08-13	13631189.299999999	23
CON	2026-08-07	24444139.44	23
CORZ	2026-07-28	204063182.88	21
CPS	2026-08-14	5416282.55	23
CRML	2026-08-21	36423811.84	23
CRML	2026-08-25	36761179.28	21
CSTL	2026-07-31	7418506.92	22
CVI	2026-07-30	26988648.36	22
