ticker	alert_date	gap_pct	ep_score	score_tier	catalyst_quality	in_active_theme	rel_volume	pm_rvol
BW	2026-05-11	26.07	96	HIGH	strong		0.07	28.436
BZH	2026-05-11	19.93	84	HIGH	strong		0.09	
DRTS	2026-05-11	10.46	50.4	MODERATE	strong		0.14	
MNDY	2026-05-11	19.16	100.8	HIGH	strong		0.04	17.834
MRAM	2026-05-11	29.68	115.2	HIGH	strong		0.89	9.089
WYFI	2026-05-11	12.99	51.6	MODERATE	strong		0.08	33.57
AMBQ	2026-05-12	18.68	84	HIGH	strong		0.03	8.737
AVEX	2026-05-12	8.28	54.7	MODERATE	strong		0.1	1.349
HLIT	2026-05-12	15.2	84	HIGH	strong		0.06	30.205
PACS	2026-05-12	22.26	96	HIGH	strong		0.01	9.059
SE	2026-05-12	13.26	54	HIGH	strong		0.15	33.519
SIBN	2026-05-12	13.35	51.6	HIGH	strong		0	5.691
TE	2026-05-12	18.21	84	HIGH	strong		0.15	44.128
VG	2026-05-12	10.07	54.7	HIGH	strong		0.04	4.749
VPG	2026-05-12	17.12	100.8	HIGH	strong		0.02	5.771
VSTS	2026-05-12	20.22	115.2	HIGH	strong		0.01	6.251
ZBRA	2026-05-12	15.33	100.8	HIGH	strong		0.01	59.351
AIP	2026-05-13	20.81	115.2	HIGH	strong		0.1	26.764
EOSE	2026-05-13	31.11	115.2	HIGH	strong		0.1	16.049
ARX	2026-05-14	17.64	100.8	HIGH	strong		0.13	2.887
CPA	2026-05-14	13.12	67.7	HIGH	strong		0.34	4.306
CRMD	2026-05-14	12.35	64.8	HIGH	strong		0.11	30.449
CSCO	2026-05-14	16.32	100.8	HIGH	strong		0.04	43.824
FPS	2026-05-14	17.75	84	HIGH	strong		0.02	14.874
GO	2026-05-14	17.38	84	HIGH	strong		0	10.254
KLAR	2026-05-14	19.57	84	HIGH	strong		0.08	22.449
STAA	2026-05-14	17.31	96	HIGH	game_changer		0.02	5.992
STUB	2026-05-14	14.3	54	HIGH	strong		0	5.314
VIK	2026-05-14	11.36	57.6	HIGH	strong		0.28	4.813
VSNT	2026-05-14	15.38	100.8	HIGH	strong		0.01	51.112
FIG	2026-05-15	8.65	57.6	MODERATE	strong		0.07	14.118
GEMI	2026-05-15	22.24	96	HIGH	strong		0.16	37.05
GLOB	2026-05-15	10.59	89.3	HIGH	strong		0.47	6.308
AGYS	2026-05-19	14.81	72	HIGH	strong		0.02	
EVTC	2026-05-19	11.25	54.7	MODERATE	strong		0	
STC	2026-05-19	10.54	50.4	MODERATE	strong		0	
ALAB	2026-05-20	15.68	100.8	HIGH	strong		1.91	
ARM	2026-05-20	16.36	100.8	HIGH	strong		1.8	
DYN	2026-05-20	17.86	84	HIGH	strong		1.22	
GH	2026-05-20	17.01	96	HIGH	game_changer		2.53	
IBRX	2026-05-20	10.18	72	HIGH	strong		0.34	3.577
IMVT	2026-05-20	35.26	115.2	HIGH	strong		15.63	
SLS	2026-05-20	19.89	100.8	HIGH	strong		4.29	
TATT	2026-05-20	21.57	64.8	HIGH	routine		3.58	
INFQ	2026-05-21	22	115.2	HIGH	strong		0.15	11.347
QBTS	2026-05-21	13.42	64.8	MODERATE	strong		0.31	95.925
QUBT	2026-05-21	11.51	64.8	MODERATE	strong		0.09	3.864
RLAY	2026-05-21	11.6	72	HIGH	game_changer		0.14	24.161
PPTA	2026-05-22	11	72	HIGH	game_changer		0.01	6.877
ASPI	2026-05-26	10.63	54	MODERATE	strong		0.05	4.641
BTGO	2026-05-26	15.87	50.4	MODERATE	routine		0.15	24.881
FUTU	2026-05-26	15.53	51.6	MODERATE	routine		1.92	4.399
NNE	2026-05-26	13.15	50.4	MODERATE	routine		0.07	2.606
OKLO	2026-05-26	11.68	64.8	MODERATE	strong		0.06	2.344
PONY	2026-05-26	12.66	64.8	HIGH	strong		0.18	13.792
POWI	2026-05-26	17.52	84	HIGH	strong		0.22	3.673
RDW	2026-05-26	15.04	84	HIGH	strong		0.09	7.216
ANF	2026-05-27	11.23	57.6	HIGH	routine		0.55	8.074
ASTI	2026-05-27	13.48	61.9	MODERATE	routine		0.67	
BBWI	2026-05-27	15	54.7	HIGH	routine		0.2	4.019
CRSR	2026-05-27	15.33	100.8	HIGH	strong		0.19	72.985
DY	2026-05-27	14.16	50.4	HIGH	strong		0.01	14.04
QFIN	2026-05-27	25.3	66	HIGH	routine		0.67	7.212
AVAV	2026-05-28	10.33	72	HIGH	strong		0.09	27.491
KSS	2026-05-28	21.73	64.8	MODERATE	routine		0.21	3.292
KTOS	2026-05-28	10.54	64.8	MODERATE	strong		0.07	16.18
PHR	2026-05-28	22.56	54	MODERATE	routine		0.05	1.19
RCAT	2026-05-28	16.07	100.8	HIGH	strong		0.19	19.512
SNOW	2026-05-28	35.23	53.3	MODERATE	routine		0.37	3.944
ASAN	2026-05-29	11.56	53.3	MODERATE	routine		0.09	1.258
BHVN	2026-05-29	11.47	64.8	MODERATE	strong		0.13	2.552
CHA	2026-05-29	12.48	50.4	MODERATE	routine		0.29	
DELL	2026-05-29	36.26	115.2	HIGH	strong		0.17	26.241
PD	2026-05-29	18.15	50.4	MODERATE	routine		0.03	16.733
ALOY	2026-06-01	14.25	86.4	HIGH	strong		0.3	2.382
NOW	2026-06-01	10.31	54.7	MODERATE	strong		0.06	4.879
