ticker	alert_date	score_tier	ep_score	catalyst_quality
FTK	2026-08-03	HIGH	60	game_changer
LIND	2026-08-03	HIGH	70	strong
AEIS	2026-08-04	HIGH	84	strong
AMRC	2026-08-04	HIGH	50	routine
BLZE	2026-08-04	HIGH	80	game_changer
BTDR	2026-08-04	HIGH	80	game_changer
CAT	2026-08-04	HIGH	60	game_changer
INSP	2026-08-04	MODERATE	55	routine
LIFE	2026-08-04	HIGH	80	game_changer
PLTR	2026-08-04	HIGH	96	game_changer
TSAT	2026-08-04	HIGH	60	game_changer
VOYG	2026-08-04	HIGH	80	game_changer
ZBRA	2026-08-04	HIGH	60	game_changer
APPS	2026-08-05	HIGH	115.2	strong
ECG	2026-08-05	HIGH	72	game_changer
HGTY	2026-08-05	HIGH	60.5	strong
KMT	2026-08-05	HIGH	72	game_changer
KMT	2026-08-05	HIGH	72	game_changer
KODK	2026-08-05	HIGH	54.7	strong
KTOS	2026-08-05	HIGH	64.8	strong
PRGO	2026-08-05	MODERATE	54	strong
ROCK	2026-08-05	MODERATE	60.5	strong
TATT	2026-08-05	HIGH	61.9	strong
AEVA	2026-08-06	HIGH	96	strong
CAI	2026-08-06	HIGH	50.4	routine
DCTH	2026-08-06	HIGH	54	routine
INSM	2026-08-06	HIGH	96	game_changer
LFST	2026-08-06	HIGH	96	game_changer
RDW	2026-08-06	HIGH	64.8	strong
SITM	2026-08-06	HIGH	96	game_changer
SOUN	2026-08-06	MODERATE	62.4	routine
TASK	2026-08-06	MODERATE	50.4	routine
TRUP	2026-08-06	MODERATE	60	routine
U	2026-08-06	HIGH	96	game_changer
ACMR	2026-08-07	HIGH	100.8	strong
ACMR	2026-08-07	HIGH	100.8	strong
CRSR	2026-08-07	MODERATE	84	strong
DOCS	2026-08-07	MODERATE	54	routine
FIGS	2026-08-07	HIGH	96	game_changer
FROG	2026-08-07	HIGH	100.8	strong
INOD	2026-08-07	MODERATE	51.6	strong
MTW	2026-08-07	HIGH	50.4	routine
NET	2026-08-07	HIGH	100.8	strong
ONTO	2026-08-07	HIGH	96	game_changer
PRAA	2026-08-07	MODERATE	84	strong
PSIX	2026-08-07	MODERATE	68.4	routine
PUBM	2026-08-07	MODERATE	96	strong
QNST	2026-08-07	HIGH	96	game_changer
TEAM	2026-08-07	HIGH	115.2	strong
TWLO	2026-08-07	HIGH	84	strong
WLDN	2026-08-07	MODERATE	51.6	strong
ABCL	2026-08-10	HIGH	96	game_changer
ACHR	2026-08-10	HIGH	54	routine
NESR	2026-08-10	HIGH	53.3	strong
SLN	2026-08-10	MODERATE	84	strong
TH	2026-08-10	HIGH	50.4	strong
BW	2026-08-11	HIGH	96	game_changer
FRMI	2026-08-11	HIGH	96	game_changer
RIOT	2026-08-11	HIGH	115.2	game_changer
RPD	2026-08-11	none	84	strong
SE	2026-08-11	HIGH	54.7	strong
ATRO	2026-08-12	HIGH	72	game_changer
BE	2026-08-12	HIGH	84	strong
BRUN	2026-08-12	none	60	strong
CRWV	2026-08-12	HIGH	51.6	routine
EROC	2026-08-12	HIGH	96	game_changer
GLBE	2026-08-12	HIGH	72	game_changer
HRB	2026-08-12	MODERATE	100.8	strong
MRX	2026-08-12	HIGH	53.3	strong
NBIS	2026-08-12	MODERATE	54.7	strong
WYFI	2026-08-12	MODERATE	84	strong
BLSH	2026-08-13	MODERATE	54	routine
CGEM	2026-08-13	HIGH	72	game_changer
CRMD	2026-08-13	HIGH	64.8	strong
HLIT	2026-08-13	HIGH	96	game_changer
KURA	2026-08-13	HIGH	60.5	strong
OMER	2026-08-13	HIGH	60	routine
ETON	2026-08-14	HIGH	96	game_changer
HTFL	2026-08-14	HIGH	96	game_changer
LPTH	2026-08-14	MODERATE	54.7	strong
NMAX	2026-08-14	HIGH	100.8	strong
RDDT	2026-08-14	MODERATE	54.7	strong
STDN	2026-08-14	MODERATE	53.3	strong
VERA	2026-08-14	HIGH	86.4	game_changer
ARGX	2026-08-17	HIGH	86.4	game_changer
CBRS	2026-08-17	none	60	strong
AMLX	2026-08-18	HIGH	96	game_changer
MRNA	2026-08-19	HIGH	115.2	strong
MRVL	2026-08-19	HIGH	69.1	strong
TEM	2026-08-19	none	51.6	routine
TWST	2026-08-19	HIGH	84	strong
BULL	2026-08-20	HIGH	100.8	strong
RARE	2026-08-20	HIGH	72	game_changer
SCSC	2026-08-20	none	96	strong
UUUU	2026-08-21	HIGH	51.6	strong
