ticker	alert_date	score_tier	detected_et	created_et
FTK	2026-08-03	HIGH	08:45:00.029686	08:45:20.425823
LIND	2026-08-03	HIGH	09:55:00.04166	09:55:32.473801
AEIS	2026-08-04	HIGH	07:55:00.027779	07:55:06.780905
AMRC	2026-08-04	HIGH	09:45:00.04515	09:45:31.667676
BLZE	2026-08-04	HIGH	07:00:00.134235	07:01:10.569307
BTDR	2026-08-04	HIGH	08:20:00.037992	08:20:21.714877
CAT	2026-08-04	HIGH	08:00:00.019082	08:01:06.569105
INSP	2026-08-04	MODERATE	09:45:00.04515	09:45:45.555848
LIFE	2026-08-04	HIGH	07:20:00.027484	07:20:18.759495
PLTR	2026-08-04	HIGH	07:00:00.134235	07:02:05.130318
TSAT	2026-08-04	HIGH	09:55:00.048389	09:56:02.842965
VOYG	2026-08-04	HIGH	08:10:00.040222	08:10:17.961984
ZBRA	2026-08-04	HIGH	08:35:00.028857	08:35:51.898746
APPS	2026-08-05	HIGH	07:00:00.125835	07:00:35.497591
ECG	2026-08-05	HIGH	09:50:00.055624	09:51:13.795903
HGTY	2026-08-05	HIGH	09:55:00.052223	09:55:45.372599
KMT	2026-08-05	HIGH	09:00:00.20144	09:00:31.627096
KMT	2026-08-05	HIGH	09:00:00.201264	09:00:33.925729
KODK	2026-08-05	HIGH	07:00:00.125835	07:02:39.014112
KTOS	2026-08-05	HIGH	07:30:00.03127	07:30:35.347991
PRGO	2026-08-05	MODERATE	08:10:00.021174	08:10:16.646508
ROCK	2026-08-05	MODERATE	09:50:00.055624	09:50:42.258143
TATT	2026-08-05	HIGH	07:20:00.028986	07:21:21.431539
AEVA	2026-08-06	HIGH	07:00:00.122181	07:02:38.216702
CAI	2026-08-06	HIGH	09:50:00.05049	09:52:35.726349
DCTH	2026-08-06	HIGH	09:55:00.071253	09:55:20.637529
INSM	2026-08-06	HIGH	07:25:00.024467	07:25:30.358146
LFST	2026-08-06	HIGH	07:50:00.029123	07:50:13.532808
RDW	2026-08-06	HIGH	07:50:00.029123	07:50:44.490842
SITM	2026-08-06	HIGH	07:00:00.122181	07:00:28.178076
SOUN	2026-08-06	MODERATE	09:45:00.062163	09:45:17.473725
TASK	2026-08-06	MODERATE	09:45:00.062163	09:47:34.939417
TRUP	2026-08-06	MODERATE	09:50:00.05049	09:52:35.548185
U	2026-08-06	HIGH	07:20:00.034426	07:20:37.600878
ACMR	2026-08-07	HIGH	09:00:00.160274	09:00:51.610392
ACMR	2026-08-07	HIGH	09:00:00.160932	09:00:51.481439
CRSR	2026-08-07	MODERATE	08:50:00.281727	08:52:16.31151
DOCS	2026-08-07	MODERATE	07:30:00.024494	07:30:07.172448
FIGS	2026-08-07	HIGH	08:50:00.281727	08:51:12.367672
FROG	2026-08-07	HIGH	08:50:00.281727	08:51:58.371351
INOD	2026-08-07	MODERATE	08:50:00.281727	08:53:13.292686
MTW	2026-08-07	HIGH	09:50:00.04982	09:50:29.140106
NET	2026-08-07	HIGH	08:50:00.281727	08:52:46.29653
ONTO	2026-08-07	HIGH	09:50:00.04982	09:51:25.991166
PRAA	2026-08-07	MODERATE	09:50:00.04982	09:51:00.665976
PSIX	2026-08-07	MODERATE	09:50:00.04982	09:50:29.441071
PUBM	2026-08-07	MODERATE	08:50:00.281727	08:50:27.428547
QNST	2026-08-07	HIGH	08:50:00.281727	08:51:00.711432
TEAM	2026-08-07	HIGH	08:50:00.281727	08:50:43.545455
TWLO	2026-08-07	HIGH	08:50:00.281727	08:51:40.188115
WLDN	2026-08-07	MODERATE	08:50:00.281727	08:53:27.758229
ABCL	2026-08-10	HIGH	07:20:00.041878	07:20:17.740329
ACHR	2026-08-10	HIGH	09:45:00.056891	09:45:10.697584
NESR	2026-08-10	HIGH	09:45:00.056891	09:45:36.968162
SLN	2026-08-10	MODERATE	07:00:00.107559	07:00:13.75065
TH	2026-08-10	HIGH	07:20:00.041878	07:20:39.938145
BW	2026-08-11	HIGH	07:00:00.124398	07:00:37.917529
FRMI	2026-08-11	HIGH	07:00:00.124398	07:01:07.963594
RIOT	2026-08-11	HIGH	07:00:00.124398	07:00:57.712123
RPD	2026-08-11	none	09:50:00.077066	09:50:38.339842
SE	2026-08-11	HIGH	07:25:00.02477	07:25:20.720198
ATRO	2026-08-12	HIGH	09:20:00.043048	09:20:25.638075
BE	2026-08-12	HIGH	09:50:00.050626	09:50:14.287183
BRUN	2026-08-12	none	08:55:00.033175	08:55:28.152315
CRWV	2026-08-12	HIGH	09:50:00.050626	09:50:13.273062
EROC	2026-08-12	HIGH	07:05:00.027783	07:05:19.393543
GLBE	2026-08-12	HIGH	07:05:00.027783	07:06:14.913598
HRB	2026-08-12	MODERATE	09:45:00.051658	09:45:13.101221
MRX	2026-08-12	HIGH	09:55:00.046138	09:55:36.610332
NBIS	2026-08-12	MODERATE	08:00:00.024043	08:00:31.62436
WYFI	2026-08-12	MODERATE	07:20:00.026053	07:20:31.890714
BLSH	2026-08-13	MODERATE	09:55:00.051234	09:56:02.36565
CGEM	2026-08-13	HIGH	08:30:00.023714	08:30:07.788434
CRMD	2026-08-13	HIGH	08:15:00.041881	08:15:30.131065
HLIT	2026-08-13	HIGH	07:00:00.204033	07:00:23.563694
KURA	2026-08-13	HIGH	09:50:00.059164	09:50:53.531717
