scan_date	catalyst_quality	n
2026-08-03	game_changer	1
2026-08-03	routine	1
2026-08-03	strong	2
2026-08-04	game_changer	8
2026-08-04	routine	18
2026-08-04	strong	1
2026-08-05	game_changer	2
2026-08-05	routine	12
2026-08-05	strong	9
2026-08-06	game_changer	4
2026-08-06	routine	15
2026-08-06	strong	2
2026-08-07	game_changer	3
2026-08-07	routine	19
2026-08-07	strong	11
2026-08-10	game_changer	1
2026-08-10	routine	2
2026-08-10	strong	3
2026-08-11	game_changer	3
2026-08-11	routine	5
2026-08-11	strong	2
2026-08-12	game_changer	3
2026-08-12	routine	5
2026-08-12	strong	7
2026-08-13	game_changer	2
2026-08-13	routine	9
2026-08-13	strong	2
2026-08-14	game_changer	3
2026-08-14	routine	4
2026-08-14	strong	4
2026-08-17	game_changer	1
2026-08-17	routine	1
2026-08-17	strong	1
2026-08-18	game_changer	1
2026-08-18	routine	2
2026-08-19	routine	9
2026-08-19	strong	3
2026-08-20	game_changer	1
2026-08-20	routine	1
2026-08-20	strong	3
2026-08-21	routine	1
2026-08-21	strong	1
2026-08-24	routine	1
2026-08-24	strong	2
2026-08-25	strong	1
