d	ticker	tick_et	rt_gap	delayed_gap	basis	q1_pass	quote_state	pcv	auth
2026-07-27	QBTS	07:05	11.41	4.57	latest_trade	true	fresh	true	false
2026-07-27	PLRZ	08:10	10.56	3.88	latest_trade	true	fresh	true	false
2026-07-27	AGPU	08:35	13.58	4.96	latest_trade	true	fresh	true	false
2026-07-27	BNAI	08:50	16.67	1.97	latest_trade	true	fresh	true	false
2026-07-27	BNAI	08:55	11.11	1.97	latest_trade	true	fresh	true	false
2026-07-27	PNW	09:00	10.55	-0.01	minute_bar	false	fresh	true	false
2026-07-27	HQ	09:20	11.11	4.27	latest_trade	true	fresh	true	false
2026-07-27	PRE	09:31	10.41		latest_trade	false	stale	true	false
2026-07-27	IMMR	09:35	10.43	2.89	latest_trade	true	fresh	true	false
2026-07-27	JACK	09:35	12.37	4.88	latest_trade	true	fresh	true	false
2026-07-27	NNE	09:40	10.46	3.34	latest_trade	true	fresh	true	false
2026-07-27	JLHL	09:40	20.39	0.49	latest_trade	true	fresh	true	false
2026-07-27	GENI	09:40	10.03	2.78	latest_trade	true	fresh	true	false
2026-07-27	NIPG	09:40	11.29	-4.19	latest_trade	true	fresh	true	false
2026-07-27	ARQQ	09:40	12.01	3.3	latest_trade	true	fresh	true	false
2026-07-27	IONQ	09:45	11.07	4.78	latest_trade	true	fresh	true	false
2026-07-27	INFQ	09:45	10.81	3.23	latest_trade	true	fresh	true	false
2026-07-27	BUUU	09:45	13.8	4.45	latest_trade	true	fresh	true	false
2026-07-27	EAF	09:45	10.62		latest_trade	true	fresh	true	false
2026-07-27	SDOT	09:50	12.73	4.51	latest_trade	true	fresh	true	false
2026-07-27	ASAN	09:55	10.06	4.23	latest_trade	true	fresh	true	false
2026-07-27	FTH	09:55	10.82	4.93	latest_trade	true	fresh	true	false
2026-07-28	SLDB	07:10	11.53	4.56	latest_trade	true	fresh	true	false
2026-07-28	CORZ	07:15	12.63		latest_trade	true	fresh	true	false
2026-07-28	KNSA	08:10	10.18	0.73	latest_trade	true	fresh	true	false
2026-07-28	QMLS	08:20	10.51	-3.4	latest_trade	true	fresh	true	false
2026-07-28	RGEN	09:40	12.67	2.93	latest_trade	true	fresh	true	false
2026-07-28	AWI	09:40	10.14	3.38	latest_trade	true	fresh	true	false
2026-07-28	TRU	09:45	10.21	0.34	latest_trade	true	fresh	true	false
2026-07-29	APUS	07:05	10.48	0.0	latest_trade	true	fresh	true	false
2026-07-29	ANIK	07:40	10.56	2.31	latest_trade	true	fresh	true	false
2026-07-29	WATT	07:50	10.54	3.7	minute_bar	false	fresh	true	false
2026-07-29	SILC	08:15	20.59		latest_trade	true	fresh	true	false
2026-07-29	CBZ	08:20	17.67		latest_trade	true	fresh	true	false
2026-07-29	INVX	09:05	30.09		latest_trade	false	stale	true	false
2026-07-29	IPCX	09:30	11.98	0.0	minute_bar	false	fresh	true	false
2026-07-29	ALOY	09:31	11.46	3.41	latest_trade	true	fresh	true	false
2026-07-29	HURN	09:31	14.16		latest_trade	true	fresh	true	false
2026-07-29	AIAI	09:35	10.57		latest_trade	true	fresh	true	false
2026-07-29	MPLT	09:35	14.38	-2.11	latest_trade	true	fresh	true	false
2026-07-29	CLW	09:35	11.99	0.06	latest_trade	true	fresh	true	false
2026-07-29	QUAD	09:35	12.25	0.0	latest_trade	true	fresh	true	false
2026-07-29	GRMN	09:40	12.91	3.69	latest_trade	true	fresh	true	false
2026-07-29	MBIN	09:40	12.77		latest_trade	true	fresh	true	false
2026-07-29	BCAR	09:45	10.94	-1.06	latest_trade	false	stale	true	false
2026-07-29	HQ	09:45	12.19	-0.26	latest_trade	true	fresh	true	false
2026-07-29	AXGN	09:50	11.98	1.25	latest_trade	true	fresh	true	false
2026-07-29	MASS	09:50	10.38	2.63	latest_trade	true	fresh	true	false
2026-07-30	PWR	07:00	10.4	2.47	latest_trade	true	fresh	true	false
2026-07-30	PGY	07:05	10.25	2.59	latest_trade	true	fresh	true	false
2026-07-30	BDC	07:10	10.75	-0.21	latest_trade	true	fresh	true	false
2026-07-30	QMCO	07:15	11.96	2.3	latest_trade	true	fresh	true	false
2026-07-30	HII	07:20	10.56	3.96	latest_trade	true	fresh	true	false
2026-07-30	AVY	07:20	11.88	0.51	latest_trade	true	fresh	true	false
2026-07-30	BAX	07:20	12.03	1.33	latest_trade	true	fresh	true	false
2026-07-30	BIYA	07:30	11.49	-0.83	latest_trade	true	fresh	true	false
2026-07-30	EME	07:40	10.56	2.75	latest_trade	true	fresh	true	false
2026-07-30	NPKI	07:40	11.95		latest_trade	true	fresh	true	false
2026-07-30	STGW	07:55	12.5	4.33	latest_trade	true	fresh	true	false
2026-07-30	PN	07:55	10.82	3.64	latest_trade	true	fresh	true	false
2026-07-30	MKTX	08:05	29.64		latest_trade	true	fresh	true	false
2026-07-30	PLPC	09:30	22.39		latest_trade	true	fresh	true	false
2026-07-30	AIP	09:31	11.28	4.34	latest_trade	true	fresh	true	false
2026-07-30	ST	09:31	10.46	3.26	latest_trade	true	fresh	true	false
2026-07-30	HIPO	09:31	11.21	-0.1	latest_trade	true	fresh	true	false
2026-07-30	COHU	09:31	10.27	4.86	latest_trade	true	fresh	true	false
2026-07-30	FLS	09:31	10.01	3.3	latest_trade	false	stale	true	false
2026-07-30	FRVO	09:35	13.47	3.1	latest_trade	true	fresh	true	false
2026-07-30	SPRC	09:35	19.91	-1.43	latest_trade	true	fresh	true	false
2026-07-30	ECG	09:35	11.16		latest_trade	true	fresh	true	false
2026-07-30	ASBP	09:35	11.41		latest_trade	true	fresh	true	false
2026-07-30	PBF	09:35	11.1	1.82	latest_trade	true	fresh	true	false
2026-07-30	EROC	09:40	11.12	2.22	latest_trade	true	fresh	true	false
2026-07-30	CVI	09:40	10.44	1.1	latest_trade	true	fresh	true	false
2026-07-30	CHRN	09:45	12.39	1.24	latest_trade	true	fresh	true	false
2026-07-30	FMC	09:45	11.39	4.8	latest_trade	true	fresh	true	false
2026-07-30	ANIK	09:45	10.14		latest_trade	true	fresh	true	false
2026-07-30	FRMI	09:45	11.95	3.58	latest_trade	true	fresh	true	false
2026-07-30	IESC	09:45	10.03		latest_trade	true	fresh	true	false
2026-07-30	WOLF	09:45	10.82	3.69	latest_trade	true	fresh	true	false
2026-07-30	DBGI	09:50	10.07	1.55	latest_trade	true	fresh	true	false
2026-07-30	RACC	09:50	23.15	1.21	latest_trade	false	stale	true	false
2026-07-30	CBRS	09:50	11.63	4.5	latest_trade	true	fresh	true	false
2026-07-30	AMRC	09:50	10.24	3.46	latest_trade	true	fresh	true	false
2026-07-30	ABTC	09:50	10.5	4.31	latest_trade	true	fresh	true	false
2026-07-30	UMAC	09:55	10.78	3.65	latest_trade	true	fresh	true	false
2026-07-31	BGDE	07:30	19.27		latest_trade	true	fresh	true	false
2026-07-31	EROC	07:35	11.34	3.34	latest_trade	true	fresh	true	false
2026-07-31	IESC	07:55	11.41		latest_trade	true	fresh	true	false
2026-07-31	FET	08:55	16.04		latest_trade	true	fresh	true	false
2026-07-31	CSTL	09:31	10.69		latest_trade	true	fresh	true	false
2026-07-31	BLZE	09:35	13.62	3.17	latest_trade	true	fresh	true	false
2026-07-31	AEIS	09:35	10.77	4.65	latest_trade	true	fresh	true	false
2026-07-31	BELFB	09:35	10.69		latest_trade	true	fresh	true	false
2026-07-31	AMCX	09:40	11.95		latest_trade	true	fresh	true	false
2026-07-31	FORR	09:40	10.06		latest_trade	true	fresh	true	false
2026-07-31	STI	09:50	11.56	3.8	latest_trade	true	fresh	true	false
2026-08-03	DFNS	07:55	22.83	3.5	latest_trade	true	fresh	true	false
2026-08-03	ALGT	08:45	14.18		latest_trade	false	stale	true	false
2026-08-03	WSM	09:15	11.08		latest_trade	false	stale	true	false
2026-08-03	NCDL	09:25	11.3		latest_trade	true	fresh	true	false
2026-08-03	MRDN	09:31	12.24		latest_trade	true	fresh	true	false
2026-08-03	LIND	09:40	15.35	4.5	latest_trade	true	fresh	true	false
2026-08-04	INSP	07:10	14.9		latest_trade	true	fresh	true	false
2026-08-04	MRAM	07:10	10.68	3.56	latest_trade	true	fresh	true	false
2026-08-04	FCUV	07:35	10.96	-1.3	latest_trade	true	fresh	true	false
2026-08-04	TSAT	07:45	14.48	0.52	latest_trade	true	fresh	true	false
2026-08-04	RFIL	08:00	10.53	2.89	latest_trade	false	stale	true	false
2026-08-04	BTDR	08:05	20.49	0.88	latest_trade	true	fresh	true	false
2026-08-04	ACLS	08:25	14.12	4.27	latest_trade	true	fresh	true	false
2026-08-04	PICS	08:30	13.12	1.56	latest_trade	false	stale	true	false
2026-08-04	W	08:30	19.02	-1.46	latest_trade	true	fresh	true	false
2026-08-04	MED	08:30	14.07		latest_trade	true	fresh	true	false
2026-08-04	PAY	09:30	17.27		latest_trade	true	fresh	true	false
2026-08-04	EWTX	09:31	10.14	2.14	latest_trade	true	fresh	true	false
