d	ticks	min_returned	min_universe	max_missing	avg_cov_pct
2026-08-03	38	3366	3366	0	100.0
2026-08-04	38	3392	3392	0	100.0
2026-08-05	38	3400	3400	0	100.0
2026-08-06	37	3345	3345	0	100.0
2026-08-07	37	3355	3355	0	100.0
2026-08-10	38	3350	3350	0	100.0
2026-08-11	38	3400	3400	0	100.0
2026-08-12	38	3378	3378	0	100.0
2026-08-13	38	3362	3362	0	100.0
2026-08-14	38	3388	3388	0	100.0
2026-08-17	38	3366	3366	0	100.0
2026-08-18	38	3406	3406	0	100.0
2026-08-19	38	3371	3371	0	100.0
2026-08-20	38	3407	3407	0	100.0
2026-08-21	38	3374	3374	0	100.0
2026-08-24	38	3420	3420	0	100.0
2026-08-25	38	3402	3402	0	100.0
