ticker	market_cap
TH	1418738176
AAOI	12596574208
AXTI	4884836864
WATT	155075984
AIP	1231594624
CRML	1910701568
SILC	221113008
ACLS	5254824960
BTDR	3674036224
WOLF	3552922368
BAND	2269707008
MRAM	706006528
MRVL	254383095808
WYFI	1376596864
MEI	637747584
BLZE	1187691648
QMCO	763865280
RDW	3479088384
SPRC	6047714
DUOT	417566176
IONQ	25860141056
AIRJ	356058208
STI	175904480
FRD	246935008
HQ	919122368
SMWB	459902848
ALOY	1016756224
ARQQ	393294528
FRMI	6061791744
DFTX	3999478784
REPL	924813312
UMAC	1701518592
RPD	748502912
AARD	165804512
SDOT	26737116
PN	129826232
HURN	2762009344
DFNS	50747060
CBZ	
PBF	8648347648
FCUV	8152608
PAY	
AMIX	10588500
ZTG	103242632
SLN	728830080
ABCL	2980463872
MRNA	69618761728
OESX	65148480
CLRO	26219038
VREX	778024064
FTK	1362612480
FET	934229696
XHLD	64079320
MTW	752613312
ARCT	312369504
