d	t	event_type	summary
2026-07-27	09:56:55.272571	orb_out_of_window	NNE — window:out_of_orb: detected 09:56 ET
2026-07-28	09:31:00.950771	orb_blocked	ORB CORZ — block:circuit_breaker: cooldown until 2026-07-28T14:37:45.699612+00:00
2026-07-29	09:31:00.29139	orb_blocked	ORB TER — block:circuit_breaker: cooldown until 2026-07-29T13:36:25.188082+00:00
2026-07-29	09:51:36.048067	orb_out_of_window	TEVA — window:out_of_orb: detected 09:51 ET
2026-07-30	09:31:21.078476	orb_skipped	ORB SIMO — setup:size_too_small: $12 risk / $29.11 per-share < 1 share
2026-07-30	09:31:21.64658	orb_skipped	ORB CORT — setup:stop_too_wide: ORB range $7.25 (6.9%) > 1.5x ATR $6.89
2026-07-30	09:31:21.658227	orb_skipped	ORB EME — setup:size_too_small: $12 risk / $16.65 per-share < 1 share
2026-07-30	09:31:25.402163	orb_skipped	ORB CORT — setup:stop_too_wide: ORB range $7.25 (6.9%) > 1.5x ATR $6.89
2026-07-30	09:31:25.402372	orb_skipped	ORB EME — setup:size_too_small: $12 risk / $16.65 per-share < 1 share
2026-07-30	09:31:25.403967	orb_skipped	ORB PWR — setup:size_too_small: $12 risk / $21.95 per-share < 1 share
2026-07-30	09:31:31.798011	orb_skipped	ORB PWR — setup:size_too_small: $12 risk / $21.95 per-share < 1 share
2026-07-30	09:51:06.118681	orb_out_of_window	LRCX — window:out_of_orb: detected 09:51 ET
2026-07-31	09:31:00.684507	orb_blocked	ORB FLNC — block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
2026-07-31	09:31:00.719035	orb_blocked	ORB COHU — block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
2026-07-31	09:31:00.730097	orb_blocked	ORB NWL — block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
2026-07-31	09:31:00.761498	orb_blocked	ORB FET — block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
2026-07-31	09:35:42.835839	orb_blocked	ORB MPWR — block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
2026-07-31	09:56:31.533847	orb_out_of_window	BLZE — window:out_of_orb: detected 09:56 ET
2026-08-03	09:31:04.81826	orb_gap_below_floor	ORB FTK — setup:gap_below_floor: rt 6.8% < 10% floor (alert said 10.4%, last $25.13 vs prev close $23.54)
2026-08-03	09:31:10.904406	orb_gap_below_floor	ORB FTK — setup:gap_below_floor: rt 6.8% < 10% floor (alert said 10.4%, last $25.13 vs prev close $23.54)
2026-08-03	09:55:41.587437	orb_out_of_window	LIND — window:out_of_orb: detected 09:55 ET
2026-08-04	09:31:11.276169	orb_blocked	ORB AEIS — block:max_positions: 5/5 (mode=live)
2026-08-04	09:31:11.31075	orb_blocked	ORB ZBRA — block:max_positions: 5/5 (mode=live)
2026-08-04	09:31:11.456154	orb_skipped	ORB VOYG — setup:zero_range: open=high=low=$33.99
2026-08-04	09:45:56.128407	orb_out_of_window	AMRC — window:out_of_orb: detected 09:45 ET
2026-08-04	09:56:35.758029	orb_out_of_window	TSAT — window:out_of_orb: detected 09:56 ET
2026-08-05	09:31:00.620681	orb_blocked	ORB KTOS — block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00
