d	event_type	n
2026-07-21	ep_rt_floor_flip_down	4
2026-07-21	ep_rt_floor_flip_up	10
2026-07-21	ep_rt_live_miss	2
2026-07-21	ep_rt_prev_close_mismatch	83
2026-07-22	ep_rt_floor_flip_up	5
2026-07-22	ep_rt_prev_close_mismatch	33
2026-07-23	ep_rt_floor_flip_down	6
2026-07-23	ep_rt_floor_flip_up	11
2026-07-23	ep_rt_live_miss	2
2026-07-23	ep_rt_prev_close_mismatch	49
2026-07-24	ep_rt_floor_flip_down	6
2026-07-24	ep_rt_floor_flip_up	5
2026-07-24	ep_rt_live_miss	4
2026-07-24	ep_rt_prev_close_mismatch	25
2026-07-27	ep_rt_floor_flip_down	15
2026-07-27	ep_rt_floor_flip_up	21
2026-07-27	ep_rt_gap_clamped	1
2026-07-27	ep_rt_halt_suspect	2
2026-07-27	ep_rt_live_miss	2
2026-07-27	ep_rt_rvol_gate_flip	7
2026-07-27	ep_rt_shadow_capture	1
2026-07-27	ep_rt_tick_quality_reject	2
2026-07-27	ep_rt_universe_catch	22
2026-07-27	ep_rt_volume_shadow	29
2026-07-28	ep_rt_floor_flip_down	6
2026-07-28	ep_rt_floor_flip_up	9
2026-07-28	ep_rt_gap_clamped	1
2026-07-28	ep_rt_live_miss	2
2026-07-28	ep_rt_rvol_gate_flip	2
2026-07-28	ep_rt_shadow_capture	1
2026-07-28	ep_rt_tick_quality_reject	1
2026-07-28	ep_rt_universe_catch	7
2026-07-28	ep_rt_volume_shadow	6
2026-07-29	ep_rt_floor_flip_down	17
2026-07-29	ep_rt_floor_flip_up	20
2026-07-29	ep_rt_gap_clamped	1
2026-07-29	ep_rt_halt_suspect	1
2026-07-29	ep_rt_live_miss	4
2026-07-29	ep_rt_rvol_gate_flip	10
2026-07-29	ep_rt_shadow_capture	1
2026-07-29	ep_rt_tick_quality_reject	3
2026-07-29	ep_rt_universe_catch	19
2026-07-29	ep_rt_volume_shadow	21
2026-07-30	ep_rt_floor_flip_down	29
2026-07-30	ep_rt_floor_flip_up	116
2026-07-30	ep_rt_gap_clamped	1
2026-07-30	ep_rt_halt_suspect	3
2026-07-30	ep_rt_live_miss	12
2026-07-30	ep_rt_rvol_gate_flip	21
2026-07-30	ep_rt_shadow_capture	1
2026-07-30	ep_rt_tick_quality_reject	6
2026-07-30	ep_rt_universe_catch	38
2026-07-30	ep_rt_volume_shadow	36
2026-07-31	ep_rt_floor_flip_down	28
2026-07-31	ep_rt_floor_flip_up	28
2026-07-31	ep_rt_live_miss	4
2026-07-31	ep_rt_rvol_gate_flip	21
2026-07-31	ep_rt_shadow_capture	1
2026-07-31	ep_rt_tick_quality_reject	2
2026-07-31	ep_rt_universe_catch	11
2026-07-31	ep_rt_volume_shadow	29
2026-08-03	ep_rt_floor_flip_down	18
2026-08-03	ep_rt_floor_flip_up	15
2026-08-03	ep_rt_gap_clamped	2
2026-08-03	ep_rt_live_miss	2
2026-08-03	ep_rt_prev_close_mismatch	1
2026-08-03	ep_rt_rvol_gate_flip	6
2026-08-03	ep_rt_shadow_capture	1
2026-08-03	ep_rt_sustain_reject	7
2026-08-03	ep_rt_sustain_undecidable	4
2026-08-03	ep_rt_universe_catch	6
2026-08-03	ep_rt_volume_shadow	11
2026-08-04	ep_rt_admit	50
2026-08-04	ep_rt_floor_flip_down	69
2026-08-04	ep_rt_floor_flip_up	48
2026-08-04	ep_rt_gap_clamped	1
2026-08-04	ep_rt_live_miss	7
2026-08-04	ep_rt_rvol_gate_flip	21
2026-08-04	ep_rt_shadow_capture	1
2026-08-04	ep_rt_sustain_reject	8
2026-08-04	ep_rt_sustain_undecidable	7
2026-08-04	ep_rt_tick_quality_reject	5
2026-08-04	ep_rt_universe_catch	18
2026-08-04	ep_rt_volume_shadow	33
2026-08-05	ep_rt_admit	40
2026-08-05	ep_rt_floor_flip_down	39
2026-08-05	ep_rt_floor_flip_up	33
2026-08-05	ep_rt_gap_clamped	2
2026-08-05	ep_rt_live_miss	7
2026-08-05	ep_rt_rvol_gate_flip	21
2026-08-05	ep_rt_shadow_capture	1
2026-08-05	ep_rt_sustain_reject	7
2026-08-05	ep_rt_sustain_undecidable	12
2026-08-05	ep_rt_tick_quality_reject	7
2026-08-05	ep_rt_universe_catch	18
2026-08-05	ep_rt_volume_shadow	26
2026-08-06	ep_rt_admit	76
2026-08-06	ep_rt_floor_flip_down	44
2026-08-06	ep_rt_floor_flip_up	79
2026-08-06	ep_rt_live_miss	16
2026-08-06	ep_rt_rvol_gate_flip	28
2026-08-06	ep_rt_shadow_capture	1
2026-08-06	ep_rt_sustain_reject	14
2026-08-06	ep_rt_sustain_undecidable	5
2026-08-06	ep_rt_tick_quality_reject	7
2026-08-06	ep_rt_universe_catch	28
2026-08-06	ep_rt_volume_shadow	38
2026-08-07	ep_rt_admit	121
2026-08-07	ep_rt_floor_flip_down	63
2026-08-07	ep_rt_floor_flip_up	70
2026-08-07	ep_rt_gap_clamped	3
2026-08-07	ep_rt_live_miss	11
2026-08-07	ep_rt_rvol_gate_flip	21
2026-08-07	ep_rt_shadow_capture	1
2026-08-07	ep_rt_sustain_reject	15
2026-08-07	ep_rt_sustain_undecidable	12
2026-08-07	ep_rt_tick_quality_reject	17
2026-08-07	ep_rt_universe_catch	27
2026-08-07	ep_rt_volume_shadow	60
2026-08-10	ep_rt_admit	27
2026-08-10	ep_rt_floor_flip_down	27
2026-08-10	ep_rt_floor_flip_up	22
2026-08-10	ep_rt_gap_clamped	1
2026-08-10	ep_rt_live_miss	1
2026-08-10	ep_rt_rvol_gate_flip	5
2026-08-10	ep_rt_shadow_capture	1
2026-08-10	ep_rt_sustain_reject	5
2026-08-10	ep_rt_sustain_undecidable	2
2026-08-10	ep_rt_tick_quality_reject	2
2026-08-10	ep_rt_universe_catch	12
2026-08-10	ep_rt_volume_shadow	10
2026-08-11	ep_rt_admit	20
2026-08-11	ep_rt_floor_flip_down	23
2026-08-11	ep_rt_floor_flip_up	11
2026-08-11	ep_rt_halt_suspect	1
2026-08-11	ep_rt_live_miss	3
2026-08-11	ep_rt_rvol_gate_flip	8
2026-08-11	ep_rt_shadow_capture	1
2026-08-11	ep_rt_sustain_reject	5
2026-08-11	ep_rt_sustain_undecidable	3
2026-08-11	ep_rt_tick_quality_reject	1
2026-08-11	ep_rt_universe_catch	9
2026-08-11	ep_rt_volume_shadow	11
2026-08-12	ep_rt_admit	25
2026-08-12	ep_rt_floor_flip_down	30
2026-08-12	ep_rt_floor_flip_up	27
2026-08-12	ep_rt_halt_suspect	1
2026-08-12	ep_rt_live_miss	2
2026-08-12	ep_rt_rvol_gate_flip	12
2026-08-12	ep_rt_shadow_capture	1
2026-08-12	ep_rt_sustain_reject	6
2026-08-12	ep_rt_sustain_undecidable	6
2026-08-12	ep_rt_tick_quality_reject	5
2026-08-12	ep_rt_universe_catch	11
2026-08-12	ep_rt_volume_shadow	15
2026-08-13	ep_rt_admit	26
2026-08-13	ep_rt_floor_flip_down	26
2026-08-13	ep_rt_floor_flip_up	25
2026-08-13	ep_rt_halt_suspect	1
2026-08-13	ep_rt_live_miss	3
2026-08-13	ep_rt_rvol_gate_flip	10
2026-08-13	ep_rt_shadow_capture	1
2026-08-13	ep_rt_sustain_reject	3
2026-08-13	ep_rt_sustain_undecidable	3
2026-08-13	ep_rt_tick_quality_reject	3
2026-08-13	ep_rt_universe_catch	10
2026-08-13	ep_rt_volume_shadow	19
2026-08-14	ep_rt_admit	25
2026-08-14	ep_rt_floor_flip_down	32
2026-08-14	ep_rt_floor_flip_up	17
2026-08-14	ep_rt_gap_clamped	1
2026-08-14	ep_rt_live_miss	4
2026-08-14	ep_rt_prev_close_mismatch	1
2026-08-14	ep_rt_rvol_gate_flip	11
2026-08-14	ep_rt_shadow_capture	1
2026-08-14	ep_rt_sustain_reject	3
2026-08-14	ep_rt_sustain_undecidable	3
2026-08-14	ep_rt_tick_quality_reject	2
2026-08-14	ep_rt_universe_catch	9
2026-08-14	ep_rt_volume_shadow	17
2026-08-17	ep_rt_admit	14
2026-08-17	ep_rt_floor_flip_down	18
2026-08-17	ep_rt_floor_flip_up	15
2026-08-17	ep_rt_gap_clamped	2
2026-08-17	ep_rt_halt_suspect	3
2026-08-17	ep_rt_live_miss	1
2026-08-17	ep_rt_rvol_gate_flip	2
2026-08-17	ep_rt_shadow_capture	1
2026-08-17	ep_rt_sustain_reject	3
2026-08-17	ep_rt_sustain_undecidable	3
2026-08-17	ep_rt_tick_quality_reject	2
2026-08-17	ep_rt_universe_catch	10
2026-08-17	ep_rt_volume_shadow	6
2026-08-18	ep_rt_admit	10
2026-08-18	ep_rt_floor_flip_down	14
2026-08-18	ep_rt_floor_flip_up	6
2026-08-18	ep_rt_gap_clamped	1
2026-08-18	ep_rt_halt_suspect	1
2026-08-18	ep_rt_rvol_gate_flip	4
2026-08-18	ep_rt_shadow_capture	1
2026-08-18	ep_rt_sustain_undecidable	3
2026-08-18	ep_rt_tick_quality_reject	4
2026-08-18	ep_rt_universe_catch	6
2026-08-18	ep_rt_volume_shadow	5
2026-08-19	ep_rt_admit	17
2026-08-19	ep_rt_floor_flip_down	11
2026-08-19	ep_rt_floor_flip_up	14
2026-08-19	ep_rt_gap_clamped	3
2026-08-19	ep_rt_halt_suspect	1
2026-08-19	ep_rt_rvol_gate_flip	8
2026-08-19	ep_rt_shadow_capture	1
2026-08-19	ep_rt_sustain_reject	4
2026-08-19	ep_rt_sustain_undecidable	2
2026-08-19	ep_rt_tick_quality_reject	1
2026-08-19	ep_rt_universe_catch	10
2026-08-19	ep_rt_volume_shadow	11
2026-08-20	ep_rt_admit	18
2026-08-20	ep_rt_corp_action_hold	1
2026-08-20	ep_rt_floor_flip_down	37
2026-08-20	ep_rt_floor_flip_up	17
2026-08-20	ep_rt_gap_clamped	1
2026-08-20	ep_rt_live_miss	1
2026-08-20	ep_rt_prev_close_mismatch	1
2026-08-20	ep_rt_rvol_gate_flip	2
2026-08-20	ep_rt_shadow_capture	1
2026-08-20	ep_rt_sustain_reject	6
2026-08-20	ep_rt_sustain_undecidable	4
2026-08-20	ep_rt_tick_quality_reject	4
2026-08-20	ep_rt_universe_catch	7
2026-08-20	ep_rt_volume_shadow	9
2026-08-21	ep_rt_admit	16
2026-08-21	ep_rt_corp_action_hold	1
2026-08-21	ep_rt_floor_flip_down	18
2026-08-21	ep_rt_floor_flip_up	20
2026-08-21	ep_rt_gap_clamped	1
2026-08-21	ep_rt_live_miss	5
2026-08-21	ep_rt_prev_close_mismatch	3
2026-08-21	ep_rt_rvol_gate_flip	3
2026-08-21	ep_rt_shadow_capture	1
2026-08-21	ep_rt_sustain_reject	14
2026-08-21	ep_rt_sustain_undecidable	4
2026-08-21	ep_rt_tick_quality_reject	2
2026-08-21	ep_rt_universe_catch	8
2026-08-21	ep_rt_volume_shadow	5
2026-08-24	ep_rt_admit	9
2026-08-24	ep_rt_floor_flip_down	19
2026-08-24	ep_rt_floor_flip_up	7
2026-08-24	ep_rt_gap_clamped	1
2026-08-24	ep_rt_live_miss	1
2026-08-24	ep_rt_rvol_gate_flip	4
2026-08-24	ep_rt_shadow_capture	1
2026-08-24	ep_rt_sustain_reject	6
2026-08-24	ep_rt_sustain_undecidable	1
2026-08-24	ep_rt_tick_quality_reject	2
2026-08-24	ep_rt_universe_catch	4
2026-08-24	ep_rt_volume_shadow	6
2026-08-25	ep_rt_admit	17
2026-08-25	ep_rt_corp_action_hold	1
2026-08-25	ep_rt_floor_flip_down	22
2026-08-25	ep_rt_floor_flip_up	17
2026-08-25	ep_rt_prev_close_mismatch	1
2026-08-25	ep_rt_rvol_gate_flip	3
2026-08-25	ep_rt_sustain_reject	6
2026-08-25	ep_rt_sustain_undecidable	4
2026-08-25	ep_rt_tick_quality_reject	4
2026-08-25	ep_rt_universe_catch	9
2026-08-25	ep_rt_volume_shadow	9
