scan_date	ticker	scan_et	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	rank_by_gap	projected_vol_multiple	pm_rvol	adv	adv_source	minutes_since_open	price_source
2026-07-27	AGPU	2026-07-27 08:50:00.041618	11.97	6.85	0.32	quality filter: filter:mcap_too_small: $78M < $500M				7			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 08:55:00.043076	15.07	6.85	0.45	quality filter: filter:mcap_too_small: $78M < $500M				5			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:00:00.317366	21.85	6.85	0.71	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:00:00.318441	16.79	6.85	0.78	quality filter: filter:mcap_too_small: $78M < $500M				4			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:05:00.051866	16.79	6.85	0.89	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:15:00.044537	20.12	6.85	1.2	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:20:00.063744	17.08	6.85	1.33	quality filter: filter:mcap_too_small: $78M < $500M				4			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:25:00.083169	22.04	6.85	2.19	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d		polygon_delayed
2026-07-27	AGPU	2026-07-27 09:30:00.047743	21.17	6.85	3.07	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d	1	polygon_delayed
2026-07-27	AGPU	2026-07-27 09:31:00.020337	23.21	6.85	3.1	quality filter: filter:mcap_too_small: $78M < $500M				3			284743.6428755	polygon_20d	1	polygon_delayed
2026-07-27	AGPU	2026-07-27 09:35:00.074552	18.98	6.85	3.46	quality filter: filter:mcap_too_small: $78M < $500M				4			284743.6428755	polygon_20d	5	polygon_delayed
2026-07-27	AGPU	2026-07-27 09:40:00.049682	16.93	6.85	3.71	quality filter: filter:mcap_too_small: $78M < $500M				4			284743.6428755	polygon_20d	10	polygon_delayed
2026-07-27	AGPU	2026-07-27 09:45:00.041052	13.87	6.85	3.92	quality filter: filter:mcap_too_small: $78M < $500M				6	101.9		284743.6428755	polygon_20d	15	polygon_delayed
2026-07-27	ARQQ	2026-07-27 09:55:00.056168	12.01	16.65	0.06	filter:session_rvol_too_low: session_rvol=0.31x (today 46,908 / baseline 150,141 n=21) < 1.0x				10	0.9	0.312	847998.233154	polygon_20d	25	polygon_delayed
2026-07-27	BNAI	2026-07-27 09:05:00.051866	12.9	11.16	0.04	filter:pm_rvol_too_low: pm_rvol=0.09x (today 8,791 / baseline 101,837 n=20) < 1.0x				7		0.086	239460.031685	polygon_20d		polygon_delayed
2026-07-27	BNAI	2026-07-27 09:10:00.071818	11.11	11.16	0.12	filter:pm_rvol_too_low: pm_rvol=0.27x (today 27,603 / baseline 102,554 n=20) < 1.0x				7		0.269	239460.031685	polygon_20d		polygon_delayed
2026-07-27	BNAI	2026-07-27 09:20:00.063744	11.83	11.16	0.15	filter:pm_rvol_too_low: pm_rvol=0.36x (today 36,949 / baseline 103,711 n=20) < 1.0x				8		0.356	239460.031685	polygon_20d		polygon_delayed
2026-07-27	BNAI	2026-07-27 09:25:00.083169	10.04	11.16	0.16	filter:pm_rvol_too_low: pm_rvol=0.38x (today 39,477 / baseline 104,481 n=20) < 1.0x				9		0.378	239460.031685	polygon_20d		polygon_delayed
2026-07-27	BNAI	2026-07-27 09:55:00.056168	12.01	11.16	0.33	quality filter: filter:mcap_too_small: $85M < $500M				9	5.1	1.145	239460.031685	polygon_20d	25	polygon_delayed
2026-07-27	GENI	2026-07-27 09:55:00.056168	10.03	6.48	0.11	score -2 < 50 (catalyst=routine)	-2		routine	19	1.7	1.868	5422662.058705499	polygon_20d	25	polygon_delayed
2026-07-27	HQ	2026-07-27 09:55:00.056168	11.88	11.7	0.04	filter:session_rvol_too_low: session_rvol=0.21x (today 27,088 / baseline 128,876 n=21) < 1.0x				11	0.6	0.21	618879.4187945	polygon_20d	25	polygon_delayed
2026-07-27	IMMR	2026-07-27 09:50:00.079181	10.43	6.52	0.18	quality filter: filter:mcap_too_small: $238M < $500M				8	3.5		647303.712182	polygon_20d	20	polygon_delayed
2026-07-27	IMMR	2026-07-27 09:55:00.056168	11.5	6.52	0.31	quality filter: filter:mcap_too_small: $238M < $500M				12	4.8		647303.712182	polygon_20d	25	polygon_delayed
2026-07-27	IONQ	2026-07-27 09:55:00.056168	11.26	32.84	0.16	routine catalyst, gap 11.3%				16	2.5	1.221	20445728.2999575	polygon_20d	25	polygon_delayed
2026-07-27	JACK	2026-07-27 09:50:00.079181	12.71	14.55	0.15	quality filter: filter:mcap_too_small: $312M < $500M				6	2.9	1.002	915999.8277255	polygon_20d	20	polygon_delayed
2026-07-27	JACK	2026-07-27 09:55:00.056168	10	14.55	0.24	quality filter: filter:mcap_too_small: $312M < $500M				20	3.7	1.359	915999.8277255	polygon_20d	25	polygon_delayed
2026-07-27	JLHL	2026-07-27 09:55:00.056168	21.71	6.08	0.14	quality filter: filter:atr_too_high: 56.5% > 15.0%				5	2.2		665462.4095610001	polygon_20d	25	polygon_delayed
2026-07-27	NIPG	2026-07-27 09:55:00.056168	11.29	15.5	0.34	already up 228% in prior 5 days (extended)				15	5.3		13383.124977	polygon_20d	25	polygon_delayed
2026-07-27	NNE	2026-07-27 09:55:00.056168	10.38	15.59	0.13		57	MODERATE	strong	18	2	1.141	2663523.6486235	polygon_20d	25	polygon_delayed
2026-07-27	PLRZ	2026-07-27 07:45:00.02125	12.33	14.68	0.03	quality filter: filter:adv_too_low: $341,872				5			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 08:30:00.03687	13.15	14.68	0.32	quality filter: filter:adv_too_low: $341,872				5			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 08:35:00.021407	14.03	14.68	0.34	quality filter: filter:adv_too_low: $341,872				5			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 08:40:00.019996	11.38	14.68	0.34	quality filter: filter:adv_too_low: $341,872				6			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 08:45:00.028058	13.76	14.68	0.38	quality filter: filter:adv_too_low: $341,872				5			59527.0745715	polygon_20d		polygon_delayed
2026-07-27	PLRZ	2026-07-27 08:50:00.041618	13.62	14.68	0.4	quality filter: filter:adv_too_low: $341,872				5			59527.0745715	polygon_20d		polygon_delayed
