theme_date	name	stage	tickers
2026-07-20	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,ACIW,QTWO,ALKT}
2026-07-20	B2B Marketing Automation & Customer Engagement SaaS	Mainstream	{KVYO,BRZE,HUBS}
2026-07-20	Casual Dining Restaurant Turnaround	Mainstream	{EAT,CBRL}
2026-07-20	Cloud Observability & AIOps Monitoring Platforms	Mainstream	{DDOG,PD,DT}
2026-07-20	Coastal & Suburban Residential Rental REITs	Mainstream	{EQR,AMH,ESS,AVB,INVH}
2026-07-20	Commercial Real Estate Brokerage & Advisory Services	Accelerating	{CBRE,NMRK,CIGI,JLL,CWK}
2026-07-20	Consumer Fintech & Digital Credit Platforms	Mainstream	{DAVE,SEZL}
2026-07-20	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{WEX,BILL,NAVN}
2026-07-20	Custom AI Silicon & Chip Architecture Licensing	Mainstream	{CRDO,ALAB,ARM,MRVL,QUIK,CEVA}
2026-07-20	Digital Advertising Technology Platforms	Mainstream	{QNST,MGNI}
2026-07-20	Digital Insurance Distribution & Marketplace Platforms	Mainstream	{PRCH,GSHD}
2026-07-20	Emerging Market Digital Commerce & Fintech Platforms	Mainstream	{SE,MELI}
2026-07-20	European Bank Stocks	Mainstream	{BBVA,LYG,ING,SAN,BCS,NWG}
2026-07-20	Franchise Auto Dealership Groups	Mainstream	{ABG,PAG,SAH}
2026-07-20	Industrial & Logistics REITs	Accelerating	{FR,EGP,TRNO,STAG}
2026-07-20	Inflammatory Disease & Immunology Biologics	Mainstream	{ORKA,SYRE}
2026-07-20	Insurance Brokerage & Distribution Services	Mainstream	{BRO,AON,AJG}
2026-07-20	Life Insurance & Annuity Providers	Mainstream	{MET,PFG,UNM,PRU}
2026-07-20	Life Science Tools & Analytical Instruments	Mainstream	{WAT,MTD,DHR,TMO}
2026-07-20	Liquid Biopsy & Multi-Cancer Early Detection	Mainstream	{GRAL,GH}
2026-07-20	Network Security & Zero-Trust Edge	Mainstream	{CRWD,PANW,FTNT,BB,RBRK,CVLT,VRNS,OKTA,NET}
2026-07-20	Office REIT Recovery & Re-Rating	Mainstream	{SLG,CDP,HIW}
2026-07-20	Online Insurance Comparison & Digital Marketplace Platforms	Mainstream	{MAX,EVER}
2026-07-20	Open-Air & Strip Mall Retail REITs	Accelerating	{FRT,KRG,KIM,REG,BRX,SKT,PECO,UE}
2026-07-20	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{VKTX,PTGX,ASND,XERS,CORT,MBX}
2026-07-20	Private Mortgage Insurance	Mainstream	{NMIH,ESNT,MTG,RDN}
2026-07-20	Professional Advisory & Business Services	Mainstream	{CRAI,CBZ}
2026-07-20	Property & Casualty Insurance Underwriters	Mainstream	{TRV,AXS,SKWD,HIG,ORI,CB,AFG,ALL,CINF,LMND,WRB,HCI,ACGL,THG}
2026-07-20	SMB & Workforce Business Services Platforms	Mainstream	{LZ,NSP}
2026-07-20	Specialty Catastrophe Property Insurance Underwriters	Mainstream	{SLDE,NP}
2026-07-20	Specialty Insurance Underwriting & Brokerage	Mainstream	{KNSL,RYAN,PLMR}
2026-07-20	Targeted Protein Degradation Oncology	Mainstream	{KYMR,GLUE}
2026-07-20	Traditional Staffing & Talent Placement Services	Mainstream	{RHI,MAN}
2026-07-20	Truckload & LTL Freight Carriers	Mainstream	{ARCB,RXO,SNDR,HUBG,KNX,TFII,WERN,LSTR}
2026-07-20	U.S. Passenger Airlines	Mainstream	{ALK,ALGT,LUV,DAL,SKYW,UAL}
2026-07-20	U.S. Petroleum Refining & Downstream Processing	Mainstream	{PBF,DK,PARR,VLO,PSX,MPC,DINO}
2026-07-20	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{BOKF,WAL,CFG,WTFC,HBAN,WSFS,KEY,TFC,EWBC,USB,FHN,UMBF,ZION,RF,HWC,GBCI,PNC,SSB,FITB,MTB}
2026-07-20	Wealth Management & Retail Brokerage Platforms	Mainstream	{HOOD,LPLA,SEIC,SF,RJF,SCHW,AMP}
2026-07-21	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,ACIW,QTWO}
2026-07-21	B2B Marketing Automation & Customer Engagement SaaS	Mainstream	{BRZE,KVYO,HUBS}
2026-07-21	Casual Dining Restaurant Turnaround	Mainstream	{CBRL,EAT}
2026-07-21	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-21	Commercial Real Estate Brokerage & Advisory Services	Accelerating	{CWK,CBRE,CIGI,NMRK,JLL}
2026-07-21	Consumer Fintech & Digital Credit Platforms	Mainstream	{SEZL,DAVE}
2026-07-21	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{WEX,BILL,NAVN}
2026-07-21	Custom AI Silicon & Chip Architecture Licensing	Mainstream	{ARM,QUIK,CEVA,ALAB,CRDO,MRVL}
2026-07-21	Digital Advertising Technology Platforms	Mainstream	{QNST,MGNI}
2026-07-21	Digital Insurance Distribution & Marketplace Platforms	Mainstream	{PRCH,GSHD}
2026-07-21	Emerging Market Digital Commerce & Fintech Platforms	Mainstream	{SE,MELI}
2026-07-21	European Bank Stocks	Mainstream	{LYG,SAN,BBVA,ING,BCS,NWG}
2026-07-21	Franchise Auto Dealership Groups	Mainstream	{SAH,ABG,PAG}
2026-07-21	Global Crude & Product Tanker Fleet Operators	Accelerating	{DHT,TNK,FRO,INSW,NAT,TRMD}
2026-07-21	Industrial & Logistics REITs	Accelerating	{FR,TRNO,EGP,STAG}
2026-07-21	Inflammatory Disease & Immunology Biologics	Mainstream	{ORKA,SYRE}
2026-07-21	Insurance Brokerage & Distribution Services	Mainstream	{AON,BRO,AJG}
2026-07-21	Life Insurance & Annuity Providers	Mainstream	{MET,PFG,PRU,UNM}
2026-07-21	Life Science Tools & Analytical Instruments	Mainstream	{TMO,WAT,MTD}
2026-07-21	Liquid Biopsy & Multi-Cancer Early Detection	Mainstream	{GRAL,GH}
2026-07-21	Molecular Diagnostics & DNA-Based Genetic Testing	Mainstream	{QGEN,BLLN}
2026-07-21	Network Security & Zero-Trust Edge	Mainstream	{NET,PANW,OKTA,CRWD,VRNS,CVLT,BB,FTNT,RBRK}
2026-07-21	Office REIT Recovery & Re-Rating	Mainstream	{HIW,CDP,SLG}
2026-07-21	Online Insurance Comparison & Digital Marketplace Platforms	Mainstream	{EVER,MAX}
2026-07-21	Open-Air & Strip Mall Retail REITs	Accelerating	{SKT,UE,PECO,BRX,KRG,FRT,REG,KIM}
2026-07-21	Peptide & Hormone Therapies for Metabolic & Endocrine Disorders	Mainstream	{ASND,MBX,CORT,PTGX,VKTX,XERS}
2026-07-21	Private Mortgage Insurance	Mainstream	{RDN,NMIH,MTG,ESNT}
2026-07-21	Professional Advisory & Business Services	Mainstream	{CBZ,CRAI}
2026-07-21	Property & Casualty Insurance Underwriters	Mainstream	{THG,LMND,CINF,ACGL,SKWD,AFG,CB,ALL,TRV,HIG,WRB,ORI,HCI,AXS}
2026-07-21	Senior & Long-Term Care Healthcare REITs	Accelerating	{VTR,OHI,LTC,NHI}
2026-07-21	SMB & Workforce Business Services Platforms	Mainstream	{LZ,NSP}
2026-07-21	Specialty Insurance Underwriting & Brokerage	Mainstream	{PLMR,KNSL,RYAN}
2026-07-21	Targeted Protein Degradation Oncology	Mainstream	{KYMR,GLUE}
2026-07-21	Traditional Staffing & Talent Placement Services	Mainstream	{MAN,RHI}
2026-07-21	Truckload & LTL Freight Carriers	Mainstream	{WERN,RXO,KNX,HUBG,TFII,LSTR,ARCB,SNDR}
2026-07-21	U.S. Apparel & Fashion Recovery	Mainstream	{UA,CROX,RVLV}
2026-07-21	U.S. Petroleum Refining & Downstream Processing	Mainstream	{VLO,PSX,PBF,DINO,MPC,PARR,DK}
2026-07-21	U.S. Regional & Mid-Cap Commercial Banks	Mainstream	{ZION,CFG,BOKF,GBCI,HBAN,EWBC,WTFC,UMBF,PNC,USB,RF,FHN,KEY,MTB,WSFS,TFC,WAL,SSB,HWC,FITB}
2026-07-21	Wealth Management & Retail Brokerage Platforms	Mainstream	{RJF,LPLA,SEIC,SCHW,SF,AMP,HOOD}
2026-07-22	B2B Digital Financial Infrastructure & Payment Rails Modernization	Mainstream	{PAY,QTWO,ACIW}
2026-07-22	Canadian Big Banks	Accelerating	{RY,CM,BNS,BMO,TD}
2026-07-22	Casual Dining Restaurant Turnaround	Mainstream	{EAT,CBRL}
2026-07-22	Cloud Data Storage & Analytics Infrastructure	Mainstream	{BLZE,SNOW}
2026-07-22	Consumer Fintech & Digital Credit Platforms	Mainstream	{SEZL,DAVE}
2026-07-22	Corporate Spend, Expense Management & Financial Operations Software	Mainstream	{BILL,WEX,NAVN}
2026-07-22	Custom AI Silicon & Chip Architecture Licensing	Mainstream	{CRDO,ARM,QUIK,ALAB,MRVL,CEVA}
