ticker|alert_date|score_tier|ep_score|gap_pct|catalyst_quality|in_active_theme
ABCL|2026-08-10|HIGH|96|17.6|game_changer|f
ABSI|2026-06-24|HIGH|100.8|16.33|strong|f
ABVX|2026-06-03|MODERATE|50.4|15.14|routine|
ACAD|2026-06-26|HIGH|84|15.34|strong|f
ACHR|2026-08-10|HIGH|54|14.85|routine|f
ACMR|2026-08-07|HIGH|100.8|15.09|strong|f
AEHR|2026-06-17|MODERATE|70|15.87|strong|t
AEHR|2026-07-15|HIGH|96|29.5|game_changer|f
AEIS|2026-08-04|HIGH|84|15.39|strong|f
AEVA|2026-08-06|HIGH|96|22.28|strong|f
AGX|2026-06-05|HIGH|86.4|10.96|game_changer|
AGYS|2026-05-19|HIGH|72|14.81|strong|
AIP|2026-05-13|HIGH|115.2|20.81|strong|
AKTS|2026-06-12|HIGH|54|11.92|strong|f
ALAB|2026-05-20|HIGH|100.8|15.68|strong|
ALOY|2026-06-01|HIGH|86.4|14.25|strong|
AMBQ|2026-05-12|HIGH|84|18.68|strong|
AMLX|2026-08-18|HIGH|96|21.33|game_changer|f
AMRC|2026-08-04|HIGH|50|38.72|routine|f
ANF|2026-05-27|HIGH|57.6|11.23|routine|
APPS|2026-08-05|HIGH|115.2|28.29|strong|f
ARGX|2026-08-17|HIGH|86.4|10.53|game_changer|f
ARM|2026-05-20|HIGH|100.8|16.36|strong|
ARM|2026-07-30|HIGH|60|10.77|game_changer|f
ARWR|2026-07-22|HIGH|80|19.57|game_changer|f
ARX|2026-05-14|HIGH|100.8|17.64|strong|
ASAN|2026-05-29|MODERATE|53.3|11.56|routine|
ASPI|2026-05-26|MODERATE|54|10.63|strong|
ASTI|2026-05-27|MODERATE|61.9|13.48|routine|
ATRO|2026-08-12|HIGH|72|11.29|game_changer|f
AUGO|2026-06-15|none|50.4|13.39|routine|f
AVAV|2026-05-28|HIGH|72|10.33|strong|
AVAV|2026-06-30|HIGH|54|25.3|routine|f
AVEX|2026-05-12|MODERATE|54.7|8.28|strong|
BBWI|2026-05-27|HIGH|54.7|15|routine|
BE|2026-08-12|HIGH|84|15.16|strong|f
BHVN|2026-05-29|MODERATE|64.8|11.47|strong|
BLSH|2026-08-13|MODERATE|54|12.4|routine|f
BLZE|2026-07-31|HIGH|72|13.06|game_changer|t
BLZE|2026-08-04|HIGH|80|19.14|game_changer|t
BRUN|2026-08-12|none|60|12.04|strong|f
BTDR|2026-08-04|HIGH|80|24.1|game_changer|f
BTGO|2026-05-26|MODERATE|50.4|15.87|routine|
BULL|2026-08-20|HIGH|100.8|15.16|strong|f
BW|2026-05-11|HIGH|96|26.07|strong|
BW|2026-08-11|HIGH|96|34.91|game_changer|f
BZH|2026-05-11|HIGH|84|19.93|strong|
CAI|2026-08-06|HIGH|50.4|17.11|routine|f
CAMT|2026-06-02|MODERATE|50.4|10.37|strong|
CAT|2026-08-04|HIGH|60|10|game_changer|f
CBRL|2026-06-10|MODERATE|54.7|25.33|routine|f
CBRS|2026-08-17|none|60|12.78|strong|f
CGEM|2026-08-13|HIGH|72|12.24|game_changer|f
CHA|2026-05-29|MODERATE|50.4|12.48|routine|
CHRN|2026-08-27|HIGH|105|12.2|game_changer|f
CHTR|2026-06-29|none|55|26.14|routine|f
CLF|2026-07-23|MODERATE|84|15.03|strong|f
CLSK|2026-07-14|HIGH|96|17.15|game_changer|f
COHU|2026-07-31|HIGH|80|22.71|game_changer|f
CORT|2026-07-30|HIGH|96|24.21|strong|t
CORZ|2026-07-28|HIGH|72|11.28|game_changer|f
CPA|2026-05-14|HIGH|67.7|13.12|strong|
CRCL|2026-07-10|HIGH|60|10.76|game_changer|f
CRMD|2026-05-14|HIGH|64.8|12.35|strong|
CRMD|2026-08-13|HIGH|64.8|10|strong|f
CRSR|2026-05-27|HIGH|100.8|15.33|strong|
CRSR|2026-08-07|MODERATE|84|16.87|strong|f
CRWD|2026-08-27|HIGH|75|9.42|strong|f
CRWV|2026-08-12|HIGH|51.6|19.51|routine|f
CSCO|2026-05-14|HIGH|100.8|16.32|strong|
DCTH|2026-08-06|HIGH|54|21.3|routine|f
DELL|2026-05-29|HIGH|115.2|36.26|strong|
DFTX|2026-06-22|HIGH|60|14.38|game_changer|f
DG|2026-08-27|HIGH|70.5|10.92|strong|f
DOCN|2026-07-07|HIGH|115.2|15.62|game_changer|f
DOCS|2026-08-07|MODERATE|54|178.8|routine|f
DRTS|2026-05-11|MODERATE|50.4|10.46|strong|
DY|2026-05-27|HIGH|50.4|14.16|strong|
DYN|2026-05-20|HIGH|84|17.86|strong|
ECG|2026-08-05|HIGH|72|10.96|game_changer|f
EFOR|2026-07-22|MODERATE|50.4|12.37|routine|f
ELVN|2026-06-11|HIGH|84|18.33|strong|f
EME|2026-07-30|HIGH|60|10.56|game_changer|f
EOSE|2026-05-13|HIGH|115.2|31.11|strong|
EROC|2026-08-12|HIGH|96|16.09|game_changer|f
ETON|2026-08-14|HIGH|96|23.28|game_changer|t
EVTC|2026-05-19|MODERATE|54.7|11.25|strong|
FCEL|2026-06-24|HIGH|84|17.51|strong|t
FET|2026-07-31|HIGH|84|16.04|strong|f
FIG|2026-05-15|MODERATE|57.6|8.65|strong|
