ticker|ep_date|mon|mode|group|sub|detail
ABCL|2026-08-10|2026-08|live|A|partial_then_stop|stop_date=2026-08-24
ABSI|2026-06-24|2026-06|live|D|order_cancelled_unfilled|minute_orb=9.66 daily_high=11 (daily fallback)
ABVX|2026-06-03|2026-06|none|D|no_order|minute_orb=85.75 post945_high=92.14
ACAD|2026-06-26|2026-06|live|D|order_cancelled_unfilled|minute_orb=26.49 daily_high=27.31 (daily fallback)
ACHR|2026-08-10|2026-08|live|D|no_order|minute_orb=6.62 post945_high=6.87
ACMR|2026-08-07|2026-08|live|B|no_order|minute_orb=93.42 post945_high=85.52
AEHR|2026-06-17|2026-06|none|B|no_order|minute_orb=123.5 post945_high=119.4
AEHR|2026-07-15|2026-07|live|D|order_cancelled_unfilled|minute_orb=102.5 daily_high=110.2 (daily fallback)
AEIS|2026-08-04|2026-08|live|D|no_order|minute_orb=342.4 post945_high=344.5
AEVA|2026-08-06|2026-08|live|D|no_order|minute_orb=26.09 post945_high=28.42
AGX|2026-06-05|2026-06|paper|D|no_order|minute_orb=697.7 daily_high=779 (daily fallback)
AGYS|2026-05-19|2026-05|paper|B|order_cancelled_unfilled|minute_orb=94.77 post945_high=92.98
AIP|2026-05-13|2026-05|paper|D|no_order|minute_orb=35.68 post945_high=36.17
AKTS|2026-06-12|2026-06|paper|D|no_order|minute_orb=21.99 post945_high=22.6
ALAB|2026-05-20|2026-05|none|U|no_orb_basis|no trade-row orb_high and no 9:30-9:45 bars in mi_intraday_bars
ALOY|2026-06-01|2026-06|paper|D|no_order|minute_orb=10.8 post945_high=11.47
AMBQ|2026-05-12|2026-05|paper|D|no_order|minute_orb=58.31 post945_high=66.59
AMLX|2026-08-18|2026-08|live|A|partial_then_stop|stop_date=2026-08-31
AMRC|2026-08-04|2026-08|live|B|no_order|minute_orb=31.93 post945_high=29.75
ANF|2026-05-27|2026-05|paper|D|no_order|minute_orb=84.9 post945_high=87.2
APPS|2026-08-05|2026-08|live|D|no_order|minute_orb=13.97 post945_high=14.1
ARGX|2026-08-17|2026-08|live|D|no_order|minute_orb=977.8 post945_high=1002
ARM|2026-05-20|2026-05|none|D|no_order|minute_orb=248.3 post945_high=259.4
ARM|2026-07-30|2026-07|live|B|order_cancelled_unfilled|minute_orb=268.5 post945_high=246
ARWR|2026-07-22|2026-07|live|D|order_cancelled_unfilled|minute_orb=87.92 daily_high=95.49 (daily fallback)
