ticker|d|t_ms|o|h|l|c|v
ABVX|2026-06-04|1780579800000|92.93|94.17|92.65|93.145|63753
ABVX|2026-06-04|1780579860000|93.355|95.055|93.27|94.66|88299
ABVX|2026-06-04|1780579920000|94.34|95|94.02|95|31775
ABVX|2026-06-04|1780579980000|95|95.21|94.65|95.16|43270
ABVX|2026-06-04|1780580040000|95.14|95.4|94.715|94.875|33168
ABVX|2026-06-04|1780580100000|94.83|95.3629|94.8|95.1962|39824
ABVX|2026-06-04|1780580160000|95.26|95.35|94.8108|95.24|44305
ABVX|2026-06-04|1780580220000|95.4|96.15|95.29|96.11|26969
ABVX|2026-06-04|1780580280000|96.12|96.99|95.95|96.96|16135
ABVX|2026-06-04|1780580340000|96.89|97.45|96.83|97.3032|33983
ABVX|2026-06-04|1780580400000|97.49|97.89|96.09|96.3|57771
ABVX|2026-06-04|1780580460000|96.65|96.65|95.57|96.305|33816
ABVX|2026-06-04|1780580520000|96.5|97.12|96.49|96.7|20930
ABVX|2026-06-04|1780580580000|96.675|97.18|96.53|96.8|30197
ABVX|2026-06-04|1780580640000|96.81|96.92|96.3801|96.3801|15117
ABVX|2026-06-04|1780580700000|96.39|96.7|96.0531|96.15|33833
ABVX|2026-06-04|1780580760000|96.29|97.37|96.29|97|18788
ABVX|2026-06-04|1780580820000|96.82|97.185|96.2444|96.467|9402
ABVX|2026-06-04|1780580880000|96.57|96.8899|96.39|96.62|9665
ABVX|2026-06-04|1780580940000|96.6|96.8897|96.389|96.57|10259
ABVX|2026-06-04|1780581000000|96.555|96.86|96.39|96.83|7546
ABVX|2026-06-04|1780581060000|96.97|97.15|96.7392|96.96|9404
ABVX|2026-06-04|1780581120000|96.935|97.1|96.8275|96.99|12788
ABVX|2026-06-04|1780581180000|96.919|97.3599|96.919|97.09|16415
ABVX|2026-06-04|1780581240000|96.975|97.61|96.975|97.57|13356
ABVX|2026-06-04|1780581300000|97.555|97.64|97.26|97.44|15215
ABVX|2026-06-04|1780581360000|97.29|97.881|97.14|97.881|16839
ABVX|2026-06-04|1780581420000|97.89|98.32|97.7546|97.83|36726
ABVX|2026-06-04|1780581480000|97.83|98.08|97.28|97.375|63235
ABVX|2026-06-04|1780581540000|97.375|97.66|97.375|97.66|27332
ABVX|2026-06-04|1780581600000|97.68|97.87|97.5301|97.5301|12506
ABVX|2026-06-04|1780581660000|97.53|97.625|97.01|97.59|10908
ABVX|2026-06-04|1780581720000|97.7|97.93|97.48|97.48|22462
ABVX|2026-06-04|1780581780000|97.6|97.6015|97.1001|97.2|26767
ABVX|2026-06-04|1780581840000|97.325|97.61|97.0603|97.61|11521
ABVX|2026-06-04|1780581900000|97.27|97.51|96.91|96.985|12675
ABVX|2026-06-04|1780581960000|96.91|97.29|96.91|97.05|5793
ABVX|2026-06-04|1780582020000|97.18|97.19|96.7001|97.15|17650
ABVX|2026-06-04|1780582080000|97.17|97.37|97.02|97.29|3074
ABVX|2026-06-04|1780582140000|97.4904|97.52|97.075|97.52|6265
ABVX|2026-06-04|1780582200000|97.405|98.26|97.4|98.26|12085
ABVX|2026-06-04|1780582260000|98.09|98.5|98.06|98.41|8883
ABVX|2026-06-04|1780582320000|98.4971|98.5|98.21|98.36|13721
ABVX|2026-06-04|1780582380000|98.22|98.44|98.22|98.3123|7638
ABVX|2026-06-04|1780582440000|98.34|98.44|97.68|97.895|16658
ABVX|2026-06-04|1780582500000|97.835|98.2|97.835|98.125|9542
ABVX|2026-06-04|1780582560000|98.115|98.31|97.81|97.88|21625
ABVX|2026-06-04|1780582620000|97.96|98.1467|97.7|98.1467|6852
ABVX|2026-06-04|1780582680000|98.135|98.19|97.99|97.995|2684
ABVX|2026-06-04|1780582740000|97.87|98.06|97.82|97.98|5605
ABVX|2026-06-04|1780582800000|98.05|98.05|97.71|97.71|4499
ABVX|2026-06-04|1780582860000|97.785|97.87|97.48|97.6618|19286
