ticker|ep_date|orb_high|orb_low|post_orb_high|n_orb|n_post
ABCL|2026-08-10|9.75|8.4|10.01|15|375
ABSI|2026-06-24|9.66|9.3||1|0
ABVX|2026-06-03|85.75|81.26|92.1399|15|375
ACAD|2026-06-26|26.49|25.88||1|0
ACHR|2026-08-10|6.62|6.26|6.87|15|375
ACMR|2026-08-07|93.42|81.58|85.52|15|363
AEHR|2026-06-17|123.48|114.455|119.42|15|360
AEHR|2026-07-15|102.46|95||1|0
AEIS|2026-08-04|342.42|323.5|344.465|15|371
AEVA|2026-08-06|26.09|22.75|28.42|11|375
AGX|2026-06-05|697.68|665.32||1|0
AGYS|2026-05-19|94.77|87.51|92.98|15|358
AIP|2026-05-13|35.68|30.46|36.17|15|361
AKTS|2026-06-12|21.99|21|22.6|15|330
ALAB|2026-05-20||||0|0
ALOY|2026-06-01|10.7999|9.34|11.47|15|372
AMBQ|2026-05-12|58.31|53.14|66.59|15|366
AMLX|2026-08-18|30.69|28|35.39|15|375
AMRC|2026-08-04|31.93|28.97|29.75|15|353
ANF|2026-05-27|84.9|79.52|87.2|15|369
APPS|2026-08-05|13.97|11.9|14.1|15|375
ARGX|2026-08-17|977.84|925.51|1002.1566|15|353
ARM|2026-05-20|248.34|226.085|259.44|15|375
ARM|2026-07-30|268.48|241.1|245.98|15|375
ARWR|2026-07-22|87.92|84.34||1|0
ARX|2026-05-14|15.15|13.72|15.4165|14|364
ASAN|2026-05-29|7.95|7|7.82|15|375
ASPI|2026-05-26|7.04|6.38|7.03|15|375
ASTI|2026-05-27|6.5|5.7612|7.44|15|371
ATRO|2026-08-12|89.95|79.5|92.5|15|366
AUGO|2026-06-15|69.9899|65.77|69.4|15|351
AVAV|2026-05-28|204.86|197.31||1|0
AVAV|2026-06-30|178.5|170.02||1|0
AVEX|2026-05-12|27.44|25.6|28.56|15|358
BBWI|2026-05-27|20.76|19.3|20.9|14|375
BE|2026-08-12|249.99|235.21|243.99|15|375
BHVN|2026-05-29|12|10.55|11.57|15|369
BLSH|2026-08-13|27.8|24.92|28.24|15|374
BLZE|2026-07-31|14.71|13.41|14.32|15|361
BLZE|2026-08-04|23.99|20.1|23.66|15|375
BRUN|2026-08-12|21.33|19.6|22.2|15|363
BTDR|2026-08-04|12.93|12.33|12.71|15|375
BTGO|2026-05-26|7.61|6.665|6.7|15|370
BULL|2026-08-20|9.95|9.38|9.8698|15|375
BW|2026-05-11|16.9999|15.56|18.99|15|374
BW|2026-08-11|12.08|9.82|10.547|15|375
BZH|2026-05-11|25.39|24.1|25.6|15|374
CAI|2026-08-06|19.5|17.945|20.11|15|375
CAMT|2026-06-02|186.985|175|190.45|15|264
CAT|2026-08-04|934.9994|912.02|916|15|375
CBRL|2026-06-10|48.9099|43.15|48.9|15|375
CBRS|2026-08-17|254.85|223.44|261.08|15|375
CGEM|2026-08-13|21|18.775|20.9499|15|335
CHA|2026-05-29|12.05|11.32|12.96|15|361
CHRN|2026-08-27|24.37|22|23.9999|12|147
CHTR|2026-06-29|168.58|146.4901|155|15|375
CLF|2026-07-23|11.25|10.6|11.465|15|375
CLSK|2026-07-14|15.1|14.61||1|0
COHU|2026-07-31|57.88|50.1703|50.865|15|369
CORT|2026-07-30|117.5|104.75|122.21|15|373
CORZ|2026-07-28|20.97|19.75|21.26|15|375
CPA|2026-05-14|131.95|123.653|136|14|300
CRCL|2026-07-10|72.855|67.59|69|15|375
CRMD|2026-05-14|8.94|7.9|8.3304|15|352
CRMD|2026-08-13|8.98|8.33|8.89|15|368
CRSR|2026-05-27|8.7964|8.4||1|0
CRSR|2026-08-07|14.24|11.78|14.58|15|375
CRWD|2026-08-27|221.66|206.1|229.08|15|375
CRWV|2026-08-12|111.83|107|109.95|15|375
CSCO|2026-05-14|119.36|115.03|118.36|15|375
DCTH|2026-08-06|15.44|14|15.62|15|369
DELL|2026-05-29|421.85|416.98||1|0
DFTX|2026-06-22|39.16|37.22||1|0
DG|2026-08-27|130.83|124.5|132.4999|15|375
DOCN|2026-07-07|146.57|143.63||1|0
DOCS|2026-08-07|40|33.25|33.2699|10|372
