ticker|alert_date|account_mode|signal_type|status|skip_reason|entry_attempt|entry_price|stop_price|hard_stop|orb_high|orb_low|total_pnl|remaining_shares|filled_et|closed_et|pnl_attribution|exits
ABBV|2026-06-29|paper|9m_day2|skipped|block:strategy_in_shadow|1||||||0|0||||[]
ABCL|2026-08-10|live|magna53|closed||1|8.96|10.66|8.4|8.96|8.4|127.76979999999998|0|2026-08-10 09:34:33.529823|2026-08-24 09:32:11.190839||[{"pnl": 31.359999999999978, "time": "2026-08-11T14:34:55.402903+00:00", "price": 10.08, "reason": "partial_profit", "shares": 28, "order_id": "7ca81e06-52df-4cce-b469-7d657694ec2a"}, {"pnl": 96.40979999999999, "time": "2026-08-24T13:32:11.190745+00:00", "price": 10.6514, "reason": "stop_hit", "shares": 57, "source": "websocket", "attempt": 1}]
ABSI|2026-06-24|live|magna53|cancelled||1|9.66|9.3|9.3|9.66|9.3|0|0||2026-07-06 10:35:45.253046|phantom_reap_287|[]
ACAD|2026-06-26|live|magna53|cancelled||1|26.49|25.88|25.88|26.49|25.88|0|0||2026-07-06 10:35:45.293815|phantom_reap_287|[]
ACHR|2026-08-10|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|1||||||0|0||||[]
ACMR|2026-08-07|live|magna53|skipped|setup:gap_below_floor: rt 6.6% < 10% floor (alert said 15.1%, last $84.19 vs prev close $78.98)|1||||||0|0||||[]
AEHR|2026-07-15|live|magna53|cancelled|rejected|1|102.46|95|95|102.46|95|0|0||||[]
AEIS|2026-08-04|live|magna53|skipped|block:max_positions: 5/5 (mode=live)|1||||||0|0||||[]
AEVA|2026-08-06|live|magna53|skipped|setup:stop_too_wide: ORB range $3.08 (13.4%) > 1.5x ATR $2.33|1||||||0|0||||[]
AGX|2026-06-05|paper|magna53|skipped|block:max_positions: 5/5 (mode=paper)|1||||||0|0||||[]
AGYS|2026-05-19|paper|magna53|cancelled|ORB window unfilled|1|94.5229|90.23|90.23|94.5229|90.23|0|0||||[]
AIP|2026-05-13|paper|magna53|skipped|setup:stop_too_wide: ORB range $3.18 (9.8%) > 1.5x ATR $3.02|1||||||0|0||||[]
AKAM|2026-05-08|paper|magna53|skipped|block:circuit_breaker: cooldown until 2026-05-08T16:07:41.865220+00:00|1||||||0|0||||[]
AKTS|2026-06-12|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|1||||||0|0||||[]
ALOY|2026-06-01|paper|magna53|skipped|window:out_of_orb: detected 09:56 ET|1||||||0|0||||[]
AMBQ|2026-05-12|paper|magna53|skipped|setup:account_fetch_failed: 'ALPACA_LIVE_API_KEY'|1||||||0|0||||[]
AMD|2026-05-06|paper|magna53|closed||2|413.309375|405.63|405.63|413.26|405.63|-831.4799040000025|0|2026-05-06 10:53:45.203749|2026-05-07 12:07:41.86522||[{"pnl": -460.9499040000019, "time": "2026-05-06T14:19:50.400826", "price": 405.571043, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 1}, {"pnl": -370.53000000000065, "time": "2026-05-07T16:07:41.865061", "price": 405.59, "reason": "stop_hit", "shares": 48.0, "source": "websocket", "attempt": 2}]
AMLX|2026-08-18|live|magna53|closed||1|30.211219|34.46|27.089999999999996|30.07|28.58|62.92049600000003|0|2026-08-18 09:32:03.313327|2026-08-31 09:32:51.994395||[{"pnl": 16.293904999999995, "time": "2026-08-18T17:33:44.327277+00:00", "price": 33.47, "reason": "partial_profit", "shares": 5, "order_id": "c6a6354b-0b5f-4066-87f3-e48195318659"}, {"pnl": 46.62659100000003, "time": "2026-08-31T13:32:51.994277+00:00", "price": 34.45, "reason": "stop_hit", "shares": 11, "source": "websocket", "attempt": 1}]
AMRC|2026-08-04|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|1||||||0|0||||[]
ANF|2026-05-27|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|1||||||0|0||||[]
APPS|2026-08-05|live|magna53|skipped|block:circuit_breaker: cooldown until 2026-08-05T19:50:00.523877+00:00|1||||||0|0||||[]
ARDX|2026-05-04|paper|9m_day2|skipped|setup:stop_too_wide: stop distance 18.1% > 15%|1||||||0|0||||[]
