ticker|alert_date|score_tier|detected_et|created_et
BW|2026-05-11|HIGH|2026-05-11 07:00:00|2026-05-11 07:00:19
BZH|2026-05-11|HIGH|2026-05-11 07:20:00|2026-05-11 07:20:11
DRTS|2026-05-11|MODERATE|2026-05-11 07:35:00|2026-05-11 07:35:13
MNDY|2026-05-11|HIGH|2026-05-11 07:20:00|2026-05-11 07:20:17
MRAM|2026-05-11|HIGH|2026-05-11 07:00:00|2026-05-11 07:00:12
WYFI|2026-05-11|MODERATE|2026-05-11 07:00:00|2026-05-11 07:00:32
AMBQ|2026-05-12|HIGH|2026-05-12 07:55:00|2026-05-12 07:55:24
AVEX|2026-05-12|MODERATE|2026-05-12 09:15:00|2026-05-12 09:15:35
HLIT|2026-05-12|HIGH|2026-05-12 07:25:00|2026-05-12 07:25:18
PACS|2026-05-12|HIGH|2026-05-12 07:00:00|2026-05-12 07:00:50
SE|2026-05-12|HIGH|2026-05-12 07:55:00|2026-05-12 07:55:24
SIBN|2026-05-12|HIGH|2026-05-12 07:00:00|2026-05-12 07:01:04
TE|2026-05-12|HIGH|2026-05-12 07:00:00|2026-05-12 07:00:58
VG|2026-05-12|HIGH|2026-05-12 07:55:00|2026-05-12 07:55:32
VPG|2026-05-12|HIGH|2026-05-12 07:25:00|2026-05-12 07:25:18
VSTS|2026-05-12|HIGH|2026-05-12 08:55:00|2026-05-12 08:55:17
ZBRA|2026-05-12|HIGH|2026-05-12 07:05:00|2026-05-12 07:05:17
AIP|2026-05-13|HIGH|2026-05-13 07:00:00|2026-05-13 07:00:26
EOSE|2026-05-13|HIGH|2026-05-13 07:00:00|2026-05-13 07:00:12
ARX|2026-05-14|HIGH|2026-05-14 09:50:00|2026-05-14 09:50:40
CPA|2026-05-14|HIGH|2026-05-14 09:55:00|2026-05-14 09:55:19
CRMD|2026-05-14|HIGH|2026-05-14 08:10:00|2026-05-14 08:10:11
CSCO|2026-05-14|HIGH|2026-05-14 07:00:00|2026-05-14 07:00:22
FPS|2026-05-14|HIGH|2026-05-14 07:00:00|2026-05-14 07:00:09
GO|2026-05-14|HIGH|2026-05-14 07:00:00|2026-05-14 07:00:16
KLAR|2026-05-14|HIGH|2026-05-14 07:50:00|2026-05-14 07:50:14
STAA|2026-05-14|HIGH|2026-05-14 07:10:00|2026-05-14 07:10:10
STUB|2026-05-14|HIGH|2026-05-14 07:00:00|2026-05-14 07:00:29
VIK|2026-05-14|HIGH|2026-05-14 09:55:00|2026-05-14 09:55:19
VSNT|2026-05-14|HIGH|2026-05-14 07:50:00|2026-05-14 07:50:14
FIG|2026-05-15|MODERATE|2026-05-15 07:00:00|2026-05-15 07:00:34
GEMI|2026-05-15|HIGH|2026-05-15 07:00:00|2026-05-15 07:00:18
GLOB|2026-05-15|HIGH|2026-05-15 09:50:00|2026-05-15 09:50:20
AGYS|2026-05-19|HIGH|2026-05-19 07:00:00|2026-05-19 07:00:11
EVTC|2026-05-19|MODERATE|2026-05-19 07:15:00|2026-05-19 07:15:13
STC|2026-05-19|MODERATE|2026-05-19 07:00:00|2026-05-19 07:00:57
ALAB|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:42:18
ARM|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:41:59
DYN|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:41:24
GH|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:41:37
IBRX|2026-05-20|HIGH|2026-05-20 09:50:00|2026-05-20 09:50:50
IMVT|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:40:47
SLS|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:41:13
TATT|2026-05-20|HIGH|2026-05-20 18:40:37|2026-05-20 18:41:05
INFQ|2026-05-21|HIGH|2026-05-21 07:00:00|2026-05-21 07:00:18
QBTS|2026-05-21|MODERATE|2026-05-21 09:30:00|2026-05-21 09:30:25
QUBT|2026-05-21|MODERATE|2026-05-21 07:00:00|2026-05-21 07:00:59
RLAY|2026-05-21|HIGH|2026-05-21 09:05:00|2026-05-21 09:05:44
PPTA|2026-05-22|HIGH|2026-05-22 07:00:00|2026-05-22 07:00:28
ASPI|2026-05-26|MODERATE|2026-05-26 07:50:00|2026-05-26 07:51:04
BTGO|2026-05-26|MODERATE|2026-05-26 07:10:00|2026-05-26 07:10:19
FUTU|2026-05-26|MODERATE|2026-05-26 09:50:00|2026-05-26 09:52:05
NNE|2026-05-26|MODERATE|2026-05-26 08:25:00|2026-05-26 08:25:27
OKLO|2026-05-26|MODERATE|2026-05-26 08:25:00|2026-05-26 08:25:37
PONY|2026-05-26|HIGH|2026-05-26 07:50:00|2026-05-26 07:50:39
POWI|2026-05-26|HIGH|2026-05-26 09:50:00|2026-05-26 09:51:41
RDW|2026-05-26|HIGH|2026-05-26 07:00:00|2026-05-26 07:00:48
ANF|2026-05-27|HIGH|2026-05-27 09:55:00|2026-05-27 09:55:32
ASTI|2026-05-27|MODERATE|2026-05-27 09:45:00|2026-05-27 09:45:12
BBWI|2026-05-27|HIGH|2026-05-27 09:50:00|2026-05-27 09:50:15
CRSR|2026-05-27|HIGH|2026-05-27 08:15:00|2026-05-27 08:15:05
DY|2026-05-27|HIGH|2026-05-27 07:20:00|2026-05-27 07:20:22
QFIN|2026-05-27|HIGH|2026-05-27 09:50:00|2026-05-27 09:50:15
AVAV|2026-05-28|HIGH|2026-05-28 07:00:00|2026-05-28 07:02:19
KSS|2026-05-28|MODERATE|2026-05-28 09:45:00|2026-05-28 09:45:24
KTOS|2026-05-28|MODERATE|2026-05-28 07:00:00|2026-05-28 07:02:13
PHR|2026-05-28|MODERATE|2026-05-28 09:45:00|2026-05-28 09:45:24
RCAT|2026-05-28|HIGH|2026-05-28 07:00:00|2026-05-28 07:01:02
SNOW|2026-05-28|MODERATE|2026-05-28 09:45:00|2026-05-28 09:45:24
ASAN|2026-05-29|MODERATE|2026-05-29 09:45:00|2026-05-29 09:45:39
BHVN|2026-05-29|MODERATE|2026-05-29 09:50:00|2026-05-29 09:50:48
CHA|2026-05-29|MODERATE|2026-05-29 07:45:00|2026-05-29 07:45:20
DELL|2026-05-29|HIGH|2026-05-29 07:00:00|2026-05-29 07:00:21
PD|2026-05-29|MODERATE|2026-05-29 08:35:00|2026-05-29 08:35:20
ALOY|2026-06-01|HIGH|2026-06-01 09:55:00|2026-06-01 09:55:33
NOW|2026-06-01|MODERATE|2026-06-01 07:20:00|2026-06-01 07:20:29
SAIC|2026-06-01|MODERATE|2026-06-01 09:45:00|2026-06-01 09:45:55
SKM|2026-06-01|MODERATE|2026-06-01 09:55:00|2026-06-01 09:55:56
TNDM|2026-06-01|MODERATE|2026-06-01 08:45:00|2026-06-01 08:45:33
CAMT|2026-06-02|MODERATE|2026-06-02 08:40:00|2026-06-02 08:40:40
GRRR|2026-06-02|HIGH|2026-06-02 09:20:00|2026-06-02 09:20:23
HPE|2026-06-02|HIGH|2026-06-02 07:00:00|2026-06-02 07:00:15
LAC|2026-06-02|MODERATE|2026-06-02 07:20:00|2026-06-02 07:20:15
MRVL|2026-06-02|HIGH|2026-06-02 07:00:00|2026-06-02 07:00:21
ABVX|2026-06-03|MODERATE|2026-06-03 08:20:00|2026-06-03 08:20:02
NVTS|2026-06-03|HIGH|2026-06-03 09:00:00|2026-06-03 09:00:07
PGY|2026-06-04|HIGH|2026-06-04 09:55:00|2026-06-04 09:56:07
RUM|2026-06-04|HIGH|2026-06-04 09:40:00|2026-06-04 09:40:09
AGX|2026-06-05|HIGH|2026-06-05 07:05:00|2026-06-05 07:05:18
MRLN|2026-06-05|MODERATE|2026-06-05 07:00:00|2026-06-05 07:00:12
TTAN|2026-06-05|HIGH|2026-06-05 07:00:00|2026-06-05 07:00:32
NRIX|2026-06-08|HIGH|2026-06-08 07:05:00|2026-06-08 07:05:13
CBRL|2026-06-10|MODERATE|2026-06-10 09:50:00|2026-06-10 09:50:11
ELVN|2026-06-11|HIGH|2026-06-11 08:40:00|2026-06-11 08:40:01
IDCC|2026-06-11|HIGH|2026-06-11 09:50:00|2026-06-11 09:50:37
NAVN|2026-06-11|HIGH|2026-06-11 07:00:00|2026-06-11 07:00:23
AKTS|2026-06-12|HIGH|2026-06-12 09:55:00|2026-06-12 09:55:51
SHAZ|2026-06-12|HIGH|2026-06-12 07:40:00|2026-06-12 07:40:16
AUGO|2026-06-15|none|2026-06-15 09:50:00|2026-06-15 09:51:30
HQ|2026-06-15|MODERATE|2026-06-15 09:50:00|2026-06-15 09:50:43
HYMC|2026-06-15|MODERATE|2026-06-15 09:55:00|2026-06-15 09:56:11
