ticker|d|bar_et|open|high|low|close|volume
ABSI|2026-06-24|09:30|9.51|9.66|9.3|9.58|771059
ACAD|2026-06-26|09:30|26.38|26.49|25.88|26.44|118820
AEHR|2026-07-15|09:30|98.155|102.46|95|101.87|473031
AGX|2026-06-05|09:30|697.68|697.68|665.32|678.52|16642
ARM|2026-05-20|09:30|226.54|231.8199|226.085|231.8199|364539
ARM|2026-05-20|09:31|231.53|233.33|231.24|232.55|162834
ARM|2026-05-20|09:32|233|236.5|233|235.97|255694
ARM|2026-05-20|09:33|235.68|239|235.4727|238.25|265386
ARM|2026-05-20|09:34|238.205|240.8999|237.1501|240.3785|234673
ARM|2026-05-20|09:35|240.79|241.5|238.55|239.82|256698
ARM|2026-05-20|09:36|239.75|242.7699|239.09|242.18|212517
ARM|2026-05-20|09:37|242.5099|242.79|240.17|242.41|242753
ARM|2026-05-20|09:38|242.6|243.57|241.5401|242.9699|184489
ARM|2026-05-20|09:39|242.75|243.88|242.29|243.715|143576
ARM|2026-05-20|09:40|243.715|247.47|243.2501|246.4355|245393
ARM|2026-05-20|09:41|246.41|247.97|245.34|245.62|237642
ARM|2026-05-20|09:42|245.55|246.991|245.12|245.5|123712
ARM|2026-05-20|09:43|245.99|246.85|244.22|245.675|149053
ARM|2026-05-20|09:44|245.95|248.34|245.6964|247.62|218874
ARM|2026-05-20|09:45|247.54|247.858|245.67|246.21|116500
ARM|2026-05-20|09:46|245.96|247.71|245.78|247.38|172648
ARM|2026-05-20|09:47|247.27|249.59|247.18|249.26|171641
ARM|2026-05-20|09:48|249.2143|249.24|247.7501|248.1218|93255
ARM|2026-05-20|09:49|248.37|249.5608|247.19|249.38|149373
ARM|2026-05-20|09:50|249.5536|250.86|248.51|248.51|324225
ARM|2026-05-20|09:51|248.61|248.82|247.17|248.25|103022
ARM|2026-05-20|09:52|248.2501|248.46|247.04|248.4599|109541
ARM|2026-05-20|09:53|248.46|249.8399|248.33|248.5301|107166
ARM|2026-05-20|09:54|248.765|249.34|246.98|247.055|129600
ARM|2026-05-20|09:55|247.01|247.8899|246.31|246.39|116118
ARM|2026-05-20|09:56|246.4888|248.88|246.2|248.35|98531
ARM|2026-05-20|09:57|248.425|251.25|248.2001|250.8825|208174
ARM|2026-05-20|09:58|250.92|251.18|248.38|249.2198|140901
ARM|2026-05-20|09:59|249.2199|250.5|248.8679|250.3|65875
ARM|2026-05-20|10:00|250.54|252.22|250.54|252.08|142199
ARM|2026-05-20|10:01|252.055|252.7899|251.6901|252.3581|144410
ARM|2026-05-20|10:02|252.265|254.0899|252|253.998|129554
ARM|2026-05-20|10:03|254|254.88|253.22|254.16|137009
ARM|2026-05-20|10:04|254.035|254.57|253.01|254.57|120970
ARM|2026-05-20|10:05|254.5|254.91|253.5|254|107259
ARM|2026-05-20|10:06|254.1|254.71|252.89|254.6037|84094
ARM|2026-05-20|10:07|254.7699|255.025|253.8401|254.97|129226
ARM|2026-05-20|10:08|254.9999|255.42|253.96|255.42|84457
ARM|2026-05-20|10:09|255.195|255.9|254.93|255.26|101494
ARM|2026-05-20|10:10|255.4358|256.65|254.58|254.7731|138261
ARM|2026-05-20|10:11|254.7412|255.05|254.3601|254.9561|99599
ARM|2026-05-20|10:12|254.755|254.77|252.8|253.14|156004
ARM|2026-05-20|10:13|253.27|253.3|251.3|252.012|160973
ARM|2026-05-20|10:14|252.07|254.29|251.6087|253.92|104887
ARM|2026-05-20|10:15|253.6201|254.02|252.7|253.09|76677
ARM|2026-05-20|10:16|253.31|254.85|253.1922|254.31|108974
ARM|2026-05-20|10:17|254.37|254.8599|253.5|254.155|63579
ARM|2026-05-20|10:18|254.15|255.1|253.96|254.43|55624
ARM|2026-05-20|10:19|254.515|254.7883|253.4|253.79|46501
ARM|2026-05-20|10:20|253.89|255.778|253.89|255.49|69183
ARM|2026-05-20|10:21|255.5|256.948|255.27|256.8799|133423
ARM|2026-05-20|10:22|256.88|257.45|255.75|256.07|100302
ARM|2026-05-20|10:23|256.17|256.4|255.4601|256.2199|48061
ARM|2026-05-20|10:24|256.2199|256.2199|254.43|254.7258|54938
ARM|2026-05-20|10:25|254.47|254.91|254.12|254.825|44747
ARM|2026-05-20|10:26|254.825|255.24|254.383|254.565|39651
ARM|2026-05-20|10:27|254.57|254.9899|254.41|254.53|25110
ARM|2026-05-20|10:28|254.62|255.499|254.4|255.499|46039
ARM|2026-05-20|10:29|255.38|256|255.0001|255.88|46746
ARM|2026-05-20|10:30|255.75|257.45|255.75|257.35|85996
ARM|2026-05-20|10:31|257.0856|258.56|256.9501|258.21|128379
ARM|2026-05-20|10:32|258.16|258.5|257.04|257.1988|83098
ARM|2026-05-20|10:33|257.31|257.44|255.8597|255.92|57910
ARM|2026-05-20|10:34|255.92|257.18|255.765|256.795|51397
ARM|2026-05-20|10:35|256.72|256.88|255.61|256.4299|62387
ARM|2026-05-20|10:36|256.25|257.2899|256.07|257.2899|62841
ARM|2026-05-20|10:37|257.15|258.14|256.99|257.735|69684
ARM|2026-05-20|10:38|257.53|258.42|257.15|257.24|58487
ARM|2026-05-20|10:39|257.48|257.5|256.3158|256.555|51925
ARM|2026-05-20|10:40|256.56|257.5899|256.41|257.24|34703
ARM|2026-05-20|10:41|257.17|258|257.02|257.98|34838
ARM|2026-05-20|10:42|257.9799|257.9799|257.27|257.37|34561
ARM|2026-05-20|10:43|257.4|257.99|257.29|257.705|38415
ARM|2026-05-20|10:44|257.7275|258.4199|257.66|258.19|56467
ARM|2026-05-20|10:45|258.42|259.08|257.6411|258.74|91607
ARM|2026-05-20|10:46|258.835|259.44|258.43|258.5385|58068
ARM|2026-05-20|10:47|258.42|258.87|257|257|66827
ARM|2026-05-20|10:48|257.16|258.17|257.06|257.65|34347
ARM|2026-05-20|10:49|257.78|258.2|257.31|257.753|43281
ARM|2026-05-20|10:50|257.54|257.65|256.8079|256.915|35813
ARM|2026-05-20|10:51|257.03|257.3699|256.21|257.3|75287
ARM|2026-05-20|10:52|257.175|257.6148|257|257.0911|27975
ARM|2026-05-20|10:53|257.1922|257.52|256.8901|257.15|28256
ARM|2026-05-20|10:54|257.16|257.31|256.785|256.92|29587
ARM|2026-05-20|10:55|256.92|257.4699|256.7|256.765|35744
ARM|2026-05-20|10:56|256.6401|257.82|256.6|257.4746|40927
ARM|2026-05-20|10:57|257.555|257.99|257.35|257.715|41418
ARM|2026-05-20|10:58|257.96|258.365|257.5101|257.67|46481
ARM|2026-05-20|10:59|257.84|258.19|256.9|257.05|47705
ARM|2026-05-20|11:00|256.83|257.5841|256.39|256.6742|31006
ARM|2026-05-20|11:01|256.8|257.5999|256.5801|257.5999|42679
ARM|2026-05-20|11:02|257.43|257.95|256.9458|257.125|41280
ARM|2026-05-20|11:03|257.04|257.04|255.18|255.22|82141
ARM|2026-05-20|11:04|255.36|256.9799|255.271|256.55|50945
ARM|2026-05-20|11:05|256.55|256.8|256.21|256.655|25525
ARM|2026-05-20|11:06|256.86|257.5999|256.68|257.4|32635
ARM|2026-05-20|11:07|257.4|257.6|256.261|256.37|37205
ARM|2026-05-20|11:08|256.26|256.71|255.7412|256.1817|21177
ARM|2026-05-20|11:09|256.15|256.18|255.561|256.135|26882
ARM|2026-05-20|11:10|256.135|256.7099|256.0401|256.28|14921
ARM|2026-05-20|11:11|256.28|256.59|255.6001|255.82|21564
ARM|2026-05-20|11:12|255.795|256|255.4|255.845|28556
