===Q1_LIVE_BOOK===
id|ticker|alert_date|regime|status|orb_high|orb_low|atr_14|entry_price|entry_shares|stop_price|hard_stop|position_size|risk_dollars|remaining_shares|total_pnl|partial_taken|pnl_attribution|signal_type|filled_et|closed_et|skip_reason
232|ABSI|2026-06-24|Bull|cancelled|9.66|9.3|0.8568642857142856|9.66|103|9.3|9.3|994.98|38.78|0|0|f|phantom_reap_287|magna53||2026-07-06 10:35:45|
233|FCEL|2026-06-24|Bull|cancelled|25.199|23.68|3.1869928571428567|25.199|25|23.68|23.68|629.98|38.78|0|0|f|phantom_reap_287|magna53||2026-07-06 10:35:45|
234|SNX|2026-06-25|Choppy|cancelled|295.19|282.16|10.528300000000002|295.19|3|282.16|282.16|885.57|40.92|0|0|f|phantom_reap_287|magna53||2026-07-06 10:35:45|
236|ACAD|2026-06-26|Choppy|cancelled|26.49|25.88|0.6982142857142853|26.49|37|25.88|25.88|980.13|40.27|0|0|f|phantom_reap_287|magna53||2026-07-06 10:35:45|
242|AVAV|2026-06-30|Bull|cancelled|178.5|170.02|9.701564285714289|178.5|5|170.02|170.02|892.5|43.38|0|0|f||magna53|||ORB window unfilled
245|WULF|2026-07-06|Choppy|closed|24.61|23.8|2.2232107142857145|24.62|40|23.8|23.8|984.4|47.13|0|-32.80000000000001|f||magna53|2026-07-06 09:33:00|2026-07-06 09:57:29|block:r3_reentry_disabled
246|DOCN|2026-07-07|Bull|cancelled|146.57|143.63|13.828707142857143|146.57|6|143.63|143.63|879.42|48.26|0|0|f||magna53|||ORB window unfilled
250|CRCL|2026-07-10|Choppy|closed|70.66|69.29|5.667357142857142|70.65|14|69.29|69.29|989.24|23.79|0|-19.180000000000064|f||magna53|2026-07-10 09:31:05|2026-07-10 09:40:34|block:r3_reentry_disabled
251|WDFC|2026-07-10|Choppy|closed|295|287.06|6.746692857142857|296.235|2|287.06|287.06|590|23.79|0|-19.029999999999973|f||magna53|2026-07-10 09:31:19|2026-07-10 09:40:35|block:r3_reentry_disabled
257|CLSK|2026-07-14|Correcting|cancelled|15.1|14.61|1.3791071428571426|15.1|44|14.61|14.61|664.4|21.98|0|0|f||magna53|||ORB window unfilled
258|TSEM|2026-07-14|Correcting|closed|273.25|266.34|21.631800000000005|274|3|266.34|266.34|819.75|21.98|0|-23.010000000000048|f||magna53|2026-07-14 09:32:52|2026-07-14 09:44:34|block:r3_reentry_disabled
260|AEHR|2026-07-15|Choppy|cancelled|102.46|95|9.428764285714283|102.46|3|95|95|307.38|22.69|0|0|f||magna53|||rejected
261|MANE|2026-07-15|Choppy|closed|118.75|118.02|8.945700000000002|119.34|8|118.02|118.02|950|22.69|0|-2.3999999999999773|f||magna53|2026-07-15 09:33:02|2026-07-16 09:30:06|
266|HUT|2026-07-20|Correcting|closed|103.48|101.4482|10.868978571428572|103.48|9|101.4482|101.4482|931.32|19.9|0|-19.530000000000015|f||magna53|2026-07-20 09:31:06|2026-07-20 09:31:57|block:r3_reentry_disabled
268|IREN|2026-07-20||skipped||||||||||0|0|f||magna53|||window:out_of_orb: detected 09:51 ET
269|HAS|2026-07-21||skipped||||||||||0|0|f||magna53|||window:out_of_orb: detected 09:50 ET
270|ARWR|2026-07-22|Correcting|cancelled|87.92|84.34|4.0452499999999985|87.92|6|84.34|84.34|527.52|21.92|0|0|f||magna53|||cancelled
271|SMCI|2026-07-22|Correcting|closed|29.48|28.5|1.5697142857142856|29.47|22|28.5|28.5|648.56|21.92|0|-14.959999999999994|f||magna53|2026-07-22 09:33:30|2026-07-27 10:37:45|
273|NVCR|2026-07-23|Correcting|closed|19.05|18|0.8827214285714285|19.15|21|18|18|400.05|22.55|0|-24.133199999999935|f||magna53|2026-07-23 09:32:30|2026-07-24 15:36:57|
275|THC|2026-07-24|Correcting|closed|240.47|233.58|7.560714285714288|241.67|2|233.58|233.58|480.94|20.16|0|-16.279999999999973|f||magna53|2026-07-24 09:31:22|2026-07-24 12:43:37|block:r3_reentry_disabled
