WULF|2026-07-06|closed|24.62|40|23.8|23.8|47.13|-32.80000000000001|
CRCL|2026-07-10|closed|70.65|14|69.29|69.29|23.79|-19.180000000000064|
WDFC|2026-07-10|closed|296.235|2|287.06|287.06|23.79|-19.029999999999973|
TSEM|2026-07-14|closed|274|3|266.34|266.34|21.98|-23.010000000000048|
MANE|2026-07-15|closed|119.34|8|118.02|118.02|22.69|-2.3999999999999773|
HUT|2026-07-20|closed|103.48|9|101.4482|101.4482|19.9|-19.530000000000015|
SMCI|2026-07-22|closed|29.47|22|28.5|28.5|21.92|-14.959999999999994|
NVCR|2026-07-23|closed|19.15|21|18|18|22.55|-24.133199999999935|
THC|2026-07-24|closed|241.67|2|233.58|233.58|20.16|-16.279999999999973|
WKC|2026-07-24|closed|40.16|20|39|39|20.16|-23.799999999999955|
QBTS|2026-07-27|closed|18.17|53|17.75|17.75|24.2|-22.26000000000009|
FTNT|2026-07-30|closed|166.65|1|160.185|160.185|11.96|-6.6299999999999955|
BLZE|2026-08-04|closed|21.8121|21|20.1|20.1|35.82|-36.79410000000004|
BTDR|2026-08-04|closed|12.85|74|12.48|12.48|35.87|-28.119999999999926|
PLTR|2026-08-04|closed|149.0545|6|170.47|143.28|35.86|118.60200000000003|
NET|2026-08-07|closed|316.13|3|311|311|47.94|-15.389999999999986|
FIGS|2026-08-07|closed|15.495082|61|15.19|15.19|47.94|-6.838002000000003|
TEAM|2026-08-07|closed|147.13|6|143.21|143.21|47.95|-23.940000000000055|
FRMI|2026-08-11|closed|7.29|134|7.05|7.05|48.51|-31.490000000000045|
BW|2026-08-11|closed|12.07|80|11.5|11.5|48.59|-49.60000000000008|
ETON|2026-08-14|closed|55.2012|17|55.2012|53.01|48.92|19.323599999999942|
MRVL|2026-08-19|closed|241.5|4|230.15|230.15|50.02|-43.27999999999997|
