ticker|alert_date|account_mode|signal_type|status|skip_reason|ep_score|catalyst_quality|gap_pct|regime|proposed_et|created_et|orb_high|orb_low|entry_price|stop_price|hard_stop|entry_shares
CVLT|2026-04-28|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|74.9|strong|9.81|||2026-04-28 09:55:37||||||
KFRC|2026-04-28|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|96|strong|28.07|||2026-04-28 09:51:05||||||
FTAI|2026-04-30|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|84|strong|15.13|||2026-04-30 09:50:42||||||
GKOS|2026-04-30|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|96|game_changer|20.85|||2026-04-30 09:50:41||||||
PI|2026-04-30|paper|magna53|skipped|window:out_of_orb: detected 09:45 ET|100|strong|27.53|||2026-04-30 09:45:44||||||
VIAV|2026-04-30|paper|magna53|skipped|window:out_of_orb: detected 09:56 ET|100|strong|20.92|||2026-04-30 09:56:47||||||
AXTI|2026-05-01|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|84|strong|16.76|||2026-05-01 09:50:38||||||
CYRX|2026-05-05|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|100|strong|15.57|||2026-05-05 09:51:48||||||
IART|2026-05-05|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|100|strong|18.31|||2026-05-05 09:51:47||||||
BLMN|2026-05-06|paper|magna53|skipped|window:out_of_orb: detected 09:52 ET|96|strong|33.33|||2026-05-06 09:52:47||||||
CRI|2026-05-06|paper|magna53|skipped|window:out_of_orb: detected 09:56 ET|84|strong|18.37|||2026-05-06 09:56:03||||||
GLW|2026-05-06|paper|magna53|skipped|window:out_of_orb: detected 09:52 ET|84|strong|18.94|||2026-05-06 09:52:48||||||
HUT|2026-05-06|paper|magna53|skipped|window:out_of_orb: detected 09:52 ET|100|strong|27.25|||2026-05-06 09:52:46||||||
LIVN|2026-05-06|paper|magna53|skipped|window:out_of_orb: detected 09:52 ET|72|game_changer|14.43|||2026-05-06 09:52:49||||||
CALY|2026-05-08|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|57.6|strong|12.22|||2026-05-08 09:55:37||||||
FROG|2026-05-08|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|60.5|strong|12.94|||2026-05-08 09:51:00||||||
PGNY|2026-05-08|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|84|strong|18.11|||2026-05-08 09:50:58||||||
WEST|2026-05-08|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|100|strong|41.17|||2026-05-08 09:50:58||||||
WLDN|2026-05-08|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|76.3|strong|13.99|||2026-05-08 09:50:59||||||
ARX|2026-05-14|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|100.8|strong|17.64|||2026-05-14 09:50:46||||||
CPA|2026-05-14|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|67.7|strong|13.12|||2026-05-14 09:55:25||||||
VIK|2026-05-14|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|57.6|strong|11.36|||2026-05-14 09:55:26||||||
GLOB|2026-05-15|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|89.3|strong|10.59|||2026-05-15 09:50:21||||||
IBRX|2026-05-20|paper|magna53|skipped|window:out_of_orb: detected 09:50 ET|72|strong|10.18|||2026-05-20 09:50:51||||||
POWI|2026-05-26|paper|magna53|skipped|window:out_of_orb: detected 09:52 ET|84|strong|17.52|||2026-05-26 09:52:08||||||
ANF|2026-05-27|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|57.6|routine|11.23|||2026-05-27 09:55:32||||||
BBWI|2026-05-27|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|54.7|routine|15|||2026-05-27 09:51:12||||||
QFIN|2026-05-27|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|66|routine|25.3|||2026-05-27 09:51:11||||||
ALOY|2026-06-01|paper|magna53|skipped|window:out_of_orb: detected 09:56 ET|86.4|strong|14.25|||2026-06-01 09:56:18||||||
PGY|2026-06-04|paper|magna53|skipped|window:out_of_orb: detected 09:56 ET|66|strong|10.21|||2026-06-04 09:56:09||||||
IDCC|2026-06-11|paper|magna53|skipped|window:out_of_orb: detected 09:51 ET|84|strong|15.2|||2026-06-11 09:51:17||||||
AKTS|2026-06-12|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|54|strong|11.92|||2026-06-12 09:55:57||||||
PENG|2026-07-08|paper|magna53|skipped|window:out_of_orb: detected 09:55 ET|72|game_changer|10.52|||2026-07-08 09:55:37||||||
IREN|2026-07-20|live|magna53|skipped|window:out_of_orb: detected 09:51 ET|72|game_changer|13.15|||2026-07-20 09:51:01||||||
HAS|2026-07-21|live|magna53|skipped|window:out_of_orb: detected 09:50 ET|72|game_changer|10.61|||2026-07-21 09:50:42||||||
NNE|2026-07-27|live|magna53|skipped|window:out_of_orb: detected 09:56 ET|57|strong|10.38|||2026-07-27 09:56:55||||||
TEVA|2026-07-29|live|magna53|skipped|window:out_of_orb: detected 09:51 ET|50.4|strong|11.4|||2026-07-29 09:51:36||||||
LRCX|2026-07-30|live|magna53|skipped|window:out_of_orb: detected 09:51 ET|84|strong|18.95|||2026-07-30 09:51:06||||||
BLZE|2026-07-31|live|magna53|skipped|window:out_of_orb: detected 09:56 ET|72|game_changer|13.06|||2026-07-31 09:56:31||||||
AMRC|2026-08-04|live|magna53|skipped|window:out_of_orb: detected 09:45 ET|50|routine|38.72|||2026-08-04 09:45:56||||||
TSAT|2026-08-04|live|magna53|skipped|window:out_of_orb: detected 09:56 ET|60|game_changer|14.46|||2026-08-04 09:56:35||||||
ECG|2026-08-05|live|magna53|skipped|window:out_of_orb: detected 09:51 ET|72|game_changer|10.96|||2026-08-05 09:51:23||||||
HGTY|2026-08-05|live|magna53|skipped|window:out_of_orb: detected 09:55 ET|60.5|strong|11.69|||2026-08-05 09:55:54||||||
CAI|2026-08-06|live|magna53|skipped|window:out_of_orb: detected 09:53 ET|50.4|routine|17.11|||2026-08-06 09:53:23||||||
