ticker|alert_date|source|skip_category|skip_reason|ep_score|gap_pct|catalyst_quality|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_5d|max_high_20d|refreshed_et
ADUR|2026-05-01|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $476M < $500M||8.35||14.89|14.41|-0.07790463398253862|-0.09335124244459372|0.15245130960376088|0|0.18065815983881783|2026-06-05 12:00:26
AIOS|2026-05-01|scan_filter|extension_gate|already up 2264% in prior 5 days (extended)||26.29||12.14|22|0.2784184514003294|0.5658978583196047|0.30807248764415157|1.7899423393739704|1.7899423393739704|2026-06-05 12:00:26
AKAN|2026-05-01|scan_filter|extension_gate|already up 1406% in prior 5 days (extended)||14.38||57.72|57.09|-0.2882882882882883|-0.5322245322245323|-0.705994455994456|0.3669421344421345|0.3669421344421345|2026-06-05 12:00:26
ALMU|2026-05-01|scan_filter|outside_top20|outside top-20 gap cap (gap 9.1%)||9.11||23.65|25.58|-0.0291754756871035|0.03213530655391127|0.10824524312896416|0.21460887949260052|0.34418604651162793|2026-06-05 12:00:26
ANIK|2026-05-01|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $194M < $500M||13.33||13.61|14.85|0.06906686260102875|0.08523144746509921|0.07494489346069078|0.12857457751653198|0.16017634092578983|2026-06-05 12:00:26
ATOM|2026-05-01|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $359M < $500M||11.92||8.35|11.09|0.2419161676646706|0.00718562874251503|0.15808383233532938|0.37485029940119774|0.4808383233532935|2026-06-05 12:00:26
AXTI|2026-05-01|high_unentered|window_missed|window:out_of_orb: detected 09:50 ET|84|16.76|strong|78.8|96|0.3451776649746193|0.47664974619289346|0.3902284263959391|0.6425114213197971|0.816751269035533|2026-06-05 12:00:26
AXTI|2026-05-01|scan_filter|duplicate_scan|already scored earlier today||13.86||78.8|96|0.3451776649746193|0.47664974619289346|0.3902284263959391|0.6425114213197971|0.816751269035533|2026-06-05 12:00:26
BAND|2026-05-01|scan_filter|outside_top20|outside top-20 gap cap (gap 8.9%)||8.91||37.66|44.86|0.19543281996813613|0.32474774296335646|0.8823685608072227|0.3276686139139672|0.9054699946893259|2026-06-05 12:00:26
BOOM|2026-05-01|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $166M < $500M||27.51||7.5|8.41|0.03466666666666664|-0.007999999999999948|-0.09599999999999996|0.1466666666666666|0.1466666666666666|2026-06-05 12:00:26
BTSG|2026-05-01|moderate_alert|moderate_tier||57.6|12.03|strong|49|52.58|0.09265306122448978|0.11897959183673466|0.22408163265306116|0.12142857142857148|0.26755102040816325|2026-06-05 12:00:26
BTSG|2026-05-01|scan_filter|duplicate_scan|already scored earlier today||10.3||49|52.58|0.09265306122448978|0.11897959183673466|0.22408163265306116|0.12142857142857148|0.26755102040816325|2026-06-05 12:00:26
CLNN|2026-05-01|scan_filter|pm_rvol_low|pre-mkt volume 467 < 25,000 shares||10.39||6.21|6.14|0.3027375201288245|0.17230273752012887|-0.016103059581320394|0.3961352657004831|0.3961352657004831|2026-06-05 12:00:26
CUE|2026-05-01|scan_filter|extension_gate|already up 2560% in prior 5 days (extended)||92.71||33.75|30.42|-0.11555555555555551|0.037037037037037035|-0.2869629629629629|0.2272592592592593|0.2272592592592593|2026-06-05 12:00:26
CVV|2026-05-01|scan_filter|adv_low|quality filter: filter:adv_too_low: $538,254||16.67||7.32|8.05|0.008196721311475356|-0.03142076502732246|-0.16939890710382516|0.15505464480874315|0.15505464480874315|2026-06-05 12:00:26
EDSA|2026-05-01|scan_filter|outside_top20|outside top-20 gap cap (gap 8.6%)||8.57||19.22|17.59|-0.16181061394380852|-0.1519250780437044|-0.6519250780437044|0.05723204994797094|0.05723204994797094|2026-06-05 12:00:26
EL|2026-05-01|scan_filter|session_rvol_low|low volume rel_vol 0.1x < 2.0x (post-open)||12.76||86|79.3|-0.05430232558139537|0.00232558139534887|-0.004883720930232578|0.02209302325581402|0.07383720930232551|2026-06-05 12:00:26
EUDA|2026-05-01|scan_filter|outside_top20|outside top-20 gap cap (gap 9.4%)||9.36||15.2|15.28|0.12434210526315793|-0.09473684210526313|0.10043421052631592|0.6907894736842105|0.6907894736842105|2026-06-05 12:00:26
FEIM|2026-05-01|scan_filter|outside_top20|outside top-20 gap cap (gap 9.4%)||9.41||52.85|57.53|0.0017029328287605733|0.18032166508987701|0.3731315042573319|0.20681173131504257|0.44446546830652794|2026-06-05 12:00:26
FIVN|2026-05-01|scan_filter|duplicate_scan|already scored earlier today||16.42||20.18|22.24|0.1565906838453915|0.09514370664023794|0.3012884043607533|0.2555599603567889|0.33448959365708625|2026-06-05 12:00:26
