ticker|bar_et|open|high|low|close|volume
ACHR|2026-08-10 09:30|6.41|6.5|6.26|6.32|2611798
ACHR|2026-08-10 09:31|6.2649|6.46|6.2649|6.4598|943451
ACHR|2026-08-10 09:32|6.45|6.49|6.26|6.3311|1457445
ACHR|2026-08-10 09:33|6.3332|6.34|6.26|6.2697|764427
ACHR|2026-08-10 09:34|6.262|6.36|6.26|6.28|495060
ACHR|2026-08-10 09:35|6.2881|6.36|6.26|6.345|566745
ACHR|2026-08-10 09:36|6.35|6.365|6.29|6.3582|485747
ACHR|2026-08-10 09:37|6.354|6.42|6.345|6.38|567236
ACHR|2026-08-10 09:38|6.38|6.4|6.315|6.32|473038
ACHR|2026-08-10 09:39|6.3193|6.34|6.28|6.34|544303
ACHR|2026-08-10 09:40|6.34|6.4|6.3|6.39|359053
ACHR|2026-08-10 09:41|6.4|6.5|6.39|6.475|1077778
ACHR|2026-08-10 09:42|6.475|6.62|6.46|6.609|1248204
ACHR|2026-08-10 09:43|6.6099|6.6099|6.49|6.525|892698
ACHR|2026-08-10 09:44|6.525|6.6|6.515|6.575|780502
ACHR|2026-08-10 09:45|6.58|6.59|6.53|6.565|675106
ACHR|2026-08-10 09:46|6.56|6.64|6.55|6.63|696701
ACHR|2026-08-10 09:47|6.6263|6.65|6.595|6.64|619968
ACHR|2026-08-10 09:48|6.6301|6.65|6.601|6.615|682030
ACHR|2026-08-10 09:49|6.615|6.64|6.6|6.625|420882
ACHR|2026-08-10 09:50|6.6223|6.665|6.6|6.6386|513711
ACHR|2026-08-10 09:51|6.635|6.64|6.59|6.6099|490228
ACHR|2026-08-10 09:52|6.605|6.63|6.56|6.601|590430
ACHR|2026-08-10 09:53|6.6|6.625|6.57|6.61|275950
ACHR|2026-08-10 09:54|6.61|6.7|6.59|6.675|724122
ACHR|2026-08-10 09:55|6.675|6.73|6.675|6.725|883336
ACHR|2026-08-10 09:56|6.7299|6.755|6.66|6.7|932491
ACHR|2026-08-10 09:57|6.71|6.725|6.67|6.7186|620416
ACHR|2026-08-10 09:58|6.7101|6.73|6.7|6.7|292393
ACHR|2026-08-10 09:59|6.705|6.71|6.68|6.685|582316
ACHR|2026-08-10 10:00|6.685|6.73|6.67|6.725|519783
ACHR|2026-08-10 10:01|6.721|6.75|6.69|6.705|583019
ACHR|2026-08-10 10:02|6.7068|6.77|6.7|6.725|507279
ACHR|2026-08-10 10:03|6.725|6.74|6.71|6.72|279526
ACHR|2026-08-10 10:04|6.7163|6.735|6.67|6.715|749961
ACHR|2026-08-10 10:05|6.715|6.77|6.7|6.745|921095
ACHR|2026-08-10 10:06|6.745|6.78|6.73|6.7697|433678
ACHR|2026-08-10 10:07|6.77|6.78|6.73|6.7763|472264
ACHR|2026-08-10 10:08|6.78|6.79|6.76|6.7877|379584
ACHR|2026-08-10 10:09|6.785|6.82|6.7501|6.815|907007
ACHR|2026-08-10 10:10|6.82|6.87|6.81|6.845|859238
ACHR|2026-08-10 10:11|6.85|6.85|6.78|6.7801|921181
ACHR|2026-08-10 10:12|6.789|6.8|6.75|6.765|885028
ACHR|2026-08-10 10:13|6.77|6.805|6.73|6.79|720388
ACHR|2026-08-10 10:14|6.795|6.815|6.785|6.8138|413554
ACHR|2026-08-10 10:15|6.8136|6.82|6.775|6.79|302350
AMRC|2026-08-04 09:30|31.93|31.93|31|31.08|4182
AMRC|2026-08-04 09:31|31.02|31.02|31|31|768
AMRC|2026-08-04 09:32|30.9632|30.9632|30.75|30.75|353
AMRC|2026-08-04 09:33|30.78|30.805|30.54|30.805|877
AMRC|2026-08-04 09:34|31|31|29.02|29.905|86377
AMRC|2026-08-04 09:35|29.9|31.19|29.4|30.3099|62043
AMRC|2026-08-04 09:36|30.06|30.38|29.53|30.38|14978
AMRC|2026-08-04 09:37|30.26|31.25|30.26|31|26234
AMRC|2026-08-04 09:38|31.25|31.25|30.6527|30.83|10775
AMRC|2026-08-04 09:39|30.83|30.99|30.29|30.29|16070
AMRC|2026-08-04 09:40|30.29|30.29|29.26|29.495|23190
