ticker|alert_date|orb_high|orb_low|bar_et|open|high|low|close
ABCL|2026-08-10|8.96|8.4|09:30|8.76|8.96|8.4|8.76
ABCL|2026-08-10|8.96|8.4|09:31|8.765|8.89|8.6205|8.78
ABCL|2026-08-10|8.96|8.4|09:32|8.8499|8.928|8.7|8.7
ABCL|2026-08-10|8.96|8.4|09:33|8.71|8.95|8.71|8.88
ABCL|2026-08-10|8.96|8.4|09:34|8.91|9.04|8.84|8.955
ABCL|2026-08-10|8.96|8.4|09:35|8.955|8.955|8.84|8.94
ABCL|2026-08-10|8.96|8.4|09:36|8.945|9.0551|8.93|8.9791
ABCL|2026-08-10|8.96|8.4|09:37|8.9601|9.25|8.9601|9.2196
ABCL|2026-08-10|8.96|8.4|09:38|9.21|9.24|9.0751|9.12
ABCL|2026-08-10|8.96|8.4|09:39|9.125|9.15|9.01|9.08
ABCL|2026-08-10|8.96|8.4|09:40|9.09|9.35|9.0346|9.345
AMLX|2026-08-18|30.07|28.58|09:30|29.91|30.07|28.58|29.5899
AMLX|2026-08-18|30.07|28.58|09:31|29.6|29.8|28.6|29.7999
AMLX|2026-08-18|30.07|28.58|09:32|29.8|30.69|29.43|29.58
AMLX|2026-08-18|30.07|28.58|09:33|29.575|30.3|29.25|30.0801
AMLX|2026-08-18|30.07|28.58|09:34|30.0801|30.59|30.02|30.22
AMLX|2026-08-18|30.07|28.58|09:35|30.2243|30.56|30.01|30.2
AMLX|2026-08-18|30.07|28.58|09:36|30.35|30.49|29.61|29.72
AMLX|2026-08-18|30.07|28.58|09:37|29.795|29.825|29.05|29.25
AMLX|2026-08-18|30.07|28.58|09:38|29.35|29.5|29.07|29.35
AMLX|2026-08-18|30.07|28.58|09:39|29.4|29.4|28.85|28.85
AMLX|2026-08-18|30.07|28.58|09:40|28.8401|28.9|28.4276|28.55
BLZE|2026-08-04|21.7499|20.1|09:30|20.16|21.7499|20.1|21.575
BLZE|2026-08-04|21.7499|20.1|09:31|21.52|22.8875|21.52|22.72
BLZE|2026-08-04|21.7499|20.1|09:32|22.76|23.99|22.2605|23.85
BLZE|2026-08-04|21.7499|20.1|09:33|23.825|23.88|22.21|22.23
BLZE|2026-08-04|21.7499|20.1|09:34|22.22|22.84|22.0601|22.525
BLZE|2026-08-04|21.7499|20.1|09:35|22.48|23.5|22.47|23.4525
BLZE|2026-08-04|21.7499|20.1|09:36|23.455|23.4996|23.0724|23.084
BLZE|2026-08-04|21.7499|20.1|09:37|23.12|23.3|22.88|23.1988
BLZE|2026-08-04|21.7499|20.1|09:38|23.165|23.3689|22.86|23.26
BLZE|2026-08-04|21.7499|20.1|09:39|23.205|23.205|22.61|22.6193
BLZE|2026-08-04|21.7499|20.1|09:40|22.66|23|22.5|22.59
BTDR|2026-08-04|12.85|12.48|09:30|12.81|12.85|12.48|12.675
BTDR|2026-08-04|12.85|12.48|09:31|12.7152|12.72|12.33|12.6
BTDR|2026-08-04|12.85|12.48|09:32|12.625|12.71|12.44|12.54
BTDR|2026-08-04|12.85|12.48|09:33|12.58|12.67|12.5|12.63
BTDR|2026-08-04|12.85|12.48|09:34|12.66|12.89|12.59|12.89
BTDR|2026-08-04|12.85|12.48|09:35|12.883|12.93|12.76|12.76
BTDR|2026-08-04|12.85|12.48|09:36|12.76|12.82|12.641|12.65
BTDR|2026-08-04|12.85|12.48|09:37|12.67|12.82|12.63|12.74
BTDR|2026-08-04|12.85|12.48|09:38|12.74|12.77|12.61|12.6305
BTDR|2026-08-04|12.85|12.48|09:39|12.65|12.71|12.55|12.6
BTDR|2026-08-04|12.85|12.48|09:40|12.6|12.67|12.6|12.64
BW|2026-08-11|12.08|11.5|09:30|11.86|12.08|11.5|11.87
BW|2026-08-11|12.08|11.5|09:31|11.92|12.08|11.37|11.425
BW|2026-08-11|12.08|11.5|09:32|11.4482|11.58|10.925|11.175
BW|2026-08-11|12.08|11.5|09:33|11.2425|11.2484|10.9|11.0099
BW|2026-08-11|12.08|11.5|09:34|10.9995|11.085|10.52|10.6601
BW|2026-08-11|12.08|11.5|09:35|10.7253|10.85|10.57|10.6
BW|2026-08-11|12.08|11.5|09:36|10.595|10.7999|10.5701|10.68
BW|2026-08-11|12.08|11.5|09:37|10.715|10.83|10.42|10.42
BW|2026-08-11|12.08|11.5|09:38|10.435|10.58|10.2201|10.2415
BW|2026-08-11|12.08|11.5|09:39|10.245|10.49|10.245|10.365
BW|2026-08-11|12.08|11.5|09:40|10.37|10.515|10.36|10.42
ETON|2026-08-14|55.4427|53.01|09:30|54.93|55.4427|53.01|54.725
ETON|2026-08-14|55.4427|53.01|09:31|55.4413|58.55|54.0862|58.24
ETON|2026-08-14|55.4427|53.01|09:32|58.24|59.79|57.3938|58.05
ETON|2026-08-14|55.4427|53.01|09:33|58.18|59|55.725|57.27
ETON|2026-08-14|55.4427|53.01|09:34|56.55|58|56.285|56.905
ETON|2026-08-14|55.4427|53.01|09:35|57.0368|57.3|56.72|57.3
ETON|2026-08-14|55.4427|53.01|09:36|57.4|57.79|56.5|57.085
ETON|2026-08-14|55.4427|53.01|09:37|56.67|58.3563|56.32|58.3563
ETON|2026-08-14|55.4427|53.01|09:38|58.1|58.4174|57.8|58
ETON|2026-08-14|55.4427|53.01|09:39|58.4999|58.4999|56|56.29
ETON|2026-08-14|55.4427|53.01|09:40|56.38|57.59|56.29|56.955
FIGS|2026-08-07|15.5|15.19|09:30|15.21|15.5|15.19|15.315
FIGS|2026-08-07|15.5|15.19|09:31|15.44|15.49|14.83|15.28
FIGS|2026-08-07|15.5|15.19|09:32|15.3|16.3799|15.3|16.29
FIGS|2026-08-07|15.5|15.19|09:33|16.29|16.38|16|16.0936
FIGS|2026-08-07|15.5|15.19|09:34|16.05|16.16|15.82|15.82
FIGS|2026-08-07|15.5|15.19|09:35|15.82|16.0799|15.7801|15.865
FIGS|2026-08-07|15.5|15.19|09:36|15.85|15.86|15.5|15.5
FIGS|2026-08-07|15.5|15.19|09:37|15.54|15.73|15.46|15.54
FIGS|2026-08-07|15.5|15.19|09:38|15.55|15.89|15.54|15.655
FIGS|2026-08-07|15.5|15.19|09:39|15.655|15.655|15.37|15.56
FIGS|2026-08-07|15.5|15.19|09:40|15.56|15.75|15.56|15.73
FRMI|2026-08-11|7.24|7.05|09:30|7.07|7.24|7.05|7.1828
FRMI|2026-08-11|7.24|7.05|09:31|7.19|7.3899|6.97|7.0851
FRMI|2026-08-11|7.24|7.05|09:32|7.0794|7.1299|7.01|7.04
FRMI|2026-08-11|7.24|7.05|09:33|7.065|7.07|6.97|6.995
FRMI|2026-08-11|7.24|7.05|09:34|6.995|7.15|6.96|7.1101
FRMI|2026-08-11|7.24|7.05|09:35|7.12|7.14|7.07|7.115
FRMI|2026-08-11|7.24|7.05|09:36|7.115|7.13|6.975|7.035
FRMI|2026-08-11|7.24|7.05|09:37|7.04|7.04|6.85|6.895
FRMI|2026-08-11|7.24|7.05|09:38|6.895|6.975|6.89|6.945
FRMI|2026-08-11|7.24|7.05|09:39|6.945|6.945|6.81|6.875
FRMI|2026-08-11|7.24|7.05|09:40|6.875|6.98|6.86|6.975
MRNA|2026-08-19|120.15|115|09:30|116.05|120.15|115|115.905
MRNA|2026-08-19|120.15|115|09:31|116|118.55|114.46|117.24
MRNA|2026-08-19|120.15|115|09:32|117.24|119.98|115.95|118.845
MRNA|2026-08-19|120.15|115|09:33|118.9142|122.25|117.5|118.275
MRNA|2026-08-19|120.15|115|09:34|118.275|118.7619|116|117.3802
MRNA|2026-08-19|120.15|115|09:35|117.4013|121.11|117.4013|121
MRNA|2026-08-19|120.15|115|09:36|120.851|121.2499|118.43|119.57
MRNA|2026-08-19|120.15|115|09:37|119.57|122.99|119.1137|122.89
MRNA|2026-08-19|120.15|115|09:38|122.8|126.38|122.64|126.21
MRNA|2026-08-19|120.15|115|09:39|126.21|126.88|124.84|126.34
MRNA|2026-08-19|120.15|115|09:40|126.26|126.59|124.6201|125.24
MRVL|2026-08-19|241.53|235.84|09:30|240.13|241.53|235.84|238.59
MRVL|2026-08-19|241.53|235.84|09:31|238.63|239.9|236.11|239.9
MRVL|2026-08-19|241.53|235.84|09:32|239.795|245.3|239.7056|245
MRVL|2026-08-19|241.53|235.84|09:33|244.89|245.489|243.17|243.34
MRVL|2026-08-19|241.53|235.84|09:34|243.34|243.75|239.04|239.27
