===Q1_NEW_REJECTS===
d_et|~|t_et|~|ticker|~|rt_gap
2026-08-31|~|08:10:01|~|BETR|~|9.89
2026-08-31|~|09:35:02|~|BMM|~|9.07
2026-08-31|~|09:40:03|~|XE|~|10.1
2026-09-01|~|09:10:01|~|DBGI|~|13.19
2026-09-01|~|09:30:06|~|CAPR|~|10.19
(5 rows)
===Q2_NEW_CATCHES===
d_et|~|ticker
2026-08-31|~|CNXU
2026-08-31|~|BY
2026-08-31|~|MOVE
2026-08-31|~|TITN
2026-08-31|~|GPRK
2026-08-31|~|RFAI
2026-09-01|~|PRLD
2026-09-01|~|YEXT
2026-09-01|~|BLSM
(9 rows)
===Q3_DAILY_CLOSES===
trade_date|~|ticker|~|open_price|~|high_price|~|low_price|~|close|~|volume
2026-08-24|~|BETR|~|12.16|~|12.56|~|11.3569|~|11.73|~|700154
2026-08-25|~|BETR|~|11.71|~|12.46|~|11.22|~|12.3|~|952151
2026-08-26|~|BETR|~|12.42|~|13.71|~|12.18|~|13.41|~|728979
2026-08-27|~|BETR|~|13.61|~|15.295|~|13.2532|~|14.59|~|935643
2026-08-28|~|BETR|~|14.47|~|15.23|~|13.8|~|13.85|~|531588
2026-08-31|~|BETR|~|14.56|~|14.75|~|13.34|~|13.84|~|564193
2026-09-01|~|BETR|~|13.53|~|13.585|~|12.155|~|12.23|~|682713
2026-08-24|~|BLSM|~|16.38|~|16.5|~|15.935|~|16.03|~|155960
2026-08-25|~|BLSM|~|16.1|~|18.8|~|16.1|~|18.42|~|193521
2026-08-26|~|BLSM|~|18.58|~|18.63|~|17.955|~|18.46|~|55698
2026-08-27|~|BLSM|~|18.25|~|19.84|~|18.25|~|19.8|~|102308
2026-08-28|~|BLSM|~|19.82|~|20.6104|~|19.435|~|19.56|~|163556
2026-08-31|~|BLSM|~|19.57|~|19.57|~|17.585|~|18.3|~|101560
2026-09-01|~|BLSM|~|18.6|~|19.93|~|17.98|~|18.99|~|141199
2026-08-24|~|BMM|~|5.675|~|5.96|~|5.28|~|5.31|~|206201
2026-08-25|~|BMM|~|5.31|~|5.88|~|5.2|~|5.84|~|278405
2026-08-26|~|BMM|~|5.91|~|5.945|~|5.5|~|5.61|~|194678
2026-08-27|~|BMM|~|5.61|~|5.88|~|5.47|~|5.86|~|122179
2026-08-28|~|BMM|~|5.89|~|5.95|~|5.4976|~|5.62|~|174127
2026-08-31|~|BMM|~|5.63|~|6.355|~|5.63|~|6.06|~|340613
2026-09-01|~|BMM|~|6.11|~|6.15|~|5.6385|~|5.75|~|222997
2026-08-24|~|BY|~|38.29|~|38.66|~|38.0701|~|38.37|~|165376
2026-08-25|~|BY|~|38.43|~|38.43|~|38.05|~|38.11|~|114275
2026-08-26|~|BY|~|38.21|~|38.44|~|37.8201|~|38.26|~|276288
2026-08-27|~|BY|~|37.89|~|38.315|~|37.72|~|38.26|~|227619
2026-08-28|~|BY|~|38.28|~|38.41|~|38.07|~|38.3|~|173409
2026-08-31|~|BY|~|38.14|~|38.31|~|37.9|~|37.92|~|274866
2026-09-01|~|BY|~|37.78|~|38.25|~|37.47|~|37.67|~|198808
2026-08-24|~|CAPR|~|8.03|~|8.03|~|6.34|~|6.8|~|20021309
2026-08-25|~|CAPR|~|7.25|~|8.6|~|7.25|~|8.29|~|17557668
2026-08-26|~|CAPR|~|8.29|~|9.88|~|8.05|~|9.36|~|11944602
2026-08-27|~|CAPR|~|9.19|~|10.61|~|8.9|~|10.06|~|12013012
2026-08-28|~|CAPR|~|9.73|~|10.2|~|9.47|~|9.59|~|5156441
2026-08-31|~|CAPR|~|9.495|~|10.27|~|9.065|~|9.91|~|4538037
2026-09-01|~|CAPR|~|10.77|~|11|~|9.85|~|10.01|~|6271108
2026-08-24|~|CNXU|~|8.77|~|9.1885|~|7.7|~|7.81|~|406875
2026-08-25|~|CNXU|~|7.91|~|8.15|~|7.4|~|7.55|~|314636
