set	ticker	trade_date	cap_gap	split_gap	raw_gap	artifact	art_reason	n_min_bars	prev_close	prev_volume	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	sess_abst_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936	sess_abst_0936	set2	raw_pc	raw_pv	tick_bound	inwin	sustain
MIN_PREV_CLOSE	ABTS	2026-06-01	59.32	59.32	59.32	False		386	0.9917	109987.0	settled		True	1.58	1.38	1.7800000000000002	0.3333333333333333		stop_hit	True	0	settled		True	1.58	1.38	1.7800000000000002	0.3333333333333333		stop_hit	True	0	MIN_PREV_CLOSE	0.9917	110005.0	False	61.339114651608355	True
MIN_PREV_CLOSE	AIIO	2026-06-01	28.27	28.27	28.27	False		390	2.37	2710281.0	settled		True	3.14	2.9001999999999994	3.379800000000001	-1.0		stop_hit	False	0	settled		True	3.16	2.9001999999999994	3.439800000000001	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	2.37	2780321.0	False	40.50632911392404	True
MIN_PREV_CLOSE	AIM	2026-06-01	36.07	36.07	36.07	False		382	0.4078	11906823.0	settled		True	0.5788	0.5124	0.6452	-1.0		stop_hit	False	0	settled		True	0.5788	0.5124	0.6452	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	0.4078	12135216.0	True	45.88033349681214	True
gap_floor_5_6	ANL	2026-06-01	5.7	5.7	5.7	False		117	11.94	105592.0	no_trade	setup:zero_range	False							False	0	no_trade	setup:zero_range	False							False	0	gap_floor_5_6	11.94	105605.0	False	5.695142378559453	False
MIN_PREV_CLOSE	ANY	2026-06-01	66.58	66.58	66.58	False		390	1.9	182346.0	settled		True	3.26	2.92	3.5999999999999996	-1.0		stop_hit	False	0	settled		True	3.28	2.92	3.6599999999999997	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	1.9	186889.0	False	87.36842105263159	True
unclassified_security_type	APEOF	2026-06-01	9.21			True	no_daily	0	0.5736	64433.0	excluded_artifact	no_daily										excluded_artifact	no_daily										artifact_or_otc			False		
unclassified_security_type	ASWRF	2026-06-01	19.36			True	no_daily	0	0.87	434.0	excluded_artifact	no_daily										excluded_artifact	no_daily										artifact_or_otc			False		
MIN_PREV_CLOSE	BATL	2026-06-01	23.45	23.45	23.45	False		380	1.45	2986934.0	no_entry	never_crossed_orb_high	False		1.5099999999999998					False	0	no_entry	never_crossed_orb_high	False		1.5099999999999998					False	0	MIN_PREV_CLOSE	1.45	3099256.0	False	24.827586206896555	True
gap_floor_6_7	BCBP	2026-06-01	6.61	6.61	6.61	False		182	10.44	68331.0	settled		True	11.24	10.780000000000001	11.76	-0.5978260869565237		stop_hit	False	0	abstain	entry_window_gaps:14_of_24	False		10.780000000000001					False	0	gap_floor_6_7	10.44	68412.0	False	9.195402298850581	False
MIN_PREV_CLOSE	CCEL	2026-06-01	9.79	9.79	9.79	False		3	3.37	8179.0	abstain	entry_window_gaps:29_of_29	False		3.38					False	0	abstain	entry_window_gaps:24_of_24	False		3.38					False	0	MIN_PREV_CLOSE	3.37	8186.0	False	9.792284866468833	False
gap_floor_6_7	CDNL	2026-06-01	6.03	6.03	6.03	False		225	51.89	386880.0	abstain	entry_window_gaps:9_of_29	False		51.555					False	0	abstain	entry_window_gaps:8_of_24	False		51.555					False	0	gap_floor_6_7	51.89	388722.0	False	6.735401811524369	False
MIN_PREV_DAY_VOLUME	CNXU	2026-06-01	15.14	15.14	15.14	False		194	11.725	29026.0	settled		True	13.75	13.25	14.25	-1.0		stop_hit	False	0	settled		True	13.75	13.25	14.25	-1.0		stop_hit	False	0	MIN_PREV_DAY_VOLUME	11.725	30817.0	False	20.255010660980815	True
MIN_PREV_CLOSE	CRE	2026-06-01	36.74	36.74	36.74	False		339	2.64	2147962.0	no_trade	setup:stop_too_wide: 0.35 > 1.5x ATR 0.22	False							False	0	no_trade	setup:stop_too_wide: 0.35 > 1.5x ATR 0.22	False							False	0	MIN_PREV_CLOSE	2.64	2181143.0	False	38.636363636363626	True
gap_floor_9to10_admitted_now	CXAI	2026-06-01	9.88	9.83	9.88	False		390	10.375	834274.0	settled		True	0.2321	0.20809999999999998	0.2561	-1.0		stop_hit	False	0	settled		True	0.2321	0.20809999999999998	0.2561	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	0.2075	41713763.0	True	20.48192771084338	True
MIN_PREV_CLOSE	DEVS	2026-06-01	11.03	11.03	11.03	False		390	0.3	574473693.0	settled		True	0.3522	0.314	0.3904	-1.0		stop_hit	False	0	settled		True	0.37	0.314	0.4438	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	0.3	579673446.0	True	28.73333333333335	True
gap_floor_8_9	DFNS	2026-06-01	8.23	8.21	8.22	False		376	55.6375	140353.0	no_entry	never_crossed_orb_high	False		0.43500000000000005					False	0	no_entry	never_crossed_orb_high	False		0.43500000000000005					False	0	MIN_PREV_CLOSE	0.4451	17544214.0	False	8.964277690406647	False
MIN_PREV_CLOSE	FBGL	2026-06-01	13.37	13.37	13.37	False		54	0.5795	88197.0	abstain	entry_window_gaps:22_of_29	False		0.6024					False	0	abstain	entry_window_gaps:19_of_24	False		0.6024					False	0	MIN_PREV_CLOSE	0.5795	95873.0	False	13.373597929249343	False
unclassified_security_type	FBRKF	2026-06-01	9.37			True	no_daily	0	0.16	16800.0	excluded_artifact	no_daily										excluded_artifact	no_daily										artifact_or_otc			False		
gap_floor_9to10_admitted_now	FFAI	2026-06-01	9.96	9.96	9.96	False		390	54.54	226724.0	settled		True	0.4	0.38	0.42000000000000004	0.33333333333333337		stop_hit	True	0	settled		True	0.41	0.38	0.4499999999999999	0.44444444444444403		stop_hit	True	0	MIN_PREV_CLOSE	0.3636	34008738.0	True	15.511551155115512	True
MIN_PREV_CLOSE	GAUZ	2026-06-01	12.79	12.79	12.79	False		28	0.699	100688.0	abstain	entry_window_gaps:23_of_29	False		0.7202000000000001					False	0	abstain	entry_window_gaps:19_of_24	False		0.7202000000000001					False	0	MIN_PREV_CLOSE	0.699	100759.0	False	14.420600858369099	False
MIN_PREV_CLOSE	GFAI	2026-06-01	29.25	29.25	29.25	False		381	0.53	4123507.0	no_entry	never_crossed_orb_high	False		0.6472000000000001					False	0	no_entry	never_crossed_orb_high	False		0.6472000000000001					False	0	MIN_PREV_CLOSE	0.53	24838535.0	False	30.71698113207546	True
unclassified_security_type	GLTK	2026-06-01	9.38			True	no_daily	0	4.8	2473.0	excluded_artifact	no_daily										excluded_artifact	no_daily										artifact_or_otc			False		
MIN_PREV_CLOSE	GNTA	2026-06-01	78.16	78.16	78.16	False		389	1.03	808838.0	settled		True	1.87	1.5552	2.1898000000000004	0.33862770012706495		stop_hit	True	0	settled		True	1.89	1.5552	2.2497999999999996	-1.0		stop_hit	False	0	MIN_PREV_CLOSE	1.03	836194.0	False	123.30097087378641	True
