set	ticker	trade_date	open_gap_pct	high_gap_pct	prev_close	prev_volume	adv20_dollar	ext5_pct	deepest	uf	rth_bars_stored	has_930
gap_floor_<5	AAOI	2026-06-01	-5.78	21.19	158.41	11847832.0	2146820905	0.0	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	ABCL	2026-06-01	-0.97	10.05	6.17	9254192.0	45418337	18.7	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_CLOSE	ABTS	2026-06-01	59.32	225.7	0.9917	109987.0	172627	21.8	no_row	MIN_PREV_CLOSE	0	False
gap_floor_<5	ACDC	2026-06-01	0.33	12.6	6.11	1322387.0	9978123	0.7	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	ADEA	2026-06-01	-0.07	16.99	26.72	1885694.0	71116909	0.0	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	AEMD	2026-06-01	0.45	9.5	11.05	177000.0	4297819	0.5	no_row	MIN_GAP_PCT_asof	157	True
gap_floor_<5	AEYE	2026-06-01	0.0	10.42	7.68	112960.0	1024401	5.9	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	AGPU	2026-06-01	-2.44	14.85	6.97	269271.0	2377668	30.5	no_row	MIN_GAP_PCT_asof	300	True
gap_floor_<5	AI	2026-06-01	1.21	9.75	10.77	10795471.0	47339914	15.9	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_CLOSE	AIIO	2026-06-01	28.27	43.46	2.37	2710281.0	97906316	0.0	no_row	MIN_PREV_CLOSE	0	False
MIN_PREV_CLOSE	AIM	2026-06-01	36.07	206.52	0.4078	11906823.0	22468696	75.2	no_row	MIN_PREV_CLOSE	0	False
gap_floor_<5	ALMU	2026-06-01	-0.19	24.05	21.58	1319566.0	49304450	0.0	no_row	MIN_GAP_PCT_asof	381	True
gap_floor_<5	AMPL	2026-06-01	2.3	13.43	7.82	5759911.0	20291817	16.7	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	AMPX	2026-06-01	1.08	9.71	20.28	7967811.0	183100385	26.5	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	AMR	2026-06-01	2.12	10.19	198.97	455006.0	52437853	13.5	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	ANGI	2026-06-01	0.0	12.97	5.86	2512925.0	10299010	8.5	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_5_6	ANL	2026-06-01	5.7	9.59	11.94	105592.0	2431204	8.5	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_CLOSE	ANY	2026-06-01	66.58	154.21	1.9	182346.0	438651	2.2	no_row	MIN_PREV_CLOSE	0	False
unclassified_security_type	APEOF	2026-06-01	9.21	9.21	0.5736	64433.0	14578	0.0	no_row	unclassified_security_type	0	False
gap_floor_<5	APPF	2026-06-01	2.07	11.39	161.17	397661.0	54416513	1.3	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	APPN	2026-06-01	2.74	18.68	23.4	739751.0	20424666	9.5	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	APPS	2026-06-01	1.03	11.62	8.78	14060258.0	44177375	93.0	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	ASTI	2026-06-01	-1.62	9.02	7.43	6949065.0	11272921	38.6	no_row	MIN_GAP_PCT_asof	368	True
unclassified_security_type	ASWRF	2026-06-01	19.36	19.36	0.87	434.0	3552	0.3	no_row	unclassified_security_type	0	False
gap_floor_<5	AXTI	2026-06-01	-7.91	12.27	103.16	11143634.0	1161700907	0.0	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	BAND	2026-06-01	-2.49	10.45	64.97	1545439.0	69309339	15.7	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_CLOSE	BATL	2026-06-01	23.45	24.83	1.45	2986934.0	10181819	0.0	no_row	MIN_PREV_CLOSE	0	False
gap_floor_<5	BB	2026-06-01	3.22	9.28	9.0	44326338.0	229424955	13.8	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_6_7	BCBP	2026-06-01	6.61	9.96	10.44	68331.0	940682	5.3	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BIYA	2026-06-01	1.51	9.19	8.965	224833.0	13211280	0.0	no_row	MIN_GAP_PCT_asof	208	True
gap_floor_<5	BLFS	2026-06-01	-0.64	9.49	24.92	903877.0	14095968	4.1	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BLZE	2026-06-01	-0.48	11.71	8.28	2916629.0	26186895	8.4	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BRBR	2026-06-01	-0.6	9.09	8.36	4107567.0	62408241	0.0	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BRUN	2026-06-01	-0.68	20.35	34.05	2965515.0	57082860	41.8	no_row	MIN_GAP_PCT_asof	388	True
gap_floor_<5	BRZE	2026-06-01	4.08	12.06	25.63	3367697.0	77975237	9.7	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BTU	2026-06-01	1.87	9.35	27.05	8050551.0	102399436	10.2	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	BURU	2026-06-01	2.37	11.1	7.1	432248.0	3065491	0.0	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_CLOSE	CCEL	2026-06-01	9.79	9.79	3.37	8179.0	29055	0.0	no_row	MIN_PREV_CLOSE	0	False
gap_floor_6_7	CDNL	2026-06-01	6.03	6.74	51.89	386880.0	26505676	6.2	no_row	MIN_GAP_PCT_asof	225	True
gap_floor_<5	CDNS	2026-06-01	4.82	10.67	374.93	3159936.0	761119413	0.4	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CDW	2026-06-01	2.34	12.76	125.45	4791704.0	287626572	15.5	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CEVA	2026-06-01	1.3	13.61	39.98	948305.0	34837366	1.4	no_row	MIN_GAP_PCT_asof	379	True
gap_floor_<5	CGCT	2026-06-01	2.87	10.26	12.53	64837.0	3179688	27.1	no_row	MIN_GAP_PCT_asof	49	True
gap_floor_<5	CLBT	2026-06-01	0.48	9.37	14.73	4596390.0	33940782	16.0	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CLS	2026-06-01	-0.01	11.05	385.39	3064680.0	770786566	9.8	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CLYM	2026-06-01	-1.19	11.13	10.96	605207.0	9281852	0.0	no_row	MIN_GAP_PCT_asof	339	True
gap_floor_<5	CMPS	2026-06-01	2.07	13.02	13.06	4552213.0	42985024	10.6	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	CNK	2026-06-01	1.32	11.71	28.0	2255903.0	51362186	5.9	no_row	MIN_GAP_PCT_asof	0	False
MIN_PREV_DAY_VOLUME	CNXU	2026-06-01	15.14	27.93	11.725	29026.0	609452	1.3	no_row	MIN_PREV_DAY_VOLUME	0	False
gap_floor_<5	COUR	2026-06-01	2.41	9.28	5.39	9519907.0	38237066	1.9	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CPSH	2026-06-01	1.66	10.86	9.02	4998835.0	30443792	50.3	no_row	MIN_GAP_PCT_asof	383	True
MIN_PREV_CLOSE	CRE	2026-06-01	36.74	41.67	2.64	2147962.0	3290202	23.9	no_row	MIN_PREV_CLOSE	0	False
gap_floor_<5	CRM	2026-06-01	4.0	10.59	191.1	33739879.0	2423058083	8.5	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CRML	2026-06-01	-1.61	10.76	11.2	7740869.0	139614864	2.0	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	CRWV	2026-06-01	4.79	16.72	109.53	27893203.0	3187128930	5.0	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	CTEV	2026-06-01	-0.24	11.46	25.12	117553.0	4570678	15.9	no_row	MIN_GAP_PCT_asof	102	True
gap_floor_<5	CUE	2026-06-01	3.52	15.07	21.9	58144.0	36822058	9.3	no_row	MIN_GAP_PCT_asof	108	True
gap_floor_9to10_admitted_now	CXAI	2026-06-01	9.88	20.48	10.375	834274.0	3462576	21.4	no_row	MIN_GAP_PCT_10_then_9_now	390	True
gap_floor_<5	CXDO	2026-06-01	0.0	13.66	9.88	583758.0	5478733	2.8	no_row	MIN_GAP_PCT_asof	344	True
gap_floor_<5	DBGI	2026-06-01	-2.87	85.99	19.356	50028.0	2182080	66.9	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	DDOG	2026-06-01	1.79	12.68	247.35	9358874.0	1382469148	11.5	no_row	MIN_GAP_PCT_asof	390	True
gap_floor_<5	DELL	2026-06-01	1.24	11.54	420.91	42095854.0	2758482548	42.6	no_row	MIN_GAP_PCT_asof	390	True
MIN_PREV_CLOSE	DEVS	2026-06-01	11.03	55.7	0.3	574473693.0	10675532	158.0	no_row	MIN_PREV_CLOSE	0	False
gap_floor_8_9	DFNS	2026-06-01	8.23	8.96	55.6375	140353.0	1507354	30.8	no_row	MIN_GAP_PCT_asof	376	True
gap_floor_<5	DKNG	2026-06-01	1.0	9.6	24.49	34236077.0	326677324	2.9	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	DMRC	2026-06-01	-0.07	13.88	14.7	389248.0	3061635	14.2	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	DOCN	2026-06-01	3.89	11.82	155.95	3030012.0	611939419	3.7	no_row	MIN_GAP_PCT_asof	389	True
gap_floor_<5	DOCU	2026-06-01	3.58	9.08	52.52	5529921.0	149847445	8.4	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	ELAB	2026-06-01	3.95	11.3	17.7	194444.0	2163020	2.3	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	EMAT	2026-06-01	2.07	9.04	6.75	114152.0	1253003	0.0	no_row	MIN_GAP_PCT_asof	129	True
MIN_PREV_CLOSE	FBGL	2026-06-01	13.37	13.79	0.5795	88197.0	109485	0.0	no_row	MIN_PREV_CLOSE	0	False
unclassified_security_type	FBRKF	2026-06-01	9.37	9.37	0.16	16800.0	770	28.0	no_row	unclassified_security_type	0	False
gap_floor_<5	FBYD	2026-06-01	-1.42	9.61	15.5	96243.0	1340036	5.2	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_<5	FDS	2026-06-01	1.5	10.97	245.47	996197.0	190195228	6.3	no_row	MIN_GAP_PCT_asof	0	False
gap_floor_9to10_admitted_now	FFAI	2026-06-01	9.96	24.53	54.54	226724.0	5072395	20.4	no_row	MIN_GAP_PCT_10_then_9_now	390	True
