=== MIN ===
ticker|et_min|o|h|l|c|v
SMTC|2026-03-30 09:25|77.4|77.4|76.8|76.8|5681.0
SMTC|2026-03-30 09:26|77.11|77.11|77.11|77.11|389.0
SMTC|2026-03-30 09:27|76.82|76.82|76.82|76.82|320.0
SMTC|2026-03-30 09:28|77.62|77.97|77.62|77.62|2642.0
SMTC|2026-03-30 09:29|78.12|78.12|78.12|78.12|421.0
SMTC|2026-03-30 09:30|78.02|78.18|76.9|77.065|79288.0
SMTC|2026-03-30 09:31|77.3199|77.73|76.66|77.56|52470.0
SMTC|2026-03-30 09:32|77.56|78.5|77.4|78.05|31334.0
SMTC|2026-03-30 09:33|77.745|78.0699|77.15|77.5|15300.0
SMTC|2026-03-30 09:34|77.94|77.98|77.32|77.465|13821.0
SMTC|2026-03-30 09:35|77.5|77.5|76.95|77.26|42275.0
SMTC|2026-03-30 09:36|77.1|77.16|76.84|76.84|17000.0
SMTC|2026-03-30 09:37|76.75|76.93|76.33|76.77|20966.0
SMTC|2026-03-30 09:38|76.775|77.025|76.23|76.4425|35430.0
SMTC|2026-03-30 09:39|76.25|76.905|75.83|76.68|29979.0
SMTC|2026-03-30 09:40|76.61|76.725|76.02|76.02|31574.0
SMTC|2026-03-30 09:41|76.2|76.6|75.83|76.465|32295.0
SMTC|2026-03-30 09:42|76.53|76.8|76.49|76.7765|12218.0
SMTC|2026-03-30 09:43|76.88|77.205|76.8|77.205|20324.0
SMTC|2026-03-30 09:44|77.12|77.93|77.09|77.67|44373.0
SMTC|2026-03-30 09:45|77.58|77.67|76.54|76.67|17442.0
SMTC|2026-03-30 09:46|76.67|76.675|76.02|76.025|9915.0
SMTC|2026-03-30 09:47|76.11|76.495|75.96|76.4925|19842.0
SMTC|2026-03-30 09:48|76.495|76.7|75.86|75.94|17219.0
SMTC|2026-03-30 09:49|75.955|76.37|75.94|76.27|10763.0
SMTC|2026-03-30 09:50|76.15|76.27|75.583|75.63|14267.0
SMTC|2026-03-30 09:51|75.64|75.815|75.57|75.68|13510.0
SMTC|2026-03-30 09:52|75.695|76.205|75.59|76.135|17355.0
SMTC|2026-03-30 09:53|76.135|76.2|75.46|75.505|13419.0
SMTC|2026-03-30 09:54|75.54|75.64|74.855|75.135|17810.0
SMTC|2026-03-30 09:55|74.98|75.09|74.33|74.505|16946.0
SMTC|2026-03-30 09:56|74.505|74.69|74.17|74.28|9355.0
SMTC|2026-03-30 09:57|74.2|74.645|74.11|74.645|9036.0
SMTC|2026-03-30 09:58|74.51|74.7|74.47|74.665|15057.0
SMTC|2026-03-30 09:59|74.665|74.665|74.14|74.215|31246.0
SMTC|2026-03-30 10:00|74.34|74.91|74.28|74.395|17706.0
SMTC|2026-03-30 10:01|74.395|74.605|74.185|74.325|20094.0
SMTC|2026-03-30 10:02|74.345|74.44|73.88|73.99|16429.0
SMTC|2026-03-30 10:03|74.06|74.115|73.79|73.88|4014.0
SMTC|2026-03-30 10:04|73.995|74.185|73.95|74.185|4437.0
SMTC|2026-03-30 10:05|74.18|74.28|73.57|73.77|19212.0
ASX|2026-04-08 09:25|24.0|24.0|24.0|24.0|1254.0
ASX|2026-04-08 09:29|24.0|24.03|23.98|24.03|9688.0
ASX|2026-04-08 09:30|24.0|24.16|23.9|24.0|221768.0
ASX|2026-04-08 09:31|24.0|24.02|23.93|23.995|61680.0
ASX|2026-04-08 09:32|23.99|24.0007|23.9|23.98|43081.0
ASX|2026-04-08 09:33|23.98|23.995|23.94|23.965|21849.0
ASX|2026-04-08 09:34|23.96|24.02|23.96|24.0|35269.0
ASX|2026-04-08 09:35|24.04|24.09|24.03|24.065|33080.0
ASX|2026-04-08 09:36|24.06|24.13|24.06|24.07|43926.0
ASX|2026-04-08 09:37|24.075|24.11|24.055|24.055|11136.0
ASX|2026-04-08 09:38|24.07|24.07|24.04|24.04|19056.0
ASX|2026-04-08 09:39|24.03|24.04|24.0|24.0|12068.0
ASX|2026-04-08 09:40|24.0|24.01|23.98|23.99|11699.0
ASX|2026-04-08 09:41|23.98|23.98|23.93|23.939|14325.0
ASX|2026-04-08 09:42|23.94|24.01|23.94|23.95|31340.0
ASX|2026-04-08 09:43|23.95|23.97|23.94|23.961|6766.0
ASX|2026-04-08 09:44|23.97|24.01|23.97|23.99|20046.0
ASX|2026-04-08 09:45|23.99|23.995|23.96|23.97|12213.0
ASX|2026-04-08 09:46|23.975|24.055|23.975|24.055|25825.0
ASX|2026-04-08 09:47|24.06|24.08|24.055|24.055|27952.0
ASX|2026-04-08 09:48|24.05|24.055|24.01|24.015|19772.0
ASX|2026-04-08 09:49|24.015|24.035|24.01|24.035|7490.0
ASX|2026-04-08 09:50|24.035|24.035|23.995|24.005|10399.0
ASX|2026-04-08 09:51|24.0|24.0|23.905|23.92|13438.0
ASX|2026-04-08 09:52|23.92|23.935|23.912|23.915|9087.0
ASX|2026-04-08 09:53|23.91|23.915|23.875|23.875|12102.0
ASX|2026-04-08 09:54|23.88|23.89|23.83|23.85|21273.0
ASX|2026-04-08 09:55|23.84|23.885|23.835|23.87|13667.0
ASX|2026-04-08 09:56|23.87|23.88|23.87|23.8714|6152.0
