cohort	scan_date	ticker	max_gap	prev_close
excluded	2026-06-08	ARTV	31.53	6.85
excluded	2026-06-08	OCC	82.93	12.3
excluded	2026-06-08	RELL	11.75	16.2
excluded	2026-06-08	SRI	12.83	7.09
excluded	2026-06-09	ADUR	21.53	14.4
excluded	2026-06-09	AMPG	15.22	6.57
excluded	2026-06-09	ARQQ	11.62	12.82
excluded	2026-06-09	DTIL	12.41	6.77
excluded	2026-06-09	PANL	10.65	7.23
excluded	2026-06-10	SUJA	14.53	15.55
excluded	2026-06-11	KZIA	10.43	11.5
excluded	2026-06-11	PRTA	25.28	7.91
excluded	2026-06-12	ASYS	13.78	22.6
excluded	2026-06-12	EIKN	17.37	8.52
excluded	2026-06-12	TENX	11.37	10.73
excluded	2026-06-15	ARQQ	23.13	13.6
excluded	2026-06-15	LIXT	12.6	6.19
excluded	2026-06-15	QMCO	15.79	13.74
excluded	2026-06-16	LIXT	18.9	6.72
excluded	2026-06-16	OSS	14.19	17.23
excluded	2026-06-16	SHMD	13	6.23
excluded	2026-06-17	CLPT	42.28	13.34
excluded	2026-06-17	PDYN	10.13	5.97
excluded	2026-06-17	TRT	12.23	12.59
excluded	2026-06-17	WNC	16.92	9.28
excluded	2026-06-18	BIRD	18.76	5.48
excluded	2026-06-18	CODA	11.69	9.24
excluded	2026-06-18	TBCH	10.1	12.48
excluded	2026-06-22	RGNX	14.88	7.8
excluded	2026-06-22	SSTK	28.59	13.22
excluded	2026-06-23	ALLT	10.41	7.01
excluded	2026-06-23	ARQQ	14.75	21.42
excluded	2026-06-23	BLZE	33.62	8.12
excluded	2026-06-23	NUCL	12.15	10.7
excluded	2026-06-24	JACK	20.03	11.58
excluded	2026-06-25	BNED	15.38	11.18
excluded	2026-06-25	ECOR	16.91	7.57
excluded	2026-06-25	MEI	25.57	13.09
excluded	2026-06-25	WYY	87.29	17.62
excluded	2026-06-26	XNET	10.54	5.03
excluded	2026-06-29	UNCY	10.66	7.13
excluded	2026-06-30	DPRO	11.09	5.14
excluded	2026-06-30	JACK	14.1	16.6
excluded	2026-06-30	SILC	19.94	41.93
excluded	2026-07-01	RAAQ	13.29	10.8
excluded	2026-07-02	ARCT	14.3	6.89
excluded	2026-07-02	SILC	16.26	44.18
excluded	2026-07-02	TENX	15.5	13.29
excluded	2026-07-06	AGPU	11.58	7.08
excluded	2026-07-06	OFIX	10.31	9.94
excluded	2026-07-08	CV	10.05	5.67
excluded	2026-07-09	AP	18.55	7.17
excluded	2026-07-09	FBRX	22.3	20.58
excluded	2026-07-13	QTTB	84.39	11.21
excluded	2026-07-14	SNWV	13.23	11.26
excluded	2026-07-15	ELVA	71.88	7.89
excluded	2026-07-15	TRT	23	10.26
excluded	2026-07-16	EAF	15.04	6.85
excluded	2026-07-16	HELP	13.52	6.51
excluded	2026-07-16	OWLT	11.03	6.13
excluded	2026-07-16	PESI	10.11	14.83
excluded	2026-07-20	DUOT	13.29	8.21
excluded	2026-07-20	NUCL	11.41	5.61
excluded	2026-07-21	AGPU	10.22	8.71
excluded	2026-07-21	FWRD	19.75	13.2
excluded	2026-07-22	AGPU	20.97	9.54
excluded	2026-07-22	RFIL	19.38	13.72
excluded	2026-07-23	AGPU	11.11	7.11
excluded	2026-07-23	NVEC	41.52	86.68
excluded	2026-07-23	RELL	18.62	18.01
excluded	2026-07-24	AVBC	10.57	20.24
excluded	2026-07-27	AGPU	23.21	6.85
excluded	2026-07-27	BNAI	12.01	11.16
excluded	2026-07-27	IMMR	11.5	6.52
excluded	2026-07-27	JACK	12.71	14.55
excluded	2026-07-27	KZIA	10.2	12.26
excluded	2026-07-28	PMN	27.43	11.72
excluded	2026-07-29	ALMU	15.29	14.19
excluded	2026-07-29	CLW	14.82	17.51
excluded	2026-07-29	QUAD	12.25	8.41
excluded	2026-07-29	RCKY	17.83	42.73
excluded	2026-07-29	RNAC	11.11	7.65
excluded	2026-07-29	SILC	20.59	38.02
excluded	2026-07-30	CMCO	36.94	14.62
excluded	2026-07-30	QMCO	11.96	10.45
excluded	2026-07-30	SMTI	11.6	30.25
excluded	2026-07-31	AIBZ	10.93	6.68
excluded	2026-07-31	AMCX	11.95	9.71
excluded	2026-07-31	DUOT	14.25	8.14
excluded	2026-08-03	INTT	10.53	12.35
excluded	2026-08-04	INFU	11.39	9.22
excluded	2026-08-04	MRAM	18.96	15.45
excluded	2026-08-04	OCC	14.98	14.35
excluded	2026-08-05	AMWL	22.55	10.42
excluded	2026-08-05	GTE	64.34	6.83
excluded	2026-08-06	ASPN	30.14	5.01
excluded	2026-08-06	ATNI	19.2	24.01
excluded	2026-08-06	DCTH	15.6	12.63
excluded	2026-08-06	EOLS	10.19	6.18
excluded	2026-08-06	OPRT	16.34	6.06
excluded	2026-08-07	FNKO	30.3	5.28
excluded	2026-08-07	FRD	29.9	37.72
excluded	2026-08-07	SENS	18.35	5.15
excluded	2026-08-07	SPT	24.66	8.19
excluded	2026-08-10	BWMN	55.93	27.23
excluded	2026-08-10	RNA	13.45	12.34
excluded	2026-08-11	FENC	12.7	10.94
excluded	2026-08-11	FF	30.43	5.16
excluded	2026-08-11	QMCO	38.12	11.78
excluded	2026-08-12	AII	21.3	20.19
excluded	2026-08-12	LENZ	24.18	5.21
excluded	2026-08-12	PESI	17.19	17.45
excluded	2026-08-12	VELO	24.76	13.69
excluded	2026-08-13	AIRO	31.92	8.49
excluded	2026-08-13	AZ	13.68	6.47
excluded	2026-08-13	DERM	13.62	6.43
excluded	2026-08-13	FOSL	12.33	5.27
excluded	2026-08-13	JACK	17.06	18.77
excluded	2026-08-13	RRGB	22.02	8.16
excluded	2026-08-14	CPS	10.91	27.23
excluded	2026-08-14	IMXI	24.79	11.7
excluded	2026-08-17	CNXU	15.55	8.9
excluded	2026-08-17	DUOT	18.66	9.11
excluded	2026-08-18	DUOT	21.3	10.28
excluded	2026-08-18	FLXS	11.49	70.86
excluded	2026-08-19	ARCT	41.78	8.21
excluded	2026-08-19	OPHC	19.64	10.03
excluded	2026-08-20	HVT	9.66	28.27
excluded	2026-08-20	OPHC	9.01	10.1
excluded	2026-08-21	BKKT	10.13	7.5
excluded	2026-08-21	GLSI	10.58	15.31
excluded	2026-08-21	PAL	16.89	5.21
excluded	2026-08-24	BBCQ	9.68	9.71
excluded	2026-08-24	CAPR	10.33	6.29
excluded	2026-08-24	SUPX	15.96	8.52
excluded	2026-08-25	CAPR	17.21	6.8
excluded	2026-08-25	DTIL	9.59	8.45
excluded	2026-08-27	AVNW	11.53	20.91
excluded	2026-08-27	FWDI	11.47	5.93
excluded	2026-08-27	LTRX	16.04	5.66
excluded	2026-08-28	ANIK	34.36	20.84
excluded	2026-08-31	BETR	9.89	13.85
excluded	2026-08-31	CNXU	9.02	7.07
excluded	2026-08-31	TITN	13.94	17.86
excluded	2026-09-01	PRLD	12.32	5.6
excluded	2026-09-02	CABO	11.69	23.87
excluded	2026-09-02	DTIL	11.39	7.64
excluded	2026-09-02	EPRX	11.17	6.34
excluded	2026-09-02	FBLA	21.87	15.59
excluded	2026-09-02	JLHL	33.99	5.62
excluded	2026-09-03	CHPT	49.81	5.19
excluded	2026-09-03	GMTL	9.7	10.72
excluded	2026-09-04	BBCP	20.28	9.05
excluded	2026-09-04	PDEX	23.47	61.75
control	2026-06-08	CGEM	11.03	13.51
control	2026-06-08	NRIX	11.5	14.64
control	2026-06-08	TNGX	62.22	20.22
control	2026-06-09	ACLS	12.15	154.76
control	2026-06-09	AVO	11.18	10.11
control	2026-06-09	BAP	11.34	319.89
control	2026-06-09	CECO	16.11	80.53
control	2026-06-09	VECO	15.06	61.04
control	2026-06-09	VSH	11.85	57.22
control	2026-06-10	CASY	14.06	761.18
control	2026-06-10	CBRL	25.33	36.3
control	2026-06-11	ELVN	18.33	37
control	2026-06-11	IDCC	15.2	253.91
control	2026-06-11	IMOS	10.67	55.12
control	2026-06-11	MH	10.7	12.8
control	2026-06-11	NAVN	17.87	20.87
control	2026-06-11	VELO	16.07	22.68
control	2026-06-12	AKTS	11.92	19.46
control	2026-06-12	SHAZ	11.87	71.51
control	2026-06-15	ABSI	17.35	6.8
control	2026-06-15	ATRO	13.03	80
control	2026-06-15	AUGO	13.39	60.89
control	2026-06-15	HQ	19.71	10.91
