scan_date|ticker|max_gap|prev_close
2026-06-08|CGEM|11.03|13.51
2026-06-08|NRIX|11.5|14.64
2026-06-08|TNGX|62.22|20.22
2026-06-09|ACLS|12.15|154.76
2026-06-09|AVO|11.18|10.11
2026-06-09|BAP|11.34|319.89
2026-06-09|CECO|16.11|80.53
2026-06-09|VECO|15.06|61.04
2026-06-09|VSH|11.85|57.22
2026-06-10|CASY|14.06|761.18
2026-06-10|CBRL|25.33|36.3
2026-06-11|ELVN|18.33|37
2026-06-11|IDCC|15.2|253.91
2026-06-11|IMOS|10.67|55.12
2026-06-11|MH|10.7|12.8
2026-06-11|NAVN|17.87|20.87
2026-06-11|VELO|16.07|22.68
2026-06-12|AKTS|11.92|19.46
2026-06-12|SHAZ|11.87|71.51
2026-06-15|ABSI|17.35|6.8
2026-06-15|ATRO|13.03|80
2026-06-15|AUGO|13.39|60.89
2026-06-15|HQ|19.71|10.91
2026-06-15|HYMC|13.82|25.76
2026-06-15|IDR|18.71|36.39
2026-06-15|MMYT|12.81|43.15
2026-06-15|SVM|13.36|11.3
2026-06-15|USAS|13.06|5.28
2026-06-15|WDC|13.22|562.925
2026-06-15|XE|17.64|18.59
2026-06-16|PURR|14.67|9.34
2026-06-16|RXT|17.5|5.915
2026-06-16|WDC|10.58|653.53
2026-06-17|ACMR|13.18|91.18
2026-06-17|AEHR|15.87|104.83
2026-06-17|JBL|10.77|375.51
2026-06-17|LZB|26.5|35.06
2026-06-17|QURE|75.2|26.99
2026-06-18|BFLY|32.92|5.71
2026-06-18|CHRN|12.91|20.61
2026-06-18|SWBI|15.59|13.73
2026-06-18|UUUU|12.36|15.3
2026-06-18|WDC|11.41|712.13
2026-06-22|BWIN|23.02|20.24
2026-06-22|DFTX|14.38|24.48
2026-06-22|FRVO|13.11|35.09
2026-06-22|JBIO|10.11|16.82
2026-06-22|KEEL|12.89|6.29
2026-06-22|MLTX|19.1|19.21
2026-06-22|NUAI|13.12|6.25
2026-06-22|PENG|14.5|67.15
2026-06-22|SYRE|12.35|88.34
2026-06-22|UMC|15.74|24.08
2026-06-23|ZETA|10.01|18.47
2026-06-24|ABSI|16.33|7.41
2026-06-24|FCEL|17.51|21.82
2026-06-24|KBH|14.06|52.73
2026-06-24|RUN|25.6|12.81
2026-06-24|WEN|36.59|6.255
2026-06-25|AYI|16.24|305.51
2026-06-25|BB|20.59|8.62
2026-06-25|KYMR|21.17|99.87
2026-06-25|MLKN|14.73|17.24
2026-06-25|MU|17.71|1048.51
2026-06-25|SNDK|19.28|1914.46
2026-06-25|SNX|11.22|283.22
2026-06-25|WDC|14.16|643.83
2026-06-25|WGO|13.27|27.27
2026-06-26|ACAD|15.34|23.72
2026-06-26|APOG|12.26|42.48
2026-06-26|ZSQR|10.66|12.2
2026-06-29|CHTR|27.69|133.64
2026-06-29|LBRDK|28.02|31.33
2026-06-29|OUST|16.02|42.02
2026-06-29|QDEL|33.47|13.79
2026-06-29|VSAT|15.63|61.95
2026-06-30|AVAV|25.3|139
2026-06-30|ENPH|19.22|48.34
2026-06-30|SEDG|10.19|55.36
2026-07-01|GRND|13.26|14.37
2026-07-01|PRGS|11.67|33.58
2026-07-02|NEXA|14.62|12.04
2026-07-06|IREN|12.16|38.82
2026-07-06|RGNX|11.07|13.28
2026-07-06|WULF|19.92|21.18
2026-07-07|AGIO|12.81|37.39
2026-07-07|DOCN|15.62|131.37
2026-07-08|BBOT|10.49|8.29
2026-07-08|KC|11.76|9.44
2026-07-08|PENG|10.52|62.71
2026-07-09|ALNY|19.63|323.5
2026-07-09|BBIO|16.18|78.33
2026-07-09|ICHR|11.7|88.81
2026-07-09|SMPL|20.79|12.84
2026-07-09|UCTT|14.52|100.91
2026-07-10|CRCL|10.76|63.01
2026-07-10|EQPT|17.5|16
2026-07-10|VOD|13.46|13.08
2026-07-10|WDFC|14.23|239.42
2026-07-14|CLSK|17.15|12.36
2026-07-14|TSEM|18.57|229.68
2026-07-15|AEHR|29.5|72.01
2026-07-15|ANGO|10.54|13
2026-07-15|MANE|11.08|110.17
2026-07-15|PRG|21.65|45.21
2026-07-16|ABT|11.87|89.27
2026-07-16|CDNA|23.36|29.75
2026-07-16|GHRS|18.72|26.92
2026-07-16|MAN|28.08|39.02
2026-07-17|DCBO|11.65|18.54
2026-07-17|SG|15.16|6.22
2026-07-17|TRVI|14.63|17.36
2026-07-20|HUT|11.54|91.45
2026-07-20|IREN|13.15|33.62
2026-07-20|PLOW|12.06|44.62
2026-07-21|HAS|10.61|81.59
2026-07-21|PKE|17.88|32.66
2026-07-22|ARWR|19.57|74.52
2026-07-22|EFOR|12.37|18.31
2026-07-22|FTAI|16.4|210.25
2026-07-22|PAG|10.52|195.19
2026-07-22|SMCI|15.88|25.5
2026-07-23|ALLE|11.47|139.95
2026-07-23|CLF|15.03|9.45
2026-07-23|DGX|11.12|209.83
2026-07-23|LMT|10.11|514.36
2026-07-23|MEDP|24.48|528.12
2026-07-23|NVCR|15.54|15.57
2026-07-23|OII|12.36|45
2026-07-23|TMO|10.56|526.46
2026-07-23|URI|11.31|1035.06
2026-07-24|AMKR|13.98|65.33
2026-07-24|RNG|20.72|38.62
2026-07-24|SSNC|10.52|66.95
2026-07-24|THC|14.31|199.02
2026-07-24|WKC|11.63|36.27
2026-07-27|BMNR|12.16|15.79
2026-07-27|GENI|10.03|6.48
2026-07-27|NNE|10.38|15.59
2026-07-27|OMER|19.58|9.79
2026-07-27|QBTS|11.29|16.21
2026-07-27|TRAX|40.77|35.52
2026-07-28|AWI|10.14|165.22
2026-07-28|CORZ|11.28|20.74
2026-07-28|ICLR|10.01|168.78
2026-07-28|IQV|15.01|213.22
2026-07-28|ITRI|18.77|84.78
2026-07-28|KNSA|23.1|63.535
2026-07-29|AVTR|14.5|12.42
2026-07-29|CBZ|17.77|46.7
2026-07-29|GEHC|13.09|64.11
2026-07-29|GFS|14.57|49.02
2026-07-29|GNRC|10.03|195.6
2026-07-29|GRMN|12.5|253.65
2026-07-29|HURN|21.92|121.37
2026-07-29|LFUS|10.96|392.05
2026-07-29|MANH|23.14|168.17
2026-07-29|MBIN|12.77|48.77
2026-07-29|NEO|16.19|13.4
2026-07-29|TER|10.4|320.65
2026-07-29|TEVA|11.4|31.67
2026-07-30|ARM|10.77|224.89
2026-07-30|AVY|11.88|167.14
2026-07-30|BAX|18.3|24.77
2026-07-30|BDC|10.75|102.03
2026-07-30|CORT|24.21|92.95
2026-07-30|EFOR|18.37|23.41
2026-07-30|EME|10.56|672.48
2026-07-30|FORM|21.92|83.45
2026-07-30|FTNT|10.1|153.22
2026-07-30|GKOS|10.11|161.66
2026-07-30|HII|13.53|280.4
2026-07-30|LRCX|18.95|252.35
2026-07-30|MKTX|30.17|125.73
2026-07-30|NPKI|11.95|12.05
2026-07-30|PRCH|25|12.36
2026-07-30|PWR|12.09|561.14
2026-07-30|SFM|17.07|79.16
2026-07-30|SIMO|19.18|209.68
2026-07-30|STGW|12.5|8.08
2026-07-30|TAL|16.16|10.89
2026-07-31|AAOI|13.92|90.11
2026-07-31|AMZN|13.92|235.5
2026-07-31|BLZE|13.06|12.63
2026-07-31|COHR|12.52|249.06
2026-07-31|COHU|22.71|46.45
2026-07-31|CSTL|12.43|26.79
2026-07-31|DXCM|10.4|74.54
2026-07-31|FET|16.04|51.43
2026-07-31|FLNC|10.02|13.47
2026-07-31|MPWR|13.96|1316.18
2026-07-31|NBIS|10.29|188.43
2026-07-31|NVT|15.4|144.8
2026-07-31|NWL|13.42|5.14
2026-07-31|NXT|11.97|96.9
2026-07-31|PWP|13.68|14.91
2026-07-31|SPSC|10.83|65.83
2026-07-31|SPXC|15.25|199.3
2026-08-03|CNH|15.66|10.25
2026-08-03|FTH|10.13|27.24
2026-08-03|FTK|10.45|23.54
2026-08-03|LIND|15.55|29.58
2026-08-04|AAOI|21.43|110.21
2026-08-04|AEIS|15.39|296.38
2026-08-04|AMRC|43.12|22.73
2026-08-04|ARVN|14.21|8.06
2026-08-04|BLZE|19.14|15.59
2026-08-04|BTDR|24.1|11.37
2026-08-04|CAT|10|830.03
2026-08-04|COHR|19.21|288.14
2026-08-04|DORM|15.87|127.68
2026-08-04|EWTX|14.11|38.38
2026-08-04|FN|17.01|455.94
2026-08-04|IBTA|48.43|24.58
2026-08-04|INSP|22.29|52.22
2026-08-04|LIFE|16.29|22.83
2026-08-04|LITE|14.34|779.89
2026-08-04|LWLG|16.86|6.82
2026-08-04|MED|32.65|9.74
2026-08-04|PAY|20.1|34.52
2026-08-04|PLTR|15.96|125.65
2026-08-04|POET|20.11|7.36
2026-08-04|TSAT|14.46|40.18
2026-08-04|UFPT|21.25|267.53
2026-08-04|VOYG|16.96|28.01
2026-08-04|W|25.32|89.31
2026-08-04|WGS|14.07|67.86
2026-08-04|WIX|14.36|56.84
2026-08-04|ZBRA|10.75|291.64
2026-08-05|AMPX|12.3|10.81
2026-08-05|ANET|15.47|190.51
2026-08-05|APPS|28.29|9.51
2026-08-05|BLMN|34.53|8.92
2026-08-05|DT|14.59|45.71
2026-08-05|ECG|10.96|136.16
2026-08-05|FRPT|10.45|62.38
2026-08-05|HGTY|11.69|11.72
2026-08-05|INTA|10.28|32.78
2026-08-05|KMT|14.39|36.06
2026-08-05|KODK|10.86|8.93
2026-08-05|KTOS|11.26|51.87
2026-08-05|PGEN|12.56|6.53
2026-08-05|PRGO|13.17|10.78
2026-08-05|QLYS|20.34|161.06
2026-08-05|ROCK|14.9|48.06
2026-08-05|SHOP|28.79|123.3
2026-08-05|SWIM|22.11|5.7
2026-08-05|TATT|11.79|41.65
2026-08-05|TBI|24.19|7.69
2026-08-05|TVTX|14.6|56.02
2026-08-05|UPST|18.6|30.32
2026-08-05|YOU|14.57|55.73
2026-08-06|AEVA|22.28|19.61
2026-08-06|ASPN|58.09|5.01
2026-08-06|CAI|17.11|16.45
2026-08-06|CDRE|16.02|31.03
2026-08-06|DCTH|21.3|12.63
2026-08-06|INSM|16.14|99.02
2026-08-06|KRO|21.26|6.21
2026-08-06|LFST|18.8|10.37
2026-08-06|MGNI|19.76|20.67
2026-08-06|ORA|10.16|98.02
2026-08-06|PAYC|23.02|174.8
2026-08-06|PAYS|23.77|9.59
2026-08-06|RDW|12.46|10.72
2026-08-06|RELY|11.88|24.07
2026-08-06|SITM|28.88|543.12
2026-08-06|SOUN|26.27|6.43
2026-08-06|TASK|11.39|6.32
2026-08-06|TPC|15.86|84.55
2026-08-06|TRUP|18|24.39
2026-08-06|U|18.41|35.47
2026-08-06|WPP|29.69|20.61
2026-08-07|ACMR|15.54|78.98
2026-08-07|AKAM|13.45|118.55
2026-08-07|CART|16.19|45.03
2026-08-07|CRSR|18.94|10.61
2026-08-07|DOCS|178.8|20.66
2026-08-07|FIGS|29.27|11.24
2026-08-07|FLR|13.44|48.75
2026-08-07|FROG|18.02|83.04
2026-08-07|INOD|14.98|65.48
2026-08-07|MTW|33.08|14.21
2026-08-07|NET|16.62|284.43
2026-08-07|NTRA|18.72|265.38
2026-08-07|ONTO|15.31|268.7
2026-08-07|PRAA|16.61|18.15
2026-08-07|PSIX|25.77|33.02
2026-08-07|PUBM|36.87|13.48
2026-08-07|QNST|27.92|15.22
2026-08-07|ROAD|16.74|100.16
2026-08-07|TEAM|33.7|110.17
2026-08-07|TWLO|18.4|193.2
2026-08-07|WLDN|14.67|73.69
2026-08-10|ABCL|17.6|6.93
2026-08-10|ACHR|24.33|5.59
2026-08-10|ALOY|13.28|12.27
2026-08-10|NESR|11.99|29.02
2026-08-10|SLN|18.83|11.95
2026-08-10|TH|12.17|16.51
2026-08-11|ACVA|19.2|7.26
2026-08-11|AP|14.99|8.67
2026-08-11|APEI|12.89|47.39
2026-08-11|BW|34.91|8.88
2026-08-11|CODI|15.97|11.08
2026-08-11|FRMI|17.01|5.88
2026-08-11|NIQ|21.87|11.68
2026-08-11|RIOT|17.92|19.4
2026-08-11|RPD|16.78|11.61
2026-08-11|SE|10.58|114.8
2026-08-12|ATRO|11.29|74.91
2026-08-12|BE|15.16|211.21
2026-08-12|BRUN|12.04|18.61
2026-08-12|CAVA|18.6|60.81
2026-08-12|CRWV|21.43|90.32
2026-08-12|EROC|16.09|11.25
2026-08-12|GLBE|10.67|40.86
2026-08-12|HRB|16.76|46.67
2026-08-12|KRNT|10.92|17.58
2026-08-12|MRX|12.45|59.93
2026-08-12|NBIS|12.2|193.23
2026-08-12|RSKD|20.93|5.27
2026-08-12|SMWB|19.31|7.25
2026-08-12|WYFI|17.34|24.22
2026-08-13|AEBI|13.66|12.99
2026-08-13|AVAH|14.48|9.05
2026-08-13|BIRK|17.34|36.74
2026-08-13|BLSH|12.4|24.63
2026-08-13|CGEM|12.24|19.6
2026-08-13|CRMD|10|7.1
2026-08-13|ELMT|15.18|16.93
2026-08-13|ENS|15.15|186.72
2026-08-13|HLIT|23.79|12
2026-08-13|KURA|13.43|9.94
2026-08-13|OMER|24.43|13.71
2026-08-13|TBBB|16.67|42.3
2026-08-13|WWW|14.91|18.06
2026-08-14|ETON|23.28|40.8
2026-08-14|HTFL|25.12|31.01
2026-08-14|LPTH|10.03|13.12
2026-08-14|NMAX|16.75|9.49
2026-08-14|NU|15|13.93
2026-08-14|RCAT|12.32|10.23
2026-08-14|RDDT|12.24|158.12
2026-08-14|STDN|12.9|12.09
2026-08-14|UMAC|19.86|27.24
2026-08-14|VCX|15.06|38.5
2026-08-14|VERA|14.23|28.89
2026-08-17|ARGX|10.53|851.29
2026-08-17|CBRS|12.78|218.98
2026-08-17|OCUL|17.03|10.04
2026-08-18|AMLX|23.43|21.43
2026-08-18|HAE|16.45|90.27
2026-08-19|BNTX|18.08|92.75
2026-08-19|DRD|12.51|24.3
2026-08-19|EIKN|14.94|11.65
2026-08-19|EL|16.1|84.27
2026-08-19|KC|15.2|10.84
2026-08-19|MRK|10.21|135.17
2026-08-19|MRNA|33.1|62.96
2026-08-19|MRVI|26.38|5.74
2026-08-19|MRVL|11.38|216
2026-08-19|TEM|16.76|49.36
2026-08-19|TWST|16.7|116.1
2026-08-20|BULL|15.16|8.64
2026-08-20|FUTU|10.22|109.42
2026-08-20|MRVI|11.77|7.22
2026-08-20|RARE|11.39|26.24
2026-08-20|SCSC|20.58|51.42
2026-08-21|CRML|12.07|5.8
2026-08-21|UUUU|9.28|13.9
2026-08-24|NSSC|34.22|38.09
2026-08-24|SCTX|13.3|34.13
2026-08-25|NBBK|24.39|22.51
2026-08-26|ANF|28.57|108.9
2026-08-26|BHVN|13.35|14.38
2026-08-26|BZ|15.07|16.29
2026-08-26|PLAB|25.18|29.32
2026-08-26|SMMT|16.32|13.36
2026-08-27|CHRN|12.2|21.15
2026-08-27|CRM|16.11|205.62
2026-08-27|CRWD|9.42|189.18
2026-08-27|DG|10.92|122.78
2026-08-27|MBUU|14.83|26.64
2026-08-27|OKTA|20.15|134.42
2026-08-27|OOMA|27.01|20.53
2026-08-27|VEEV|15.1|244.91
2026-08-28|AFRM|15.24|77.49
2026-08-28|BEKE|13.87|17.73
2026-08-28|EROK|11.56|24.74
2026-08-28|ESTC|26.58|83.74
2026-08-28|GAP|21.02|20.79
2026-08-28|SOLS|16.26|56.34
2026-08-31|GPRK|13.07|9.83
2026-08-31|SAIC|13.36|125.96
2026-08-31|XE|9.33|17.22
2026-09-01|CRK|10.46|14.43
2026-09-01|FRVO|15.86|15.38
2026-09-01|YEXT|16.1|6.77
2026-09-02|DAKT|10.59|19.36
2026-09-02|DELL|12.32|425
2026-09-02|GTLB|26.86|45.09
2026-09-02|TRAX|14.77|41.17
2026-09-02|YEXT|12.17|6.53
2026-09-03|AGX|9.57|410.4
2026-09-03|CLYM|16.61|15.05
2026-09-03|HOOD|9.77|106.99
2026-09-03|HSAI|11.75|16.59
2026-09-03|NTSK|15.2|13.75
2026-09-03|SMMT|10.79|14.6
2026-09-03|SNOW|23.79|305.84
2026-09-04|ALAB|10.04|282.82
